threshold_A,threshold_N,rho_all,rho_A_only,rho_N_only,lift_5x5,selected_diff_sum,n_days
104.0,104.0,0.19484944864205775,0.1566015656226199,0.1175724317177468,1.12400324313943,450000.0,60
104.0,105.0,0.1877869028036921,0.1566015656226199,0.1176969294027371,1.1159128979806143,444200.0,60
104.0,106.0,0.17378346192952798,0.1566015656226199,0.11956692855362668,1.1258012063545826,421800.0,60
103.0,104.0,0.14433571490260977,0.1413751010752278,0.11742040609674696,1.1145333649994704,482800.0,60
103.0,105.0,0.10371252990203347,0.1413751010752278,0.1172437503462453,1.110376945465796,546800.0,60
103.0,106.0,0.0664072148183026,0.1413751010752278,0.11811170451005458,1.0773266971023985,456000.0,60
102.0,104.0,0.0032822527739981536,0.13067202593458702,0.11609432562557005,1.0220478866734222,485500.0,60
102.0,105.0,-0.02298214974926,0.13067202593458702,0.11476437502421899,0.9648164699270722,440700.0,60
102.0,106.0,-0.0367003513233198,0.13067202593458702,0.11565893623124728,0.9694238919979307,471900.0,60
101.0,106.0,-0.04748123389930179,0.1073595595351746,0.11241113801497757,0.9682858664243931,478700.0,60
101.0,104.0,-0.04806964084281311,0.1073595595351746,0.11271252878107889,0.9682858664243931,478700.0,60
101.0,105.0,-0.04866781770447295,0.1073595595351746,0.11177155974940918,0.9682858664243931,478700.0,60
100.0,106.0,-0.049443291165803656,0.09477625492120957,0.10969575730810599,0.984490646108658,508600.0,60
100.0,105.0,-0.05081693573512504,0.09477625492120957,0.10869919386595207,0.984490646108658,508600.0,60
100.0,104.0,-0.050938060778840444,0.09477625492120957,0.10943344042073402,0.984490646108658,508600.0,60
