score_type,gamma,rho,rho_event,rho_nonevent,lift_5x5,lift_5x5_event,lift_5x5_nonevent,avg_diff_per_machine,n_days
nonevent_blend_gamma_0.5,0.5,0.17563440761332835,0.17817263031283614,0.17401271118114073,1.1286287030543376,1.0710968244383379,1.1461384052418158,288.0852657004831,60
nonevent_blend_gamma_0.7,0.7,0.1756333808742095,0.17817263031283614,0.1741012344308824,1.136057803216823,1.0710968244383379,1.1558285358885358,294.974154589372,60
nonevent_only,,0.1753587886402987,0.1902103702226321,0.17052163454836997,1.1085250755642992,1.1311224966903204,1.1016475995694237,264.77244808331767,60
nonevent_blend_gamma_0.3,0.3,0.17496786481030793,0.17817263031283614,0.17311595173285227,1.1244722414578363,1.0710968244383379,1.1407169335942053,288.1269323671497,60
base_only,,0.17378346192952798,0.17817263031283614,0.17195441220148808,1.1258012063545826,1.0710968244383379,1.142450366068222,286.85640096618357,60
event_blend_gamma_1.0,1.0,0.17378346192952798,0.17817263031283614,0.17195441220148808,1.1258012063545826,1.0710968244383379,1.142450366068222,286.85640096618357,60
nonevent_blend_gamma_1.0,1.0,0.17378346192952798,0.17817263031283614,0.17195441220148808,1.1258012063545826,1.0710968244383379,1.142450366068222,286.85640096618357,60
event_blend_gamma_0.7,0.7,0.1690739682768452,0.15787469524871325,0.17195441220148808,1.1231791800294773,1.059859568759315,1.142450366068222,272.75917874396134,60
adaptive,0.5,0.1665006893627874,0.1417696853460233,0.17401271118114073,1.1216330479014966,1.0411154452118765,1.1461384052418158,255.05471014492753,60
event_blend_gamma_0.5,0.5,0.16518274326208696,0.1417696853460233,0.17195441220148808,1.1188055512017416,1.0411154452118765,1.142450366068222,253.825845410628,60
event_blend_gamma_0.3,0.3,0.1605789612167869,0.12454051461052747,0.17195441220148808,1.1258410340240392,1.0712675144502952,1.142450366068222,260.93140096618356,60
event_only,,0.11871404493590025,0.10163334210137391,0.12350587693360739,1.100109664833626,1.0979164495415181,1.1007771651399196,178.53416471990644,60
dow_only,,0.11618981996481884,0.1126299418679942,0.11744398615657284,1.081416459165852,1.0421964427280295,1.093352985907798,215.400523872263,60
dd_only,,0.08337190003967745,0.07585285023243753,0.0857383500492279,1.035521291478259,0.9738463686784297,1.054291920156468,154.8525503482025,60
