scope,dd,is_event_dd,n_days,avg_games,avg_diff,win_rate,hit_rate,avg_payout_rate
section,1,True,18,2504.6,56.3,39.1,27.5,96.1
section,2,False,18,1577.9,-469.1,18.8,12.5,82.6
section,3,False,18,1701.0,331.0,40.7,31.5,96.6
section,4,True,18,1510.9,-215.9,22.0,20.3,86.9
section,5,False,18,1823.1,307.8,34.5,30.9,100.3
section,6,False,18,2204.8,-157.2,27.4,22.6,86.9
section,7,True,18,2688.1,-32.1,33.3,27.3,94.8
section,8,False,18,1572.4,-15.7,23.1,20.0,94.0
section,9,False,18,1743.2,-69.1,27.0,25.4,90.4
section,10,False,17,2795.3,193.6,38.2,30.9,96.0
section,11,False,18,3228.5,-88.0,34.9,25.4,93.3
section,12,False,17,2171.0,127.6,31.1,26.2,91.1
section,13,False,18,2041.5,80.5,26.7,18.3,89.9
section,14,True,18,1637.5,-450.8,20.3,18.6,85.8
section,15,False,18,1575.8,-82.8,32.7,23.6,93.3
section,16,False,18,2068.2,109.6,33.8,26.2,90.3
section,17,True,18,2213.5,137.7,39.3,34.4,99.0
section,18,False,18,1893.1,-11.9,29.6,24.1,100.8
section,19,False,18,1460.6,-155.1,26.3,24.6,87.9
section,20,False,18,2525.0,554.3,35.3,32.4,95.9
section,21,False,18,2080.3,121.3,28.6,27.0,93.6
section,22,False,18,3469.2,293.1,38.2,27.9,94.3
section,23,False,18,1940.7,-251.7,24.1,19.0,85.9
section,24,True,18,2322.4,214.3,47.5,35.6,98.7
section,25,False,18,2674.2,519.7,42.2,35.9,98.3
section,26,False,18,2013.2,-44.8,26.3,22.8,88.9
section,27,True,18,2022.5,-229.7,27.1,18.6,89.1
section,28,False,18,1774.7,-234.8,24.6,23.1,88.5
section,29,False,15,2027.9,323.7,38.5,32.7,90.5
section,30,True,15,4504.5,66.2,36.7,28.3,97.3
section,31,False,10,2287.1,-539.3,21.2,18.2,86.4
2004,1,True,18,2557.6,225.3,55.6,38.9,102.2
