hall,n_source_rows,n_days,mean_budget_index,median_budget_index,under_budget_days,balanced_days,over_budget_days,top_axis,top_axis_level,top_axis_budget_abs_share,n_offset_pairs,best_offset_days,best_offset_same_regime_rate,model_status,model_metric,note
みとや,138418,547,-0.3791644440586566,-0.6042577614209894,261,77,209,is_x_day,0,0.777001340911402,1611,7,0.4208566108007449,trained,0.6857142857142857,
蒲田7,253313,360,4.059799138655259,3.824087427671143,32,43,285,is_x_day,0,0.6608167916277642,1049,14,0.6880466472303207,trained,0.46315789473684216,
蒲田1,183997,535,1.038455176520519,1.0575933192231644,167,98,270,is_x_day,0,0.7277604255408424,1558,14,0.39723320158102765,trained,0.5369327073552426,
楽園,257362,548,1.1150393683394226,1.1533261033445665,172,96,280,is_x_day,0,0.9203800097631017,1616,14,0.4116541353383459,trained,0.5699358113151217,
レイトギャップ,172310,469,-1.7993826344010126,-1.8560144701754953,277,59,133,is_x_day,0,0.8973215941014169,1376,7,0.4662309368191721,trained,0.7274932614555255,
ARROW,167779,538,-0.8128180236044038,-0.8482147797921211,263,101,174,is_x_day,0,0.8313284567271015,1575,14,0.3781190019193858,trained,0.5358141160027953,
ヒロキ,121335,547,-2.2289278219772326,-2.1240576725667113,316,90,141,is_x_day,0,0.9150561193289563,1610,7,0.4264432029795158,trained,0.6365558331731693,
ザシティ,61711,548,-5.1822982125694415,-5.6364035237274255,393,43,112,is_x_day,0,0.8507127833536698,1616,14,0.5545112781954887,trained,0.5404977375565612,
金時,70550,547,-0.7534600699274574,-0.7614037858002882,267,64,216,is_x_day,0,0.8651655159891402,1610,7,0.4245810055865922,trained,0.5693210898690351,
