hall,axis,axis_level,n_days,budget_index_sum,budget_index_mean,budget_abs_sum,budget_abs_share,under_budget_days,balanced_days,over_budget_days,dominant_regime
レイトギャップ,day_of_week,日,67,-212.0609108172258,-3.1650882211526237,313.09598005064686,0.165392574379983,47,7,13,under_budget
レイトギャップ,day_of_week,木,66,-134.02371571685023,-2.030662359346216,287.31790522025176,0.15177533739703222,40,5,21,under_budget
レイトギャップ,day_of_week,水,67,-146.85423595612056,-2.1918542680017996,280.09773065978055,0.14796128888118726,41,9,17,under_budget
レイトギャップ,day_of_week,土,68,-86.35412912252565,-1.2699136635665536,266.0330308011611,0.14053162811990066,36,10,22,under_budget
レイトギャップ,day_of_week,火,67,-91.93089141967494,-1.3721028570100737,258.7809228037318,0.1367007108044421,42,4,21,under_budget
レイトギャップ,day_of_week,月,67,-88.08673042117374,-1.314727319719011,250.59340238328232,0.13237566300310089,36,15,16,under_budget
レイトギャップ,day_of_week,金,67,-84.59984208050396,-1.2626842101567755,237.1284107968957,0.1252627974143538,35,9,23,under_budget
レイトギャップ,dd,23,16,-83.24946849412358,-5.2030917808827235,83.24946849412358,0.04397643146929295,16,0,0,under_budget
レイトギャップ,dd,19,15,73.67756601051462,4.911837734034308,73.67756601051462,0.03892008551038875,0,0,15,over_budget
レイトギャップ,dd,8,15,-65.06357762674267,-4.337571841782845,73.44604543133916,0.038797785043274545,13,1,1,under_budget
レイトギャップ,dd,5,15,-54.52503337515024,-3.6350022250100156,73.21469352156687,0.038675573675569425,11,1,3,under_budget
レイトギャップ,dd,13,15,-67.05670401779156,-4.470446934519438,72.76802709808808,0.03843962267531607,13,1,1,under_budget
レイトギャップ,dd,20,16,-59.284900637981785,-3.7053062898738616,72.44415191977531,0.0382685360024362,10,4,2,under_budget
レイトギャップ,dd,16,15,49.6580065173168,3.31053376782112,68.71824362138392,0.03630032943116368,4,2,9,over_budget
レイトギャップ,dd,28,16,-59.835565765981926,-3.7397228603738704,68.61521795500033,0.03624590624697703,11,3,2,under_budget
