hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
ザシティ,20250101,120,120,384888,3207.4,3848,32.06666666666667,0.36666666666666664,0.26666666666666666,0.7734385926883248,strong
ザシティ,20250102,120,120,305295,2544.125,-10723,-89.35833333333333,0.31666666666666665,0.24166666666666667,0.13401266531358996,normal
ザシティ,20250103,121,121,334128,2761.3884297520663,-53170,-439.42148760330576,0.2727272727272727,0.19834710743801653,-1.7094253174642726,recovery
ザシティ,20250104,122,122,364352,2986.4918032786886,-25898,-212.27868852459017,0.36065573770491804,0.2786885245901639,-0.5132878256182708,normal
ザシティ,20250105,123,123,443998,3609.7398373983738,18847,153.22764227642276,0.4065040650406504,0.3252032520325203,1.4114741635419044,strong
ザシティ,20250106,110,110,181640,1651.2727272727273,-304,-2.7636363636363637,0.3,0.23636363636363636,0.590021678412891,normal
ザシティ,20250107,113,113,223679,1979.4601769911505,-45102,-399.13274336283183,0.25663716814159293,0.1592920353982301,-1.497264167382094,recovery
ザシティ,20250108,123,123,450153,3659.7804878048782,10881,88.46341463414635,0.3983739837398374,0.3008130081300813,1.070424739445787,strong
ザシティ,20250109,108,108,226971,2101.5833333333335,-11608,-107.48148148148148,0.2962962962962963,0.23148148148148148,0.03857588696004386,normal
ザシティ,20250110,118,118,227357,1926.7542372881355,-26353,-223.33050847457628,0.3135593220338983,0.211864406779661,-0.5714868803491621,normal
ザシティ,20250111,118,118,338223,2866.2966101694915,-30976,-262.50847457627117,0.3389830508474576,0.22033898305084745,-0.7777986555785807,recovery
ザシティ,20250112,121,121,347746,2873.9338842975208,-39635,-327.56198347107437,0.32231404958677684,0.256198347107438,-1.1203714392231359,recovery
ザシティ,20250113,122,122,308255,2526.6803278688526,-53149,-435.6475409836066,0.32786885245901637,0.20491803278688525,-1.689551656215239,recovery
ザシティ,20250114,112,112,210669,1880.9732142857142,-4315,-38.526785714285715,0.375,0.24107142857142858,0.40169238099160126,normal
ザシティ,20250115,120,120,269651,2247.0916666666667,-43405,-361.7083333333333,0.24166666666666667,0.18333333333333332,-1.300186645540921,recovery
ザシティ,20250116,116,116,189166,1630.7413793103449,-22465,-193.66379310344828,0.28448275862068967,0.22413793103448276,-0.4152614985221427,normal
ザシティ,20250117,118,118,208954,1770.7966101694915,-24096,-204.20338983050848,0.3389830508474576,0.2627118644067797,-0.4707631778415266,normal
ザシティ,20250118,123,123,455323,3701.8130081300815,-6245,-50.77235772357724,0.4065040650406504,0.3252032520325203,0.33720700945958293,normal
