hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
蒲田1,20250101,381,381,1538486,4038.020997375328,288300,756.6929133858267,0.48031496062992124,0.3884514435695538,3.7827638454952126,strong
蒲田1,20250102,383,383,1440548,3761.2219321148823,-72200,-188.51174934725847,0.34203655352480417,0.2689295039164491,-1.2983576183579961,recovery
蒲田1,20250103,383,383,2268271,5922.378590078329,55500,144.90861618798957,0.45430809399477806,0.35509138381201044,0.4940048641844112,normal
蒲田1,20250104,383,383,2102929,5490.676240208877,74800,195.30026109660574,0.4360313315926893,0.32114882506527415,0.7648944171450098,strong
蒲田1,20250105,383,383,1659967,4334.117493472585,-62600,-163.44647519582244,0.3289817232375979,0.26370757180156656,-1.1636146282843305,recovery
蒲田1,20250106,361,361,1015177,2812.1246537396123,18700,51.800554016620495,0.37950138504155123,0.296398891966759,-0.006514644245392693,normal
蒲田1,20250107,383,383,2102375,5489.229765013055,84800,221.40992167101828,0.42297650130548303,0.3368146214099217,0.905251698471745,strong
蒲田1,20250108,375,375,1188560,3169.4933333333333,33200,88.53333333333333,0.34933333333333333,0.29333333333333333,0.19094916520456007,normal
蒲田1,20250109,375,375,1098944,2930.517333333333,-12200,-32.53333333333333,0.33066666666666666,0.288,-0.45986696257291604,normal
蒲田1,20250110,383,383,2041413,5330.060052219321,-5000,-13.054830287206267,0.3968668407310705,0.2898172323759791,-0.3551566878423363,normal
蒲田1,20250111,383,383,2289826,5978.657963446475,139800,365.0130548302872,0.47780678851174935,0.3733681462140992,1.677216745768788,strong
蒲田1,20250112,378,378,1309377,3463.9603174603176,-72900,-192.85714285714286,0.3148148148148148,0.24867724867724866,-1.3217170801788027,recovery
蒲田1,20250113,383,383,2149624,5612.595300261097,26700,69.71279373368147,0.4412532637075718,0.3394255874673629,0.08977589396341404,normal
蒲田1,20250114,363,363,859775,2368.526170798898,-16600,-45.730027548209364,0.3526170798898072,0.29476584022038566,-0.5308082188646757,normal
蒲田1,20250115,367,367,954507,2600.8365122615805,-5700,-15.53133514986376,0.3405994550408719,0.27520435967302453,-0.36846959509842253,normal
蒲田1,20250116,346,346,751408,2171.699421965318,-30300,-87.57225433526011,0.3063583815028902,0.25722543352601157,-0.7557388026901329,recovery
蒲田1,20250117,382,382,1984666,5195.460732984293,91500,239.52879581151834,0.43717277486910994,0.3403141361256545,1.0026530380186147,strong
蒲田1,20250118,382,382,2224695,5823.808900523561,137600,360.20942408376965,0.4790575916230366,0.3612565445026178,1.651393945424173,strong
蒲田1,20250119,379,379,1306241,3446.54617414248,-172900,-456.20052770448547,0.2955145118733509,0.21899736147757257,-2.737367867641588,recovery
蒲田1,20250120,362,362,901925,2491.5055248618783,-26300,-72.65193370165746,0.30386740331491713,0.23480662983425415,-0.6755318756530212,normal
蒲田1,20250121,380,380,1576980,4149.9473684210525,29500,77.63157894736842,0.4105263157894737,0.3105263157894737,0.1323447799447462,normal
蒲田1,20250122,381,381,1828376,4798.887139107612,26900,70.60367454068242,0.4068241469816273,0.31496062992125984,0.0945649875519903,normal
蒲田1,20250123,370,370,1001079,2705.618918918919,-12600,-34.054054054054056,0.3027027027027027,0.2648648648648649,-0.46804187642938994,normal
蒲田1,20250124,359,359,869076,2420.824512534819,-80900,-225.3481894150418,0.3231197771587744,0.2646239554317549,-1.4963786752359296,recovery
蒲田1,20250125,382,382,2160864,5656.712041884817,132300,346.3350785340314,0.4607329842931937,0.3612565445026178,1.5768098497788485,strong
蒲田1,20250126,379,379,1341753,3540.245382585752,-92200,-243.27176781002638,0.3113456464379947,0.23746701846965698,-1.5927301665928122,recovery
蒲田1,20250127,382,382,1951944,5109.801047120419,100300,262.565445026178,0.4424083769633508,0.3324607329842932,1.126490781731606,strong
蒲田1,20250128,364,364,920467,2528.7554945054944,-14700,-40.38461538461539,0.3434065934065934,0.23901098901098902,-0.5020729728926092,normal
蒲田1,20250129,355,355,872768,2458.5014084507043,-9500,-26.760563380281692,0.38309859154929576,0.3126760563380282,-0.42883437622328585,normal
蒲田1,20250130,382,382,1883417,4930.410994764398,38300,100.26178010471205,0.418848167539267,0.3193717277486911,0.2539975873900744,normal
蒲田1,20250131,377,377,1454895,3859.137931034483,151900,402.9177718832891,0.44297082228116713,0.3660477453580902,1.880980522009996,strong
蒲田1,20250201,382,382,2194267,5744.15445026178,-3900,-10.209424083769633,0.387434554973822,0.3010471204188482,-0.3398606835972264,normal
蒲田1,20250202,382,382,2068626,5415.251308900523,68900,180.36649214659687,0.468586387434555,0.3769633507853403,0.6846151962102498,normal
蒲田1,20250203,376,376,1833632,4876.68085106383,-24300,-64.62765957446808,0.39893617021276595,0.2845744680851064,-0.6323959146204025,normal
蒲田1,20250204,371,371,1156604,3117.5309973045823,-300,-0.8086253369272237,0.3665768194070081,0.2722371967654987,-0.28932496136345437,normal
蒲田1,20250205,379,379,1287081,3395.9920844327175,-33800,-89.1820580474934,0.32717678100263853,0.2691292875989446,-0.7643925985476011,recovery
蒲田1,20250206,376,376,1118409,2974.4920212765956,8800,23.404255319148938,0.35638297872340424,0.2898936170212766,-0.15916416925779106,normal
蒲田1,20250207,383,383,2208986,5767.587467362924,152200,397.38903394255874,0.4490861618798956,0.33159268929503916,1.8512597746139396,strong
蒲田1,20250208,382,382,2024575,5299.934554973822,47600,124.60732984293193,0.43717277486910994,0.31413612565445026,0.3848715665413041,normal
蒲田1,20250209,378,378,1594273,4217.653439153439,38100,100.7936507936508,0.4417989417989418,0.35714285714285715,0.25685675607608865,normal
蒲田1,20250210,383,383,2169493,5664.472584856397,169500,442.55874673629245,0.5091383812010444,0.38903394255874674,2.0940778713091914,strong
蒲田1,20250211,383,383,2227031,5814.702349869452,191200,499.2167101827676,0.4751958224543081,0.38903394255874674,2.3986531717882063,strong
蒲田1,20250212,363,363,942075,2595.2479338842977,-103600,-285.39944903581267,0.3140495867768595,0.22589531680440772,-1.819195263241574,recovery
蒲田1,20250213,380,380,1657434,4361.668421052632,107600,283.1578947368421,0.42105263157894735,0.3473684210526316,1.2371892815841403,strong
蒲田1,20250214,357,357,992906,2781.249299719888,-82000,-229.6918767507003,0.3165266106442577,0.27170868347338933,-1.5197289652034627,recovery
蒲田1,20250215,383,383,2130001,5561.360313315927,60100,156.91906005221932,0.4281984334203655,0.31070496083550914,0.5585692135947092,normal
蒲田1,20250216,383,383,1994894,5208.600522193212,12100,31.592689295039165,0.42036553524804177,0.28720626631853785,-0.11514573677361924,normal
蒲田1,20250217,383,383,1910932,4989.378590078329,-500,-1.3054830287206267,0.3838120104438642,0.30548302872062666,-0.2919959112453055,normal
蒲田1,20250218,361,361,869550,2408.7257617728533,-18000,-49.86149584487535,0.3518005540166205,0.27977839335180055,-0.5530176863663682,normal
蒲田1,20250219,353,353,908574,2573.8640226628895,-22800,-64.58923512747876,0.35410764872521244,0.28611898016997167,-0.6321893569403233,normal
蒲田1,20250220,361,361,831764,2304.05540166205,-47500,-131.57894736842104,0.2880886426592798,0.2299168975069252,-0.9923048728123838,recovery
蒲田1,20250221,379,379,1551697,4094.1873350923483,56900,150.13192612137203,0.40897097625329815,0.2955145118733509,0.5220837271664509,normal
蒲田1,20250222,383,383,2196906,5736.046997389034,115400,301.30548302872063,0.4360313315926893,0.3577023498694517,1.3347449793315544,strong
蒲田1,20250223,383,383,1508725,3939.229765013055,-61900,-161.61879895561358,0.34464751958224543,0.26370757180156656,-1.1537896185914591,recovery
蒲田1,20250224,383,383,1452997,3793.7258485639686,-39300,-102.61096605744126,0.3263707571801567,0.2689295039164491,-0.8365821627930378,recovery
蒲田1,20250225,365,365,1307338,3581.7479452054795,44600,122.1917808219178,0.4054794520547945,0.30684931506849317,0.37188633862021586,normal
蒲田1,20250226,341,341,771811,2263.375366568915,-36200,-106.158357771261,0.31378299120234604,0.24926686217008798,-0.8556518192266671,recovery
蒲田1,20250227,381,381,1898160,4982.047244094489,-45100,-118.37270341207349,0.4041994750656168,0.3464566929133858,-0.9213122801293869,recovery
蒲田1,20250228,382,382,1543404,4040.324607329843,131700,344.76439790575915,0.468586387434555,0.3900523560209424,1.5683663672529626,strong
蒲田1,20250301,383,383,2179934,5691.733681462141,75600,197.38903394255874,0.4360313315926893,0.3263707571801567,0.7761229996511486,strong
蒲田1,20250302,377,377,1348176,3576.0636604774536,-133400,-353.84615384615387,0.29708222811671087,0.22546419098143236,-2.187143110574676,recovery
蒲田1,20250303,384,384,1972576,5136.916666666667,49700,129.42708333333334,0.4192708333333333,0.3046875,0.4107810376602333,normal
蒲田1,20250304,375,375,1127516,3006.7093333333332,2400,6.4,0.37866666666666665,0.30133333333333334,-0.25057367038015943,normal
蒲田1,20250305,372,372,1205415,3240.3629032258063,3500,9.408602150537634,0.3924731182795699,0.3010752688172043,-0.23440037631378366,normal
蒲田1,20250306,375,375,1050391,2801.0426666666667,7000,18.666666666666668,0.36,0.312,-0.18463194818244155,normal
蒲田1,20250307,383,383,1973675,5153.198433420365,47900,125.06527415143603,0.4490861618798956,0.34986945169712796,0.3873333303760924,normal
蒲田1,20250308,384,384,2148739,5595.674479166667,128800,335.4166666666667,0.46875,0.3541666666666667,1.5181159191648788,strong
蒲田1,20250309,384,384,2286954,5955.609375,213100,554.9479166666666,0.5572916666666666,0.4166666666666667,2.6982465198076295,strong
蒲田1,20250310,384,384,2097420,5462.03125,181000,471.3541666666667,0.453125,0.3489583333333333,2.248872945897401,strong
蒲田1,20250311,383,383,1870606,4884.088772845953,111800,291.9060052219321,0.4360313315926893,0.34464751958224543,1.2842163580539296,strong
蒲田1,20250312,373,373,1233816,3307.817694369973,40500,108.57908847184987,0.3914209115281501,0.3002680965147453,0.2987088078611524,normal
蒲田1,20250313,383,383,1833174,4786.355091383812,16800,43.86422976501306,0.391644908616188,0.2924281984334204,-0.049177814550053725,normal
蒲田1,20250314,375,375,1222785,3260.76,29800,79.46666666666667,0.37866666666666665,0.312,0.14220963140624687,normal
蒲田1,20250315,384,384,2037219,5305.2578125,56400,146.875,0.4322916666666667,0.3020833333333333,0.5045755219343309,normal
蒲田1,20250316,380,380,1516188,3989.9684210526316,2600,6.842105263157895,0.3815789473684211,0.2631578947368421,-0.2481970522460311,normal
蒲田1,20250317,382,382,1867286,4888.1832460732985,-85800,-224.60732984293193,0.35602094240837695,0.2696335078534031,-1.4923960483806369,recovery
蒲田1,20250318,368,368,865654,2352.320652173913,-12400,-33.69565217391305,0.33695652173913043,0.2826086956521739,-0.46611522122161286,normal
蒲田1,20250319,364,364,907216,2492.3516483516482,4100,11.263736263736265,0.34065934065934067,0.29395604395604397,-0.2244277617758445,normal
蒲田1,20250320,382,382,1524531,3990.918848167539,-53500,-140.0523560209424,0.36387434554973824,0.2774869109947644,-1.0378552390704519,recovery
蒲田1,20250321,382,382,1676753,4389.405759162304,71900,188.2198952879581,0.39528795811518325,0.2905759162303665,0.7268326088396787,normal
蒲田1,20250322,383,383,2222566,5803.0443864229765,86000,224.54308093994777,0.4516971279373368,0.3577023498694517,0.9220945722309531,strong
蒲田1,20250323,383,383,1391296,3632.626631853786,-100500,-262.40208877284596,0.34464751958224543,0.2402088772845953,-1.6955687245126565,recovery
蒲田1,20250324,354,354,813666,2298.491525423729,21100,59.6045197740113,0.3531073446327684,0.3050847457627119,0.03543700863621333,normal
蒲田1,20250325,360,360,1232544,3423.733333333333,-4900,-13.61111111111111,0.38333333333333336,0.2833333333333333,-0.3581470776972698,normal
蒲田1,20250326,366,366,855165,2336.5163934426228,12000,32.78688524590164,0.39617486338797814,0.32786885245901637,-0.10872611685719973,normal
蒲田1,20250327,383,383,1927529,5032.712793733682,81300,212.2715404699739,0.4151436031331593,0.3185378590078329,0.8561266500073877,strong
蒲田1,20250328,364,364,899751,2471.8434065934066,-71200,-195.6043956043956,0.29945054945054944,0.22252747252747251,-1.3364854424722477,recovery
蒲田1,20250329,383,383,1908929,4984.148825065274,27000,70.49608355091384,0.402088772845953,0.32114882506527415,0.09398661240321607,normal
蒲田1,20250330,383,383,2093317,5465.5796344647515,-4900,-12.793733681462141,0.4281984334203655,0.3185378590078329,-0.3537531150290689,normal
蒲田1,20250331,383,383,1501000,3919.0600522193213,103600,270.49608355091385,0.402088772845953,0.3185378590078329,1.169123387366007,strong
蒲田1,20250401,383,383,1651589,4312.242819843342,13100,34.20365535248042,0.381201044386423,0.28720626631853785,-0.10111000864094573,normal
蒲田1,20250402,369,369,931315,2523.8888888888887,5400,14.634146341463415,0.35772357723577236,0.27100271002710025,-0.20630950266949621,normal
蒲田1,20250403,379,379,1394641,3679.791556728232,75800,200.0,0.36939313984168864,0.3087071240105541,0.7901587277838222,strong
蒲田1,20250404,379,379,1574723,4154.941952506596,-35400,-93.40369393139842,0.37467018469656993,0.2928759894459103,-0.7870867784940453,recovery
蒲田1,20250405,381,381,2082386,5465.580052493438,-39900,-104.7244094488189,0.4330708661417323,0.2992125984251969,-0.8479433663523986,recovery
蒲田1,20250406,382,382,1768765,4630.274869109948,-63000,-164.92146596858638,0.38219895287958117,0.28534031413612565,-1.171543712396977,recovery
蒲田1,20250407,382,382,1906944,4992.0,44300,115.96858638743456,0.42408376963350786,0.32722513089005234,0.3384324126489323,normal
蒲田1,20250408,372,372,1187715,3192.782258064516,75700,203.49462365591398,0.3924731182795699,0.30913978494623656,0.8089447198194624,strong
蒲田1,20250409,383,383,1970309,5144.409921671018,145600,380.1566579634465,0.4386422976501306,0.34464751958224543,1.7586239689382945,strong
蒲田1,20250410,382,382,1741702,4559.429319371728,89800,235.07853403141362,0.418848167539267,0.34293193717277487,0.978729837528605,strong
蒲田1,20250411,382,382,1661391,4349.191099476439,201700,528.0104712041884,0.468586387434555,0.36649214659685864,2.553439328606305,strong
蒲田1,20250412,382,382,2152136,5633.863874345549,-41200,-107.85340314136126,0.40575916230366493,0.29842931937172773,-0.864763847289793,recovery
蒲田1,20250413,382,382,2062160,5398.324607329843,120300,314.9214659685864,0.4424083769633508,0.3586387434554974,1.4079401992611327,strong
蒲田1,20250414,362,362,932203,2575.146408839779,-31800,-87.84530386740332,0.35082872928176795,0.27071823204419887,-0.7572066306571007,recovery
蒲田1,20250415,361,361,1090132,3019.7562326869806,-65200,-180.6094182825485,0.33518005540166207,0.25761772853185594,-1.2558771846799932,recovery
蒲田1,20250416,371,371,950084,2560.8733153638814,28400,76.54986522911051,0.3692722371967655,0.30727762803234504,0.12652982895234208,normal
蒲田1,20250417,380,380,1782497,4690.781578947369,131600,346.3157894736842,0.4710526315789474,0.3763157894736842,1.5767061578881798,strong
蒲田1,20250418,359,359,933706,2600.8523676880222,-20200,-56.26740947075209,0.34818941504178275,0.2757660167130919,-0.5874538529484447,normal
蒲田1,20250419,382,382,2074132,5429.664921465968,8400,21.98952879581152,0.4214659685863874,0.29842931937172773,-0.1667692918165676,normal
蒲田1,20250420,379,379,1409960,3720.2110817941953,-73800,-194.72295514511873,0.32189973614775724,0.25065963060686014,-1.3317470972087044,recovery
蒲田1,20250421,380,380,1463062,3850.1631578947367,-40600,-106.84210526315789,0.3631578947368421,0.26842105263157895,-0.8593274295933018,recovery
蒲田1,20250422,382,382,1748886,4578.235602094241,50800,132.98429319371726,0.418848167539267,0.34554973821989526,0.4299034733460283,normal
