hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,diff_share,excess_vs_hall_day,hit104_lift_vs_hall_day
金時,20250101,machine_category,at_smart,10,10460,650,65.0,0.5,0.4,0.0366465916217343,0.028986799857295756,-106.17557251908397,0.04885496183206112
金時,20250101,machine_category,hana_oki,4,8651,8701,2175.25,1.0,0.5,0.030308763300155205,0.3880217623974313,2004.074427480916,0.1488549618320611
金時,20250101,machine_category,juggler,47,136943,795,16.914893617021278,0.425531914893617,0.2553191489361702,0.4797795598905507,0.03545308597930789,-154.2606789020627,-0.09582588923176871
金時,20250101,machine_category,other,70,129375,12278,175.4,0.42857142857142855,0.4,0.45326508518755976,0.547538351765965,4.2244274809160345,0.04885496183206112
金時,20250102,machine_category,at_smart,9,10764,617,68.55555555555556,0.6666666666666666,0.4444444444444444,0.0397673954646549,-0.34296831573096165,82.94755555555555,0.1644444444444444
金時,20250102,machine_category,hana_oki,4,11976,-7814,-1953.5,0.0,0.0,0.04424510665967178,4.343524180100055,-1939.108,-0.28
金時,20250102,machine_category,juggler,50,145471,3093,61.86,0.42,0.24,0.5374398723187302,-1.7192884936075599,76.252,-0.040000000000000036
金時,20250102,machine_category,other,62,102463,2305,37.17741935483871,0.3387096774193548,0.3064516129032258,0.37854762555694305,-1.2812673707615343,51.569419354838715,0.026451612903225785
金時,20250103,machine_category,at_smart,9,26944,4274,474.8888888888889,0.4444444444444444,0.3333333333333333,0.07724726349046164,-1.5286123032904149,495.1497584541063,0.0579710144927536
金時,20250103,machine_category,hana_oki,4,9018,4262,1065.5,0.5,0.5,0.025854209551550735,-1.5243204577968525,1085.7608695652175,0.2246376811594203
金時,20250103,machine_category,juggler,50,137259,-10970,-219.4,0.36,0.1,0.3935155188330342,3.92346208869814,-199.1391304347826,-0.1753623188405797
金時,20250103,machine_category,other,75,175581,-362,-4.826666666666667,0.4666666666666667,0.37333333333333335,0.5033830081249534,0.12947067238912732,15.434202898550723,0.09797101449275364
金時,20250104,machine_category,at_smart,9,16631,-64,-7.111111111111111,0.3333333333333333,0.2222222222222222,0.042418986647622205,0.0030484900447746975,141.78250591016547,-0.026004728132387717
金時,20250104,machine_category,hana_oki,4,13135,-2372,-593.0,0.25,0.25,0.03350209786642521,0.11298466228446223,-444.10638297872345,0.0017730496453900735
金時,20250104,machine_category,juggler,50,188187,-6074,-121.48,0.3,0.2,0.47998928749059466,0.28932075831189863,27.41361702127658,-0.048226950354609915
金時,20250104,machine_category,other,78,174112,-12484,-160.05128205128204,0.358974358974359,0.28205128205128205,0.4440896279953579,0.5946460893588644,-11.157665030005461,0.03382433169667212
金時,20250105,machine_category,at_smart,10,31988,1664,166.4,0.4,0.2,0.051471262629269494,-0.024591375284485562,626.712925170068,0.0163265306122449
金時,20250105,machine_category,hana_oki,4,16338,-11834,-2958.5,0.0,0.0,0.02628915495926613,0.17488842254603493,-2498.187074829932,-0.1836734693877551
金時,20250105,machine_category,juggler,50,258432,14089,281.78,0.42,0.16,0.4158378561900517,-0.20821387402831554,742.0929251700679,-0.02367346938775511
金時,20250105,machine_category,other,83,314715,-71585,-862.4698795180723,0.2891566265060241,0.20481927710843373,0.5064017262214127,1.0579168267667662,-402.15695434800426,0.021145807720678617
金時,20250106,machine_category,at_smart,10,8209,91,9.1,0.3,0.2,0.02852169441587681,0.004910955207771182,-134.54341085271318,-0.1333333333333333
金時,20250106,machine_category,hana_oki,4,7597,-755,-188.75,0.5,0.25,0.026395335909053005,-0.04074473826227739,-332.39341085271315,-0.08333333333333331
金時,20250106,machine_category,juggler,49,159660,6140,125.3061224489796,0.42857142857142855,0.2857142857142857,0.5547294104566807,0.33135456017269294,-18.33728840373358,-0.047619047619047616
金時,20250106,machine_category,other,66,112350,13054,197.78787878787878,0.4393939393939394,0.3939393939393939,0.39035355921838955,0.7044792228818133,54.14446793516561,0.06060606060606061
金時,20250107,machine_category,at_smart,7,7737,-1578,-225.42857142857142,0.5714285714285714,0.2857142857142857,0.032397326812273884,0.21144311938898566,-163.75088547815818,0.012987012987012991
金時,20250107,machine_category,hana_oki,4,5062,2650,662.5,1.0,1.0,0.02119623475814016,-0.3550850864263701,724.1776859504132,0.7272727272727273
金時,20250107,machine_category,juggler,46,132540,5193,112.8913043478261,0.34782608695652173,0.2608695652173913,0.5549879405064987,-0.695832775023449,174.56899029823933,-0.01185770750988141
金時,20250107,machine_category,other,64,93477,-13728,-214.5,0.25,0.234375,0.39141849792308725,1.8394747420608335,-152.8223140495868,-0.03835227272727271
金時,20250108,machine_category,at_smart,8,7660,2568,321.0,0.625,0.5,0.0372130080352892,1.4492099322799097,305.4561403508772,0.30701754385964913
金時,20250108,machine_category,hana_oki,4,5176,1934,483.5,0.25,0.25,0.025145499946560953,1.0914221218961626,467.9561403508772,0.057017543859649134
金時,20250108,machine_category,juggler,47,112414,-7092,-150.89361702127658,0.3404255319148936,0.14893617021276595,0.5461178962505222,-4.002257336343115,-166.43747667039938,-0.044046285927584916
金時,20250108,machine_category,other,55,80592,4362,79.30909090909091,0.3090909090909091,0.18181818181818182,0.3915235957676276,2.461625282167043,63.765231259968104,-0.011164274322169043
金時,20250109,machine_category,at_smart,7,6414,273,39.0,0.2857142857142857,0.2857142857142857,0.031676889797611636,-0.008799638989169675,293.29508196721315,0.05620608899297422
金時,20250109,machine_category,hana_oki,4,5684,-67,-16.75,0.5,0.5,0.02807163105856323,0.002159618359979371,237.54508196721312,0.2704918032786885
金時,20250109,machine_category,juggler,49,98136,-8940,-182.44897959183675,0.22448979591836735,0.14285714285714285,0.4846653035825407,0.28816400206291903,71.84610237537638,-0.08665105386416863
金時,20250109,machine_category,other,62,92248,-22290,-359.51612903225805,0.3387096774193548,0.27419354838709675,0.45558617556128445,0.7184760185662713,-105.22104706504493,0.04468535166578527
金時,20250110,machine_category,at_smart,7,7083,163,23.285714285714285,0.2857142857142857,0.2857142857142857,0.02903630460448642,-0.08758731864588931,38.66587957497048,0.07910271546635181
金時,20250110,machine_category,hana_oki,3,5662,-1930,-643.3333333333334,0.0,0.0,0.02321100616555162,1.0370768404083825,-627.9531680440772,-0.2066115702479339
金時,20250110,machine_category,juggler,48,134213,-132,-2.75,0.3958333333333333,0.14583333333333334,0.5501975928112292,0.07092960773777539,12.630165289256198,-0.06077823691460055
金時,20250110,machine_category,other,63,96978,38,0.6031746031746031,0.3333333333333333,0.25396825396825395,0.39755509641873277,-0.02041912950026867,15.9833398924308,0.047356683720320064
金時,20250111,machine_category,at_smart,9,15029,3832,425.77777777777777,0.2222222222222222,0.1111111111111111,0.041732847574724265,-20.16842105263158,427.15458937198065,-0.15700483091787443
金時,20250111,machine_category,hana_oki,4,8838,-2570,-642.5,0.25,0.25,0.024541546800546477,13.526315789473685,-641.1231884057971,-0.018115942028985532
金時,20250111,machine_category,juggler,50,172749,-3640,-72.8,0.44,0.2,0.4796931057080339,19.157894736842106,-71.4231884057971,-0.06811594202898552
金時,20250111,machine_category,other,75,163508,2188,29.173333333333332,0.37333333333333335,0.3333333333333333,0.45403249991669536,-11.51578947368421,30.55014492753623,0.06521739130434778
金時,20250112,machine_category,at_smart,9,10456,5816,646.2222222222222,0.7777777777777778,0.7777777777777778,0.030084533626429273,0.22913875975100464,455.38011695906425,0.40935672514619886
金時,20250112,machine_category,hana_oki,4,7444,1717,429.25,0.5,0.5,0.021418254429527498,0.06764636356473092,238.4078947368421,0.13157894736842107
金時,20250112,machine_category,juggler,50,183245,3982,79.64,0.44,0.3,0.5272418099057988,0.15688283035221812,-111.20210526315789,-0.06842105263157894
金時,20250112,machine_category,other,70,146409,13867,198.1,0.4,0.35714285714285715,0.4212554020382444,0.5463320463320464,7.257894736842104,-0.011278195488721776
金時,20250113,machine_category,at_smart,9,23463,-6506,-722.8888888888889,0.2222222222222222,0.2222222222222222,0.06364642502563435,1.1028987964061705,-681.0520094562648,-0.0685579196217494
金時,20250113,machine_category,hana_oki,4,5540,-929,-232.25,0.25,0.25,0.015027967209735085,0.15748431937616544,-190.41312056737587,-0.04078014184397161
金時,20250113,machine_category,juggler,50,174302,-878,-17.56,0.4,0.24,0.47281674017892505,0.14883878623495508,24.276879432624117,-0.050780141843971616
金時,20250113,machine_category,other,78,165341,2414,30.94871794871795,0.3717948717948718,0.3333333333333333,0.4485088675857055,-0.4092219020172911,72.78559738134206,0.04255319148936171
金時,20250114,machine_category,at_smart,8,9415,-3688,-461.0,0.375,0.375,0.03778848083483845,0.7232790743282996,-420.20799999999997,0.07900000000000001
金時,20250114,machine_category,hana_oki,4,5411,-4053,-1013.25,0.0,0.0,0.021717840658238008,0.794861737595607,-972.458,-0.296
金時,20250114,machine_category,juggler,49,140819,2037,41.57142857142857,0.3877551020408163,0.24489795918367346,0.5651976720850893,-0.399490096097274,82.36342857142857,-0.05110204081632652
金時,20250114,machine_category,other,64,93505,605,9.453125,0.390625,0.34375,0.37529600642183425,-0.11865071582663267,50.245125,0.047750000000000015
金時,20250115,machine_category,at_smart,9,26083,-6299,-699.8888888888889,0.2222222222222222,0.2222222222222222,0.059055135937981125,0.5725843105172257,-621.8676122931442,-0.04018912529550828
金時,20250115,machine_category,hana_oki,4,8316,-2764,-691.0,0.25,0.25,0.01882845188284519,0.251249886373966,-612.9787234042553,-0.012411347517730487
金時,20250115,machine_category,juggler,50,227862,12070,241.4,0.54,0.22,0.515907732434929,-1.0971729842741569,319.4212765957447,-0.042411347517730486
