segment,gate_quantile,gate_label,window_days,n_active_days,n_total_days,active_rate,active_avg_payout,inactive_avg_payout,payout_gap
2F_L_N,0.6,q60,90,87,256,33.984375,102.91024655090419,98.16408528507239,4.746161265831802
2F_L_N,0.7,q70,90,67,256,26.171875,103.51019360855433,98.45364492768655,5.0565486808677775
2F_L_N,0.8,q80,90,45,256,17.578125,104.17782810996927,98.83848150785441,5.339346602114858
2F_R_N,0.6,q60,90,88,256,34.375,103.0403126179474,98.04727681494539,4.993035803002002
2F_R_N,0.7,q70,90,66,256,25.78125,103.67092280428558,98.40636373793342,5.264559066352163
2F_R_N,0.8,q80,90,45,256,17.578125,104.46989402667428,98.7599278866818,5.709966139992488
3F_L_A,0.6,q60,90,84,256,32.8125,99.6197749504188,96.68588337296646,2.933891577452343
3F_L_A,0.7,q70,90,61,256,23.828125,100.0647731424139,96.89272756050337,3.172045581910524
3F_L_A,0.8,q80,90,44,256,17.1875,100.54851198017856,97.04669107951675,3.501820900661812
3F_L_N,0.6,q60,90,97,256,37.890625,104.18434076380504,97.17783547420728,7.006505289597754
3F_L_N,0.7,q70,90,74,256,28.90625,105.09787959288066,97.69183409129054,7.406045501590114
3F_L_N,0.8,q80,90,52,256,20.3125,106.13000242930875,98.2274351380588,7.902567291249952
3F_R_A,0.6,q60,90,87,256,33.984375,99.58874205990868,96.62462471509444,2.964117344814241
3F_R_A,0.7,q70,90,68,256,26.5625,99.90810066447732,96.80867707914126,3.099423585336055
3F_R_A,0.8,q80,90,40,256,15.625,100.63381112665644,97.07606338424426,3.5577477424121753
3F_R_N,0.6,q60,90,100,256,39.0625,104.14005052489212,97.11458817577935,7.025462349112772
3F_R_N,0.7,q70,90,75,256,29.296875,104.98501252234924,97.73483352892043,7.250178993428804
3F_R_N,0.8,q80,90,48,256,18.75,106.17934905498059,98.40034640996018,7.779002645020412
