hall,axis_value,n_days_full,t_full,mean_excess_full,n_days_first,t_first,n_days_second,t_second,verdict,category_note
楽園,1031-1040,548,5.639375059596338,212.17954778466273,274,5.682176529536988,274,2.5870824333069313,stable,dominated_by_at_smart
楽園,1041-1050,548,4.630534080519604,170.86366028611098,274,3.45322240837546,274,3.146452599211088,stable,dominated_by_at_smart
楽園,1051-1060,548,3.762228239599195,157.96064861307192,274,2.448088702180026,274,2.8623368624015866,stable,dominated_by_at_smart
楽園,1101-1110,548,-4.273726320479568,-97.67851544671258,274,-4.3140979788724865,274,-1.9135490917285987,stable,dominated_by_hana_oki
楽園,1131-1140,548,-6.623954480012894,-127.30464002671488,274,-4.454745744885387,274,-4.915244812754594,stable,dominated_by_juggler
楽園,1151-1160,548,-4.359006982521109,-68.22215175768464,274,-3.6863366571355467,274,-2.513882009155591,stable,dominated_by_juggler
楽園,1191-1200,548,-3.8124403861457417,-63.75420482221947,274,-2.6242875335205627,274,-2.760880668585126,stable,dominated_by_juggler
楽園,1201-1210,548,-5.352663289368795,-91.01801260810754,274,-3.6817333896114817,274,-3.879665289697742,stable,dominated_by_juggler
楽園,2131-2140,544,4.02008003616649,83.71789595420633,274,1.6758042842464873,270,3.714398572112189,stable,dominated_by_other
楽園,3221-3230,548,4.133252716152027,94.06527872545753,274,2.1598715478370414,274,3.6762679078028824,stable,dominated_by_at_smart+other
楽園,2141-2150,548,3.532779458523659,82.04474808010936,274,5.512627570765808,274,0.9771883591305186,weak_in_one_half,dominated_by_hana_oki+other
金時,341-350,547,-3.8162544416981237,-137.07263966788057,273,-3.430899100092389,274,-2.0184576238969596,stable,dominated_by_at_smart+other
金時,401-410,547,4.22717774428666,61.89416918850781,273,3.828267751500996,274,2.220680075513626,stable,dominated_by_juggler
金時,411-420,547,5.949897563391478,95.17993207989228,273,4.259308573350806,274,4.155076586911271,stable,dominated_by_juggler
金時,421-430,547,3.686645969957552,58.97609005557495,273,3.7043005789155696,274,1.4398083500008212,stable,dominated_by_juggler
金時,431-440,547,5.30238398318793,86.43978887452971,273,3.9621117180684227,274,3.5656731805266237,stable,dominated_by_juggler+other
金時,461-470,547,5.369486655300187,77.95837872972832,273,4.568372456327941,274,3.237361465907507,stable,dominated_by_juggler
レイトギャップ,571-580,469,4.168159765704126,282.42810137161615,234,3.383825708671946,235,2.5089010162069028,stable,dominated_by_at_smart
レイトギャップ,711-720,468,4.923495927951241,95.37263594817888,233,4.211058237790557,235,2.6558264258840145,stable,dominated_by_juggler
レイトギャップ,721-730,468,3.871416475320763,74.75952290381584,233,2.5024679914890755,235,2.986903149250808,stable,dominated_by_juggler
レイトギャップ,731-740,468,5.354048955455133,114.3505027572957,233,5.061151311887315,235,2.343653413884945,stable,dominated_by_juggler
レイトギャップ,741-750,468,3.832044905083699,80.97311078198705,233,3.381807666125609,235,1.9291698575349967,stable,dominated_by_juggler
レイトギャップ,861-870,468,-7.114097091092082,-303.1137617590522,233,-4.867265836109063,235,-5.216979903150033,stable,dominated_by_other
ザシティ,771-780,548,3.904537580073232,68.20934906574176,274,3.190764851040935,274,2.301615467851316,stable,dominated_by_juggler
