rank,last_digit,combined_score
1,9,3.2
2,7,2.9
3,1,2.8
4,2,2.4999999999999996
5,5,2.4000000000000004
6,4,2.3000000000000003
7,6,1.9
8,0,1.8000000000000003
9,3,1.1
10,8,1.0999999999999999
