rank,last_digit,combined_score
1,0,3.5
2,7,3.1999999999999997
3,1,2.4
4,6,2.3000000000000003
5,8,2.3
6,3,2.1999999999999997
7,4,1.9
8,9,1.8
9,5,1.3
10,2,1.1
