rank,last_digit,combined_score
1,3,2.9000000000000004
2,1,2.6
3,6,2.6
4,0,2.4
5,5,2.3000000000000003
6,9,2.1
7,8,2.0
8,2,2.0
9,7,1.7
10,4,1.4
