date,month,weekday,expert,precision,recall,f1,hit_at_2,hit_at_3,pred_span,n_items
2026-05-20,2026-05,Wednesday,2F_N,1.0,1.0,1.0,1.0,1.0,0.9875500709749759,20
2026-05-20,2026-05,Wednesday,3F_A,1.0,1.0,1.0,1.0,1.0,0.7205148935317993,20
2026-05-20,2026-05,Wednesday,3F_N,1.0,1.0,1.0,1.0,1.0,0.9477244764566422,20
