rank,last_digit,combined_score
1,0,3.2
2,3,2.6999999999999997
3,6,2.5000000000000004
4,7,2.5
5,8,2.3
6,9,2.2
7,1,2.1
8,2,1.7
9,4,1.5999999999999999
10,5,1.2000000000000002
