date,expert,last_digit,pred,actual_raw_diff,prob_positive,final_score,ltr_pred
2026-05-27,2F_A,0,0.003398687046989588,-1000.0,0.5,0.003398687046989588,0.003398687046989588
2026-05-27,2F_A,1,0.994822584098533,7300.0,0.5,0.994822584098533,0.994822584098533
2026-05-27,2F_A,2,0.004727162086357892,1200.0,0.5,0.004727162086357892,0.004727162086357892
2026-05-27,2F_A,3,0.9903071759682469,3900.0,0.5,0.9903071759682469,0.9903071759682469
2026-05-27,2F_A,4,0.07233081223476862,2000.0,0.5,0.07233081223476862,0.07233081223476862
2026-05-27,2F_A,5,0.007154234828136042,-2500.0,0.5,0.007154234828136042,0.007154234828136042
2026-05-27,2F_A,6,0.030785564069896937,700.0,0.5,0.030785564069896937,0.030785564069896937
2026-05-27,2F_A,7,0.06033812874701037,3000.0,0.5,0.06033812874701037,0.06033812874701037
2026-05-27,2F_A,8,0.004126134946311148,-3700.0,0.5,0.004126134946311148,0.004126134946311148
2026-05-27,2F_A,9,0.00989360662197012,-1200.0,0.5,0.00989360662197012,0.00989360662197012
2026-05-27,2F_N,0,0.0035951429899361317,2800.0,0.5,0.0035951429899361317,0.0035951429899361317
2026-05-27,2F_N,1,0.003273864651906347,8600.0,0.5,0.003273864651906347,0.003273864651906347
2026-05-27,2F_N,2,0.0030268319196043456,-14700.0,0.5,0.0030268319196043456,0.0030268319196043456
2026-05-27,2F_N,3,0.00343709426399216,900.0,0.5,0.00343709426399216,0.00343709426399216
2026-05-27,2F_N,4,0.003522188082400095,14300.0,0.5,0.003522188082400095,0.003522188082400095
2026-05-27,2F_N,5,0.0032177901689752287,11400.0,0.5,0.0032177901689752287,0.0032177901689752287
2026-05-27,2F_N,6,0.9246718855669976,28600.0,0.5,0.9246718855669976,0.9246718855669976
2026-05-27,2F_N,7,0.003339237377497213,-22400.0,0.5,0.003339237377497213,0.003339237377497213
2026-05-27,2F_N,8,0.003695712036935968,-7500.0,0.5,0.003695712036935968,0.003695712036935968
2026-05-27,2F_N,9,0.003425082699655935,-17200.0,0.5,0.003425082699655935,0.003425082699655935
2026-05-27,3F_A,0,0.16616025899111425,7100.0,0.5,0.16616025899111425,0.16616025899111425
2026-05-27,3F_A,1,0.01018572134748729,5400.0,0.5,0.01018572134748729,0.01018572134748729
2026-05-27,3F_A,2,0.003808938973592698,-6900.0,0.5,0.003808938973592698,0.003808938973592698
2026-05-27,3F_A,3,0.01269717045176888,5500.0,0.5,0.01269717045176888,0.01269717045176888
2026-05-27,3F_A,4,0.9929658320193272,19600.0,0.5,0.9929658320193272,0.9929658320193272
2026-05-27,3F_A,5,0.08765455421095317,5600.0,0.5,0.08765455421095317,0.08765455421095317
2026-05-27,3F_A,6,0.0033063294906762073,-1900.0,0.5,0.0033063294906762073,0.0033063294906762073
2026-05-27,3F_A,7,0.012299575759543782,400.0,0.5,0.012299575759543782,0.012299575759543782
2026-05-27,3F_A,8,0.0039028986438735883,1300.0,0.5,0.0039028986438735883,0.0039028986438735883
2026-05-27,3F_A,9,0.0036772613551169964,-1700.0,0.5,0.0036772613551169964,0.0036772613551169964
2026-05-27,3F_N,0,0.021377115991393216,300.0,0.5,0.021377115991393216,0.021377115991393216
2026-05-27,3F_N,1,0.020603815418123814,-100.0,0.5,0.020603815418123814,0.020603815418123814
2026-05-27,3F_N,2,0.03689420393893623,3600.0,0.5,0.03689420393893623,0.03689420393893623
2026-05-27,3F_N,3,0.031719562128376455,1100.0,0.5,0.031719562128376455,0.031719562128376455
2026-05-27,3F_N,4,0.03718205486360978,-7800.0,0.5,0.03718205486360978,0.03718205486360978
2026-05-27,3F_N,5,0.03472879845218326,2500.0,0.5,0.03472879845218326,0.03472879845218326
2026-05-27,3F_N,6,0.02245987419597936,-4100.0,0.5,0.02245987419597936,0.02245987419597936
2026-05-27,3F_N,7,0.49499167908238045,13300.0,0.5,0.49499167908238045,0.49499167908238045
2026-05-27,3F_N,8,0.028226015690469876,300.0,0.5,0.028226015690469876,0.028226015690469876
2026-05-27,3F_N,9,0.08016367776798752,-800.0,0.5,0.08016367776798752,0.08016367776798752
