rank,last_digit,combined_score
1,0,3.5
2,7,3.2
3,3,2.7
4,8,2.4
5,1,2.1
6,4,1.9000000000000001
7,9,1.9000000000000001
8,6,1.9000000000000001
9,5,1.3
10,2,1.1
