rank,last_digit,combined_score
1,7,3.3000000000000003
2,8,2.8999999999999995
3,4,2.6999999999999997
4,2,2.4
5,0,2.4
6,3,2.2
7,9,2.0
8,6,1.7000000000000002
9,5,1.5
10,1,0.9000000000000001
