model,seed,backend_used,date,picked_store,oracle_store,picked_actual_avg_diff_per_machine,oracle_actual_avg_diff_per_machine,top1_hit,top2_inclusion,spearman_daily_rho,regret_vs_oracle,pred_top2_stores
catboost_ranker_depth4,42,gpu,2026-01-01 00:00:00,楽園蒲田店,マルハンメガシティ2000-蒲田7,-95.0,370.0,0,0,0.2333333333333333,465.0,"楽園蒲田店,マルハンメガシティ2000-蒲田1"
catboost_ranker_depth4,42,gpu,2026-01-02 00:00:00,マルハンメガシティ2000-蒲田1,金時京急蒲田店,59.0,205.0,0,0,-0.016666666666666666,146.0,"マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7"
catboost_ranker_depth4,42,gpu,2026-01-03 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7,-449.0,54.0,0,0,0.13333333333333333,503.0,"マルハンメガシティ2000-蒲田1,金時京急蒲田店"
catboost_ranker_depth4,42,gpu,2026-01-04 00:00:00,マルハンメガシティ2000-蒲田1,みとや大森町店,164.0,178.0,0,0,0.5833333333333334,14.0,"マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7"
catboost_ranker_depth4,42,gpu,2026-01-05 00:00:00,金時京急蒲田店,マルハンメガシティ2000-蒲田7,105.0,449.0,0,0,0.19999999999999998,344.0,"金時京急蒲田店,マルハンメガシティ2000-蒲田1"
catboost_ranker_depth4,42,gpu,2026-01-06 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7,-36.0,226.0,0,1,-0.016666666666666666,262.0,"マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7"
catboost_ranker_depth4,42,gpu,2026-01-07 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7,198.0,349.0,0,0,0.7666666666666667,151.0,"マルハンメガシティ2000-蒲田1,みとや大森町店"
catboost_ranker_depth4,42,gpu,2026-01-08 00:00:00,マルハンメガシティ2000-蒲田1,ザ-シティ-ベルシティ雑色店,-76.0,393.0,0,0,0.6166666666666666,469.0,"マルハンメガシティ2000-蒲田1,楽園蒲田店"
catboost_ranker_depth4,42,gpu,2026-01-09 00:00:00,楽園蒲田店,金時京急蒲田店,-2.0,236.0,0,0,0.25,238.0,"楽園蒲田店,マルハンメガシティ2000-蒲田1"
catboost_ranker_depth4,42,gpu,2026-01-10 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7,17.0,244.0,0,0,-0.21666666666666667,227.0,"マルハンメガシティ2000-蒲田1,楽園蒲田店"
catboost_ranker_depth4,42,gpu,2026-01-11 00:00:00,楽園蒲田店,ARROW池上店,225.0,420.0,0,0,-0.06666666666666667,195.0,"楽園蒲田店,マルハンメガシティ2000-蒲田7"
catboost_ranker_depth4,42,gpu,2026-01-12 00:00:00,マルハンメガシティ2000-蒲田1,みとや大森町店,-137.0,236.0,0,0,0.21666666666666667,373.0,"マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7"
catboost_ranker_depth4,42,gpu,2026-01-13 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田1,177.0,177.0,1,1,0.45,0.0,"マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7"
catboost_ranker_depth4,42,gpu,2026-01-14 00:00:00,みとや大森町店,みとや大森町店,382.0,382.0,1,1,0.7333333333333334,0.0,"みとや大森町店,マルハンメガシティ2000-蒲田1"
catboost_ranker_depth4,42,gpu,2026-01-15 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7,58.0,166.0,0,0,0.6,108.0,"マルハンメガシティ2000-蒲田1,楽園蒲田店"
catboost_ranker_depth4,42,gpu,2026-01-16 00:00:00,マルハンメガシティ2000-蒲田1,マルハンメガシティ2000-蒲田7,-180.0,432.0,0,0,0.2333333333333333,612.0,"マルハンメガシティ2000-蒲田1,楽園蒲田店"
catboost_ranker_depth4,42,gpu,2026-01-17 00:00:00,楽園蒲田店,レイトギャップ平和島,-31.0,231.0,0,0,0.26666666666666666,262.0,"楽園蒲田店,みとや大森町店"
catboost_ranker_depth4,42,gpu,2026-01-18 00:00:00,楽園蒲田店,マルハンメガシティ2000-蒲田1,-192.0,224.0,0,0,0.11666666666666665,416.0,"楽園蒲田店,みとや大森町店"
catboost_ranker_depth4,42,gpu,2026-01-19 00:00:00,マルハンメガシティ2000-蒲田7,レイトギャップ平和島,14.0,459.0,0,0,0.45,445.0,"マルハンメガシティ2000-蒲田7,マルハンメガシティ2000-蒲田1"
