rank,last_digit,combined_score
1,0,3.5999999999999996
2,7,3.2
3,1,2.6
4,8,2.5
5,3,2.2
6,6,2.2
7,4,1.8
8,9,1.5
9,2,1.2999999999999998
10,5,1.1
