model,chosen_avg_diff_mean_cpu,chosen_avg_diff_mean_gpu,elapsed_sec_mean_cpu,elapsed_sec_mean_gpu,regret_mean_cpu,regret_mean_gpu,spearman_daily_mean_cpu,spearman_daily_mean_gpu,top1_hit_rate_cpu,top1_hit_rate_gpu,top2_inclusion_rate_cpu,top2_inclusion_rate_gpu,chosen_avg_diff_mean_delta_gpu_minus_cpu,spearman_daily_mean_delta_gpu_minus_cpu,top1_hit_rate_delta_gpu_minus_cpu,top2_inclusion_rate_delta_gpu_minus_cpu,regret_mean_delta_gpu_minus_cpu,elapsed_sec_mean_delta_gpu_minus_cpu
catboost_ranker_depth4,111.81333333333333,34.72666666666667,0.7931602001190186,1.719926357269287,152.92,230.00666666666666,0.37861904761904763,0.3038095238095238,0.24,0.10666666666666667,0.3933333333333333,0.26,-77.08666666666667,-0.07480952380952383,-0.1333333333333333,-0.1333333333333333,77.08666666666667,0.9267661571502686
catboost_ranker_depth6,111.81333333333333,25.06,1.9282028675079346,2.177933692932129,152.92,239.67333333333335,0.37657142857142856,0.2942063492063492,0.24,0.11333333333333333,0.4066666666666667,0.26,-86.75333333333333,-0.08236507936507936,-0.12666666666666665,-0.14666666666666667,86.75333333333336,0.24973082542419434
lgbm_ranker_leaves31,106.68,106.68,1.545915126800537,1.0765693187713623,158.05333333333334,158.05333333333334,0.3128888888888889,0.31322222222222224,0.22666666666666666,0.22666666666666666,0.41333333333333333,0.41333333333333333,0.0,0.00033333333333335213,0.0,0.0,0.0,-0.4693458080291748
lgbm_ranker_leaves63,105.16666666666667,108.32666666666667,0.19390511512756348,1.6982381343841553,159.56666666666666,156.40666666666667,0.32111111111111107,0.31184126984126986,0.22666666666666666,0.23333333333333334,0.4266666666666667,0.43333333333333335,3.1599999999999966,-0.009269841269841206,0.006666666666666682,0.006666666666666654,-3.1599999999999966,1.5043330192565918
xgb_ranker_md3,111.81333333333333,111.66666666666667,0.2045910358428955,0.46964287757873535,152.92,153.06666666666666,0.30123809523809525,0.3116984126984127,0.24,0.25333333333333335,0.42,0.35333333333333333,-0.14666666666666117,0.010460317460317448,0.013333333333333364,-0.06666666666666665,0.14666666666667538,0.26505184173583984
xgb_ranker_md4,110.64,107.13333333333334,0.11419939994812012,0.2968783378601074,154.09333333333333,157.6,0.28933333333333333,0.26601587301587304,0.24,0.23333333333333334,0.42,0.36,-3.5066666666666606,-0.023317460317460292,-0.006666666666666654,-0.06,3.5066666666666606,0.1826789379119873
