rank,last_digit,combined_score
1,7,3.0
2,3,3.0
3,0,2.8999999999999995
4,8,2.7
5,1,2.7
6,9,1.7000000000000002
7,4,1.7
8,6,1.7
9,5,1.3
10,2,1.2999999999999998
