date,month,weekday,expert,model,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,confidence_band,operational_pick_tail,operational_pick_source,operational_pick_pred,operational_pick_actual_raw_diff,operational_pick_in_actual_top2,top1_is_avoid,top2_is_avoid,hit_at_2,hit_at_3
2026-01-01,2026-01,Thursday,2F_N,xgb_ranker_ndcg,full_2025,0.75,8,0.1417925423286753,12600.0,0.5,0.1417925423286753,7,0.014385959282644545,4700.0,0.5,0.014385959282644545,0.12740658304603075,medium,8,top1_default,0.1417925423286753,12600.0,1,0,0,1.0,1.0
2026-01-01,2026-01,Thursday,3F_A,xgb_ranker_ndcg,full_2025,1.25,9,0.9977599750256223,42300.0,0.5,0.9977599750256223,7,0.9972058054200125,48200.0,0.5,0.9972058054200125,0.0005541696056098333,undefined,7,top2_on_undefined,0.9972058054200125,48200.0,1,0,0,1.0,1.0
2026-01-01,2026-01,Thursday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,6,0.24465478133130703,10200.0,0.5,0.24465478133130703,7,0.005073059870000989,5700.0,0.5,0.005073059870000989,0.23958172146130605,medium,6,top1_default,0.24465478133130703,10200.0,1,0,0,1.0,1.0
2026-01-02,2026-01,Friday,2F_N,xgb_ranker_ndcg,full_2025,0.75,9,0.9976808315444683,35300.0,0.5,0.9976808315444683,6,0.9966333395018624,33900.0,0.5,0.9966333395018624,0.001047492042605902,low,9,top1_default,0.9976808315444683,35300.0,1,0,0,1.0,1.0
2026-01-02,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,1.25,4,0.9703037250126407,16400.0,0.5,0.9703037250126407,0,0.035169699144677886,4900.0,0.5,0.035169699144677886,0.9351340258679628,high,4,top1_default,0.9703037250126407,16400.0,1,0,0,1.0,1.0
2026-01-02,2026-01,Friday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,5,0.6320359349482495,15200.0,0.5,0.6320359349482495,3,0.008340726619918616,300.0,0.5,0.008340726619918616,0.6236952083283309,high,5,top1_default,0.6320359349482495,15200.0,1,0,0,1.0,1.0
2026-01-03,2026-01,Saturday,2F_N,xgb_ranker_ndcg,full_2025,0.75,0,0.9886877661501227,38800.0,0.5,0.9886877661501227,6,0.7942785291117983,23700.0,0.5,0.7942785291117983,0.19440923703832436,medium,0,top1_default,0.9886877661501227,38800.0,1,0,0,1.0,1.0
2026-01-03,2026-01,Saturday,3F_A,xgb_ranker_ndcg,full_2025,1.25,5,0.005183670182358617,500.0,0.5,0.005183670182358617,1,0.0010050141078955545,-3500.0,0.5,0.0010050141078955545,0.004178656074463063,low,5,top1_default,0.005183670182358617,500.0,1,0,0,1.0,1.0
2026-01-03,2026-01,Saturday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,2,0.8350701099669287,13000.0,0.5,0.8350701099669287,9,0.2357775390475932,7000.0,0.5,0.2357775390475932,0.5992925709193355,high,2,top1_default,0.8350701099669287,13000.0,1,0,0,1.0,1.0
2026-01-04,2026-01,Sunday,2F_N,xgb_ranker_ndcg,full_2025,0.75,8,0.9847784132446515,33700.0,0.5,0.9847784132446515,7,0.09870123807898207,13400.0,0.5,0.09870123807898207,0.8860771751656695,high,8,top1_default,0.9847784132446515,33700.0,1,0,0,1.0,1.0
2026-01-04,2026-01,Sunday,3F_A,xgb_ranker_ndcg,full_2025,1.25,0,0.001475862206023434,-3200.0,0.5,0.001475862206023434,6,0.001030593997014524,-700.0,0.5,0.001030593997014524,0.0004452682090089102,undefined,6,top2_on_undefined,0.001030593997014524,-700.0,1,0,0,1.0,1.0
2026-01-04,2026-01,Sunday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,9,0.8410177229574655,16300.0,0.5,0.8410177229574655,0,0.013584130544015282,1600.0,0.5,0.013584130544015282,0.8274335924134502,high,9,top1_default,0.8410177229574655,16300.0,1,0,0,1.0,1.0
2026-01-05,2026-01,Monday,2F_N,xgb_ranker_ndcg,full_2025,0.75,1,0.994930734165064,48500.0,0.5,0.994930734165064,9,0.9931118759133969,39700.0,0.5,0.9931118759133969,0.0018188582516670548,low,1,top1_default,0.994930734165064,48500.0,1,0,0,1.0,1.0
2026-01-05,2026-01,Monday,3F_A,xgb_ranker_ndcg,full_2025,1.25,6,0.9911837630609697,13000.0,0.5,0.9911837630609697,4,0.40575843172975956,8700.0,0.5,0.40575843172975956,0.5854253313312101,high,6,top1_default,0.9911837630609697,13000.0,1,0,0,1.0,1.0
2026-01-05,2026-01,Monday,3F_N,xgb_ranker_ndcg,full_2025,0.75,5,0.9897422088617589,22300.0,0.5,0.9897422088617589,6,0.9895025216041363,25400.0,0.5,0.9895025216041363,0.00023968725762257836,undefined,6,top2_on_undefined,0.9895025216041363,25400.0,1,0,0,1.0,1.0
2026-01-06,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,2,0.9970508860066288,44400.0,0.5,0.9970508860066288,6,0.996727495001418,38300.0,0.5,0.996727495001418,0.00032339100521083797,undefined,6,top2_on_undefined,0.996727495001418,38300.0,1,0,0,1.0,1.0
2026-01-06,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,full_2025,1.25,5,0.7307395621381588,6300.0,0.5,0.7307395621381588,9,0.6405641939883463,9200.0,0.5,0.6405641939883463,0.09017536814981253,low,5,top1_default,0.7307395621381588,6300.0,1,0,0,1.0,1.0
2026-01-06,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,full_2025,0.75,3,0.992900318620621,20300.0,0.5,0.992900318620621,1,0.9716765243045472,17300.0,0.5,0.9716765243045472,0.021223794316073796,low,3,top1_default,0.992900318620621,20300.0,1,0,0,1.0,1.0
2026-01-07,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,full_2025,0.75,4,0.9486754491229005,32300.0,0.5,0.9486754491229005,0,0.9118746770686105,39400.0,0.5,0.9118746770686105,0.03680077205429,low,4,top1_default,0.9486754491229005,32300.0,0,0,0,1.0,1.0
2026-01-07,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,7,0.9415548938909233,11200.0,0.5,0.9415548938909233,0,0.24809626445696537,8500.0,0.5,0.24809626445696537,0.693458629433958,high,7,top1_default,0.9415548938909233,11200.0,1,0,0,1.0,1.0
2026-01-07,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,full_2025,0.75,7,0.995133116159012,22100.0,0.5,0.995133116159012,0,0.9917454313256097,20600.0,0.5,0.9917454313256097,0.003387684833402349,low,7,top1_default,0.995133116159012,22100.0,1,0,0,1.0,1.0
2026-01-08,2026-01,Thursday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,1,0.9939271737526715,54400.0,0.5,0.9939271737526715,5,0.9772368563655696,30700.0,0.5,0.9772368563655696,0.016690317387101916,low,1,top1_default,0.9939271737526715,54400.0,1,0,0,1.0,1.0
