seed,date,weekday,excess
42,2026-02-26 00:00:00,Thursday,1006.3370178208888
42,2026-02-27 00:00:00,Friday,1321.1537351537352
42,2026-02-28 00:00:00,Saturday,929.8841783216783
42,2026-03-01 00:00:00,Sunday,690.5467739807362
42,2026-03-02 00:00:00,Monday,2000.065268065268
42,2026-03-03 00:00:00,Tuesday,689.3155876381684
42,2026-03-04 00:00:00,Wednesday,1007.9947552447552
42,2026-03-05 00:00:00,Thursday,628.6983983758176
42,2026-03-06 00:00:00,Friday,866.3627483627483
42,2026-03-07 00:00:00,Saturday,882.1842295635399
42,2026-03-08 00:00:00,Sunday,1959.8925755095968
42,2026-03-09 00:00:00,Monday,611.4558989397699
42,2026-03-10 00:00:00,Tuesday,886.7317127317127
42,2026-03-11 00:00:00,Wednesday,1253.892368501064
42,2026-03-12 00:00:00,Thursday,1085.601173020528
42,2026-03-13 00:00:00,Friday,1065.2021891152326
42,2026-03-14 00:00:00,Saturday,1343.020979020979
42,2026-03-15 00:00:00,Sunday,2437.5162768266214
42,2026-03-16 00:00:00,Monday,784.2206682206681
42,2026-03-17 00:00:00,Tuesday,799.065823065823
42,2026-03-18 00:00:00,Wednesday,0.0
42,2026-03-19 00:00:00,Thursday,720.6101398601398
42,2026-03-20 00:00:00,Friday,928.7913376945635
42,2026-03-21 00:00:00,Saturday,1415.1561771561771
42,2026-03-22 00:00:00,Sunday,789.9259906759908
42,2026-03-23 00:00:00,Monday,1144.828215262998
42,2026-03-24 00:00:00,Tuesday,753.4025974025974
42,2026-03-25 00:00:00,Wednesday,644.8260675494718
42,2026-03-26 00:00:00,Thursday,683.9274475524476
42,2026-03-27 00:00:00,Friday,573.1998001998003
42,2026-03-28 00:00:00,Saturday,1792.395256916996
42,2026-03-29 00:00:00,Sunday,1086.0008741258741
42,2026-03-30 00:00:00,Monday,1171.2042850766254
42,2026-03-31 00:00:00,Tuesday,1134.3620823620822
42,2026-04-01 00:00:00,Wednesday,1677.1082710393055
42,2026-04-02 00:00:00,Thursday,908.4597624597624
42,2026-04-03 00:00:00,Friday,636.6402486402486
42,2026-04-04 00:00:00,Saturday,1286.8986013986014
42,2026-04-05 00:00:00,Sunday,980.8972902097902
42,2026-04-06 00:00:00,Monday,811.7458193979934
42,2026-04-07 00:00:00,Tuesday,1651.6564685314686
42,2026-04-08 00:00:00,Wednesday,0.0
77,2026-02-26 00:00:00,Thursday,1006.3370178208888
77,2026-02-27 00:00:00,Friday,1321.1537351537352
77,2026-02-28 00:00:00,Saturday,929.8841783216783
77,2026-03-01 00:00:00,Sunday,881.1569706888855
77,2026-03-02 00:00:00,Monday,2000.065268065268
77,2026-03-03 00:00:00,Tuesday,689.3155876381684
77,2026-03-04 00:00:00,Wednesday,1007.9947552447552
77,2026-03-05 00:00:00,Thursday,628.6983983758176
77,2026-03-06 00:00:00,Friday,866.3627483627483
77,2026-03-07 00:00:00,Saturday,882.1842295635399
77,2026-03-08 00:00:00,Sunday,1959.8925755095968
77,2026-03-09 00:00:00,Monday,611.4558989397699
77,2026-03-10 00:00:00,Tuesday,886.7317127317127
77,2026-03-11 00:00:00,Wednesday,1253.892368501064
77,2026-03-12 00:00:00,Thursday,1085.601173020528
77,2026-03-13 00:00:00,Friday,1065.2021891152326
77,2026-03-14 00:00:00,Saturday,1343.020979020979
77,2026-03-15 00:00:00,Sunday,2437.5162768266214
77,2026-03-16 00:00:00,Monday,784.2206682206681
77,2026-03-17 00:00:00,Tuesday,799.065823065823
77,2026-03-18 00:00:00,Wednesday,0.0
77,2026-03-19 00:00:00,Thursday,561.2351398601398
77,2026-03-20 00:00:00,Friday,928.7913376945635
77,2026-03-21 00:00:00,Saturday,1415.1561771561771
77,2026-03-22 00:00:00,Sunday,789.9259906759908
77,2026-03-23 00:00:00,Monday,1144.828215262998
77,2026-03-24 00:00:00,Tuesday,753.4025974025974
77,2026-03-25 00:00:00,Wednesday,581.2622377622378
77,2026-03-26 00:00:00,Thursday,683.9274475524476
77,2026-03-27 00:00:00,Friday,573.1998001998003
77,2026-03-28 00:00:00,Saturday,1792.395256916996
77,2026-03-29 00:00:00,Sunday,1086.0008741258741
77,2026-03-30 00:00:00,Monday,1171.2042850766254
77,2026-03-31 00:00:00,Tuesday,1134.3620823620822
77,2026-04-01 00:00:00,Wednesday,1677.1082710393055
77,2026-04-02 00:00:00,Thursday,908.4597624597624
77,2026-04-03 00:00:00,Friday,636.6402486402486
77,2026-04-04 00:00:00,Saturday,1286.8986013986014
77,2026-04-05 00:00:00,Sunday,980.8972902097902
77,2026-04-06 00:00:00,Monday,811.7458193979934
77,2026-04-07 00:00:00,Tuesday,1651.6564685314686
77,2026-04-08 00:00:00,Wednesday,0.0
