seed,date,weekday,expert,gate_score,excess
42,2026-02-26 00:00:00,Thursday,2F_N,0.04707632362842559,761.0394265232975
42,2026-02-27 00:00:00,Friday,3F_N,0.15394390895962715,1234.155844155844
42,2026-02-28 00:00:00,Saturday,2F_N,0.07800062298774718,935.3720238095239
42,2026-03-01 00:00:00,Sunday,3F_N,0.39631778597831724,995.4545454545455
42,2026-03-02 00:00:00,Monday,3F_N,0.0604273110628128,1647.7404921700222
42,2026-03-03 00:00:00,Tuesday,2F_N,0.34907164126634593,474.9257552483359
42,2026-03-04 00:00:00,Wednesday,3F_A,0.7920114398002625,753.0253699788583
42,2026-03-05 00:00:00,Thursday,2F_N,0.08090461492538452,452.5345622119815
42,2026-03-06 00:00:00,Friday,2F_N,0.07737638056278229,586.031746031746
42,2026-03-07 00:00:00,Saturday,3F_A,0.044698551297187805,187.00841167738744
42,2026-03-08 00:00:00,Sunday,3F_N,0.6657751441001891,3011.252796420582
42,2026-03-09 00:00:00,Monday,2F_N,0.9444670677185057,571.1981566820276
42,2026-03-10 00:00:00,Tuesday,2F_N,0.09027668237686157,768.2539682539682
42,2026-03-11 00:00:00,Wednesday,3F_N,1.024726191163063,0.0
42,2026-03-12 00:00:00,Thursday,3F_A,0.7144025564193726,154.32558139534882
42,2026-03-13 00:00:00,Friday,2F_N,0.8448731541633605,498.73015873015873
42,2026-03-14 00:00:00,Saturday,2F_N,0.6823314487934112,528.2488479262672
42,2026-03-15 00:00:00,Sunday,3F_A,0.26457828283309937,238.49612403100772
42,2026-03-16 00:00:00,Monday,3F_A,0.1176992654800415,267.4929098128191
42,2026-03-17 00:00:00,Tuesday,3F_N,0.981439259648323,1177.4209012464046
42,2026-03-18 00:00:00,Wednesday,3F_N,0.04630667511373758,0.0
42,2026-03-19 00:00:00,Thursday,3F_N,0.22234988063573835,1127.7181208053692
42,2026-03-20 00:00:00,Friday,2F_N,1.1223640263080596,830.4761904761905
42,2026-03-21 00:00:00,Saturday,3F_N,1.0790803164243696,1461.4333652924256
42,2026-03-22 00:00:00,Sunday,3F_N,0.16090042144060135,468.5822147651006
42,2026-03-23 00:00:00,Monday,3F_N,0.9733354866504669,1344.007670182167
42,2026-03-24 00:00:00,Tuesday,3F_N,0.6359897941350936,1078.8706317981948
42,2026-03-25 00:00:00,Wednesday,3F_A,0.025421157479286194,-39.635995955510616
42,2026-03-26 00:00:00,Thursday,2F_N,1.06306174993515,535.9623015873016
42,2026-03-27 00:00:00,Friday,3F_A,0.23654311895370483,279.6744186046512
42,2026-03-28 00:00:00,Saturday,2F_N,1.0631890386343001,946.3492063492064
42,2026-03-29 00:00:00,Sunday,3F_N,0.4602184265851974,1487.3322147651006
42,2026-03-30 00:00:00,Monday,2F_N,0.53940851688385,750.7936507936508
