rank,last_digit,combined_score
1,0,3.3
2,7,3.1
3,8,2.9
4,3,2.4
5,6,2.2
6,1,2.2
7,4,1.7999999999999998
8,5,1.7000000000000002
9,9,1.4000000000000001
10,2,1.0
