rank,last_digit,combined_score
1,0,2.7
2,7,2.7
3,9,2.6
4,1,2.4
5,3,2.4
6,8,2.3
7,4,1.9000000000000001
8,2,1.8000000000000003
9,6,1.7999999999999998
10,5,1.4
