rank,last_digit,combined_score
1,8,2.4000000000000004
2,4,2.3
3,3,2.0
4,9,1.7000000000000002
5,1,1.5999999999999999
6,2,1.5
7,5,1.4
8,7,1.4
9,6,1.2000000000000002
10,0,1.0
