rank,last_digit,combined_score
1,0,3.1
2,8,2.9000000000000004
3,3,2.6
4,4,2.5
5,7,2.4999999999999996
6,5,2.4000000000000004
7,2,2.4
8,6,1.5
9,1,1.1
10,9,1.0
