rank,last_digit,combined_score
1,0,3.2
2,7,2.9000000000000004
3,6,2.7
4,8,2.6
5,3,2.1
6,1,2.0
7,9,1.8
8,4,1.6999999999999997
9,2,1.6
10,5,1.4
