rank,last_digit,combined_score
1,7,3.0999999999999996
2,2,3.0
3,9,3.0
4,1,2.5999999999999996
5,3,2.5
6,5,2.4000000000000004
7,0,2.0
8,6,1.2
9,8,1.1
10,4,1.1
