rank,last_digit,combined_score
1,0,3.2
2,3,2.6999999999999997
3,7,2.5
4,6,2.3000000000000003
5,9,2.3
6,8,2.1999999999999997
7,1,2.1
8,2,1.8
9,4,1.7
10,5,1.2000000000000002
