hall,machine_name,n_machine_days,baseline_plus_rate,baseline_hit104_rate,diff_p,diff_effect,plus_p,plus_effect,hit104_p,hit104_effect,note
みとや,甲鉄城のカバネリ,1649,40.39,34.32,0.2871464121237306,0.0008403160952969415,0.013998412413879826,0.07770683656880338,0.0633051571043292,0.06002147959118738,
みとや,甲鉄城のカバネリ 海門(うなと)決戦,1092,44.87,37.82,0.07950330580207417,0.004885848218519214,0.07155386463312045,0.07159832944038927,0.10425579346937447,0.06435419997107375,
みとや,ジャグラーガールズ,3211,39.61,23.45,0.16912218937462142,0.0009613351289070759,0.1717025276605936,0.030731659717777682,0.24713089870764957,0.024179746886477064,
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,830,38.43,25.42,0.4355474496167353,0.0,0.7167956816467855,0.0,0.869620501241782,0.0,
蒲田7,甲鉄城のカバネリ,1908,50.1,44.03,0.09803633683280631,0.0024734112891930025,0.2696201812514653,0.028856049850567424,0.22646809204989746,0.03364681728391509,
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,3133,40.25,34.85,0.18436412735716137,0.000899910056961065,0.1396757696171019,0.03418000398503586,0.24491032049272798,0.02467043639645966,
蒲田7,ジャグラーガールズ,3166,41.72,27.7,0.40739888000998464,4.5164816626368195e-05,0.06278327293550658,0.043401269698888786,0.28774110642619627,0.0208122076685376,
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,705,34.89,24.96,0.9375815677143288,0.0,0.8365170216346031,0.0,0.9829714026814682,0.0,
蒲田1,甲鉄城のカバネリ,1621,48.43,42.75,0.22097609191181772,0.0013884519105968637,0.09089985883109683,0.05508518314776314,0.31749122675745156,0.025248489449223768,
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,1024,39.84,34.96,0.3411567493480158,0.0007722043726313861,0.07916437699355397,0.07202819952891787,0.1506576998278574,0.05787874220734942,
蒲田1,ジャグラーガールズ,2782,39.36,24.55,0.8856501742469661,0.0,0.10320853758503268,0.0404531381264723,0.954028534614459,0.0,
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,471,36.52,26.11,0.4919743307023514,0.0,0.08734347159623478,0.10335703761224381,0.07038121600179845,0.10946631648499221,
楽園,甲鉄城のカバネリ,3486,41.31,35.57,0.06910392065679265,0.001637260067842754,0.26998568524563493,0.02132494511731235,0.074312178193598,0.03969102540136662,
楽園,甲鉄城のカバネリ 海門(うなと)決戦,1466,38.68,30.49,0.16208810020842762,0.0022003905883120896,0.5136320760536028,0.0,0.3573573480104811,0.020514749699878803,
楽園,ジャグラーガールズ,2147,39.59,25.24,0.003320318984879319,0.006334731604374186,0.46464095543830164,0.0,0.045268009773940764,0.056538696119754005,
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,959,36.6,28.26,0.016243827076642327,0.010054853382454057,0.2971991998440339,0.03622080807986288,0.16908690142359087,0.05665059506503813,
レイトギャップ,甲鉄城のカバネリ,542,39.11,34.69,0.30770345688837075,0.002138982567359789,0.11935362839014188,0.08723714309602328,0.0981601088587207,0.09308074153125102,
レイトギャップ,甲鉄城のカバネリ 海門(うなと)決戦,920,38.37,29.67,0.5234651378840534,0.0,0.1486271386710117,0.061424749676457495,0.5278671680192031,0.0,
レイトギャップ,ジャグラーガールズ,1847,43.04,24.91,0.10413860966092899,0.0024603795775848566,0.06464496414217547,0.05643395184298065,0.036370105736930315,0.06352977782427287,
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,510,36.27,25.69,0.8248455316539525,0.0,0.37446792841330206,0.029420152927225707,0.8504057573258357,0.0,
ARROW,甲鉄城のカバネリ,750,45.47,35.07,0.14087309790791372,0.004892771615767897,0.25057875107626915,0.049364577043949844,0.31570150675338765,0.0374052999880201,
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,894,40.16,29.08,0.1284979557322672,0.004408004773494293,0.29512176563052245,0.037863621267397465,0.49271381384625446,0.0,
ARROW,ジャグラーガールズ,537,43.39,25.51,0.7973747196813793,0.0,0.9697577628098638,0.0,0.1695919061275529,0.07556261387298066,
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,616,37.18,26.95,0.49377199867861954,0.0,0.42095564922803064,0.004077260822765402,0.790849043532307,0.0,
ヒロキ,甲鉄城のカバネリ,1618,40.17,33.31,0.1589931328430517,0.0020293191610727857,0.22372342688159993,0.036865352615105804,0.752140040484138,0.0,
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,445,38.65,30.79,0.14931802219152362,0.00789929059311234,0.2702008005894532,0.059471713300950996,0.33429073775226303,0.043581784235276595,
