hall,category,axis,rank,n_rows,n_machines,n_models,mean_games,within_model_pp,ci_lo_pp,ci_hi_pp
K1,ジャグ,rank_from_min,1,4308,9,8,5293,0.037,-0.193,0.315
K1,ジャグ,rank_from_min,2,4308,9,8,4751,0.075,-0.166,0.352
K1,ジャグ,rank_from_min,3,4282,9,8,4777,-0.135,-0.434,0.076
K1,ジャグ,rank_from_min,4,4282,9,9,4764,0.249,-0.047,0.519
K1,ジャグ,rank_from_min,5,39996,87,9,4658,-0.024,-0.067,0.021
K1,ジャグ,rank_from_max,1,4279,10,9,5063,0.098,-0.163,0.32
K1,ジャグ,rank_from_max,2,4308,10,9,4506,-0.189,-0.446,0.049
K1,ジャグ,rank_from_max,3,4308,10,9,4645,-0.119,-0.346,0.185
K1,ジャグ,rank_from_max,4,4308,10,9,4662,0.066,-0.2,0.302
K1,ジャグ,rank_from_max,5,39973,83,9,4735,0.016,-0.024,0.057
K1,ジャグ,either_end,1,8587,19,9,5179,0.068,-0.098,0.237
K1,AT一般,rank_from_min,1,10261,22,60,3481,-0.437,-1.177,0.22
K1,AT一般,rank_from_min,2,10246,23,62,3173,-0.324,-1.072,0.354
K1,AT一般,rank_from_min,3,10382,23,60,3133,-0.182,-0.972,0.605
K1,AT一般,rank_from_min,4,9719,22,58,3239,-0.083,-0.843,0.791
K1,AT一般,rank_from_min,5,70592,156,90,3407,0.149,0.001,0.315
K1,AT一般,rank_from_max,1,10089,22,67,3674,-0.246,-0.912,0.432
K1,AT一般,rank_from_max,2,10139,22,68,3337,-0.562,-1.247,0.004
K1,AT一般,rank_from_max,3,10138,22,69,3333,0.536,-0.078,1.144
K1,AT一般,rank_from_max,4,9909,21,62,3397,-0.093,-0.655,0.635
K1,AT一般,rank_from_max,5,70925,159,90,3305,0.052,-0.073,0.178
K1,AT一般,either_end,1,20350,44,84,3577,-0.343,-0.841,0.098
K1,技術介入,rank_from_min,1,148,2,3,4145,0.146,-1.6,1.666
K1,技術介入,rank_from_min,2,224,3,4,2851,-1.11,-2.963,0.785
K1,技術介入,rank_from_min,3,223,3,4,3235,1.018,-0.947,3.211
K1,技術介入,rank_from_min,4,143,1,5,2807,-1.312,-3.148,0.973
K1,技術介入,rank_from_min,5,1726,19,9,2956,0.109,-0.105,0.345
K1,技術介入,rank_from_max,1,168,4,4,2706,-0.335,-2.066,2.709
K1,技術介入,rank_from_max,2,275,4,5,2546,-0.804,-3.061,0.357
K1,技術介入,rank_from_max,3,219,3,4,2930,1.22,-0.344,3.225
K1,技術介入,rank_from_max,4,290,2,4,2587,0.32,-1.099,1.837
K1,技術介入,rank_from_max,5,1512,15,9,3261,-0.055,-0.505,0.286
