window_end,mean,n_obs,metric,window_days
2025-09-15,-9.344315245478043,60,edge,60
2025-09-22,-39.0374677002584,60,edge,60
2025-09-29,34.586563307493535,60,edge,60
2025-10-06,-23.246124031007753,60,edge,60
2025-10-13,-11.673893049533577,59,edge,60
2025-10-20,-30.314676126658785,59,edge,60
2025-10-27,-36.299435028248574,59,edge,60
2025-11-03,-63.28669031664696,59,edge,60
2025-11-10,-109.64393640783076,59,edge,60
2025-11-17,-77.72303245302852,59,edge,60
2025-11-24,-71.4984890290369,59,edge,60
2025-12-01,-137.2749967152805,59,edge,60
2025-12-08,-101.60622782814345,59,edge,60
2025-12-15,-122.03165374677002,60,edge,60
2025-12-22,-115.67183462532297,60,edge,60
2025-12-29,-46.579457364341074,60,edge,60
2026-01-05,-1.4599483204134174,60,edge,60
2026-01-12,12.916666666666664,60,edge,60
2026-01-19,2.7228682170542697,60,edge,60
2026-01-26,-24.715762273901802,60,edge,60
2026-02-02,-38.863049095607224,60,edge,60
2026-02-09,-18.656330749354005,60,edge,60
2026-02-16,-7.687338501291982,60,edge,60
2026-02-23,67.76485788113695,60,edge,60
2026-03-02,0.8785529715762398,60,edge,60
2026-03-09,-12.616279069767431,60,edge,60
2026-03-16,21.94444444444446,60,edge,60
2026-03-23,39.01485788113696,60,edge,60
2026-03-30,33.246124031007774,60,edge,60
2026-04-06,61.718346253229996,60,edge,60
2026-04-13,60.80749354005171,60,edge,60
2026-04-20,62.093023255813975,60,edge,60
2026-04-27,-23.678940568475447,60,edge,60
2026-05-04,-13.549741602067181,60,edge,60
2026-05-11,-19.541343669250626,60,edge,60
2026-05-18,-0.5910852713178277,60,edge,60
2026-05-25,-41.10142118863049,60,edge,60
2026-06-01,-68.98239390356062,59,edge,60
2026-06-08,-88.91407173827353,59,edge,60
2026-06-15,-63.2451216252339,58,edge,60
2026-06-22,-46.61855118952152,58,edge,60
2026-06-29,-47.340283346698754,58,edge,60
2026-07-06,-86.26035819299653,58,edge,60
2026-07-13,-84.43609905666209,57,edge,60
2026-07-20,-170.84449142588676,57,edge,60
2025-10-15,-20.610138489678615,89,edge,90
2025-10-22,-21.76639665534362,89,edge,90
2025-10-29,-31.60438986151033,89,edge,90
2025-11-05,-85.39543593763611,89,edge,90
2025-11-12,-61.625729466074375,89,edge,90
2025-11-19,-70.26173678251023,89,edge,90
2025-11-26,-56.19501785558749,89,edge,90
2025-12-03,-49.85410678512325,89,edge,90
2025-12-10,-84.16514240919781,89,edge,90
2025-12-17,-77.74148593328107,89,edge,90
2025-12-24,-90.20337949655953,89,edge,90
2025-12-31,-102.52373486630084,89,edge,90
2026-01-07,-48.005400226461106,89,edge,90
2026-01-14,-51.34151593453919,90,edge,90
2026-01-21,-61.716192937123154,90,edge,90
2026-01-28,-32.5538329026701,90,edge,90
2026-02-04,-32.605512489233405,90,edge,90
2026-02-11,-26.528854435831175,90,edge,90
2026-02-18,-25.4371231696813,90,edge,90
2026-02-25,18.751076658053417,90,edge,90
2026-03-04,5.391903531438421,90,edge,90
2026-03-11,13.1696813092162,90,edge,90
2026-03-18,23.527131782945748,90,edge,90
2026-03-25,52.67011197243756,90,edge,90
2026-04-01,11.229543496985368,90,edge,90
2026-04-08,9.108527131782958,90,edge,90
2026-04-15,21.016365202411734,90,edge,90
2026-04-22,17.23944875107666,90,edge,90
2026-04-29,-5.497416020671808,90,edge,90
2026-05-06,25.038759689922497,90,edge,90
2026-05-13,10.228251507321296,90,edge,90
2026-05-20,17.650732127476314,90,edge,90
2026-05-27,-27.230835486649433,90,edge,90
2026-06-03,-40.12934413378625,89,edge,90
2026-06-10,-26.328281508579376,89,edge,90
2026-06-17,-6.7411028893587135,88,edge,90
2026-06-24,-50.39420366455249,88,edge,90
2026-07-01,-61.079545454545446,88,edge,90
2026-07-08,-87.86829713626753,88,edge,90
2026-07-15,-104.01480725458273,87,edge,90
2025-09-15,-9.510190664036806,60,edge_vs_excluded,60
2025-09-22,-39.730440499671275,60,edge_vs_excluded,60
2025-09-29,35.20052596975673,60,edge_vs_excluded,60
2025-10-06,-23.658777120315595,60,edge_vs_excluded,60
2025-10-13,-11.881121920235357,59,edge_vs_excluded,60
2025-10-20,-30.852806472102426,59,edge_vs_excluded,60
2025-10-27,-36.943803697389086,59,edge_vs_excluded,60
2025-11-03,-64.41012268913181,59,edge_vs_excluded,60
2025-11-10,-111.59027847424197,59,edge_vs_excluded,60
2025-11-17,-79.10273125396984,59,edge_vs_excluded,60
2025-11-24,-72.76769297629788,59,edge_vs_excluded,60
2025-12-01,-139.7118309764985,59,edge_vs_excluded,60
2025-12-08,-103.40988867716374,59,edge_vs_excluded,60
2025-12-15,-124.19789612097303,60,edge_vs_excluded,60
2025-12-22,-117.72518080210389,60,edge_vs_excluded,60
2025-12-29,-47.40631163708088,60,edge_vs_excluded,60
2026-01-05,-1.4858645627876466,60,edge_vs_excluded,60
2026-01-12,13.145956607495048,60,edge_vs_excluded,60
2026-01-19,2.771203155818525,60,edge_vs_excluded,60
2026-01-26,-25.15450361604209,60,edge_vs_excluded,60
2026-02-02,-39.55292570677188,60,edge_vs_excluded,60
2026-02-09,-18.987508218277465,60,edge_vs_excluded,60
2026-02-16,-7.823800131492463,60,edge_vs_excluded,60
2026-02-23,68.96778435239972,60,edge_vs_excluded,60
2026-03-02,0.89414858645625,60,edge_vs_excluded,60
2026-03-09,-12.840236686390552,60,edge_vs_excluded,60
2026-03-16,22.333990795529235,60,edge_vs_excluded,60
2026-03-23,39.70742932281392,60,edge_vs_excluded,60
2026-03-30,33.836291913214964,60,edge_vs_excluded,60
2026-04-06,62.81393819855357,60,edge_vs_excluded,60
2026-04-13,61.886916502301084,60,edge_vs_excluded,60
2026-04-20,63.19526627218932,60,edge_vs_excluded,60
2026-04-27,-24.099276791584508,60,edge_vs_excluded,60
2026-05-04,-13.790269559500347,60,edge_vs_excluded,60
2026-05-11,-19.888231426692986,60,edge_vs_excluded,60
2026-05-18,-0.6015779092702284,60,edge_vs_excluded,60
2026-05-25,-41.83103221564761,60,edge_vs_excluded,60
2026-06-01,-70.20693344031025,59,edge_vs_excluded,60
2026-06-08,-90.49242804131984,59,edge_vs_excluded,60
2026-06-15,-64.36781609195404,58,edge_vs_excluded,60
2026-06-22,-47.44609943548936,58,edge_vs_excluded,60
2026-06-29,-48.18064340610763,58,edge_vs_excluded,60
2026-07-06,-87.7916071550024,58,edge_vs_excluded,60
2026-07-13,-85.96222091498744,57,edge_vs_excluded,60
2026-07-20,-173.94328651638594,57,edge_vs_excluded,60
2025-10-15,-20.97599893624094,89,edge_vs_excluded,90
2025-10-22,-22.152782394787586,89,edge_vs_excluded,90
2025-10-29,-32.16541453360813,89,edge_vs_excluded,90
2025-11-05,-86.91133125013852,89,edge_vs_excluded,90
2025-11-12,-62.7196773264189,89,edge_vs_excluded,90
2025-11-19,-71.50898654788024,89,edge_vs_excluded,90
2025-11-26,-57.19256255124881,89,edge_vs_excluded,90
2025-12-03,-50.73909092923786,89,edge_vs_excluded,90
2025-12-10,-85.65919819160959,89,edge_vs_excluded,90
2025-12-17,-79.12151231079493,89,edge_vs_excluded,90
2025-12-24,-91.80462291957538,89,edge_vs_excluded,90
2025-12-31,-104.34368282250738,89,edge_vs_excluded,90
2026-01-07,-48.85756709438645,89,edge_vs_excluded,90
2026-01-14,-52.252903791365334,90,edge_vs_excluded,90
2026-01-21,-62.811746657900514,90,edge_vs_excluded,90
2026-01-28,-33.131711593250074,90,edge_vs_excluded,90
2026-02-04,-33.184308568923974,90,edge_vs_excluded,90
2026-02-11,-26.999780845934705,90,edge_vs_excluded,90
2026-02-18,-25.888669734823594,90,edge_vs_excluded,90
2026-02-25,19.083936007012912,90,edge_vs_excluded,90
2026-03-04,5.487617795310088,90,edge_vs_excluded,90
2026-03-11,13.403462634231847,90,edge_vs_excluded,90
2026-03-18,23.944773175542377,90,edge_vs_excluded,90
2026-03-25,53.605084374315126,90,edge_vs_excluded,90
2026-04-01,11.428884505807558,90,edge_vs_excluded,90
2026-04-08,9.27021696252464,90,edge_vs_excluded,90
2026-04-15,21.38943677405214,90,edge_vs_excluded,90
2026-04-22,17.545474468551376,90,edge_vs_excluded,90
2026-04-29,-5.595003287310997,90,edge_vs_excluded,90
2026-05-06,25.48323471400392,90,edge_vs_excluded,90
2026-05-13,10.40981810212578,90,edge_vs_excluded,90
2026-05-20,17.96405873328948,90,edge_vs_excluded,90
2026-05-27,-27.714223098838495,90,edge_vs_excluded,90
2026-06-03,-40.84169935509608,89,edge_vs_excluded,90
2026-06-10,-26.795647452518683,89,edge_vs_excluded,90
2026-06-17,-6.860767437690516,88,edge_vs_excluded,90
2026-06-24,-51.288775327236884,88,edge_vs_excluded,90
2026-07-01,-62.16379774072083,88,edge_vs_excluded,90
2026-07-08,-89.44026059410676,88,edge_vs_excluded,90
