window_end,edge,n_obs,age,event_share,kakuban1_share,new_share,ym
2025-03-07,0.39076518419466644,60,33.71666666666667,0.25,0.5694444444444445,1.0,2025-03
2025-03-14,0.46678045648142713,60,40.71666666666667,0.25,0.575,1.0,2025-03
2025-03-21,0.3718569636138342,60,47.71666666666667,0.25,0.5583333333333335,1.0,2025-03
2025-03-28,0.46917868091571013,60,54.71666666666667,0.26666666666666666,0.5638888888888888,1.0,2025-03
2025-04-04,0.4265255941020785,60,61.71666666666667,0.25,0.5805555555555554,0.95,2025-04
2025-04-11,0.4083349585162452,60,68.71666666666667,0.25,0.5805555555555554,0.8333333333333334,2025-04
2025-04-18,0.4358219287672347,60,75.71666666666667,0.26666666666666666,0.5638888888888888,0.7166666666666667,2025-04
2025-04-25,0.4081326880941892,60,83.2388888888889,0.26666666666666666,0.5638888888888888,0.6,2025-04
2025-05-02,0.40266445471684337,60,90.5,0.26666666666666666,0.5555555555555556,0.48333333333333334,2025-05
2025-05-09,0.41441699327460396,60,97.5,0.26666666666666666,0.5388888888888889,0.36666666666666664,2025-05
2025-05-16,0.38579588849342245,60,104.5,0.26666666666666666,0.47777777777777775,0.25,2025-05
2025-05-23,0.3902507072300452,60,111.5,0.26666666666666666,0.4222222222222223,0.13333333333333333,2025-05
2025-05-30,0.34831906387036443,60,118.5,0.25,0.4000000000000001,0.016666666666666666,2025-05
2025-06-06,0.33332892095655264,60,125.5,0.26666666666666666,0.3666666666666666,0.0,2025-06
2025-06-13,0.3142375731377626,60,132.5,0.26666666666666666,0.35000000000000014,0.0,2025-06
2025-06-20,0.3073431897350231,60,139.5,0.26666666666666666,0.35000000000000003,0.0,2025-06
2025-06-27,0.30258683908285716,60,146.5,0.25,0.36111111111111105,0.0,2025-06
2025-07-04,0.30484181033414076,60,153.5,0.25,0.3722222222222221,0.0,2025-07
2025-07-11,0.32396821285189037,60,160.5,0.26666666666666666,0.41111111111111115,0.0,2025-07
2025-07-18,0.3461446928441952,60,165.4222222222222,0.26666666666666666,0.48333333333333345,0.01111111111111111,2025-07
2025-07-25,0.36161304840796127,60,172.42222222222225,0.26666666666666666,0.538888888888889,0.01111111111111111,2025-07
2025-08-01,0.4112424572885832,60,179.4222222222222,0.25,0.5722222222222222,0.01111111111111111,2025-08
2025-08-08,0.49410613620063903,60,186.4222222222222,0.26666666666666666,0.622222222222222,0.01111111111111111,2025-08
2025-08-15,0.5335371937679823,60,193.4222222222222,0.26666666666666666,0.6555555555555554,0.01111111111111111,2025-08
2025-08-22,0.642843477847847,60,200.4222222222222,0.26666666666666666,0.6888888888888888,0.01111111111111111,2025-08
2025-08-29,0.6501443167871257,60,207.4222222222222,0.26666666666666666,0.7611111111111111,0.01111111111111111,2025-08
2025-09-05,0.6748690974415438,60,214.4222222222222,0.26666666666666666,0.8277777777777777,0.01111111111111111,2025-09
2025-09-12,0.6570345366688103,60,218.7222222222222,0.26666666666666666,0.8388888888888888,0.02222222222222222,2025-09
2025-09-19,0.6410607766548402,60,227.8,0.26666666666666666,0.8333333333333334,0.01111111111111111,2025-09
2025-09-26,0.6266216422472279,60,234.8,0.25,0.7944444444444445,0.01111111111111111,2025-09
2025-10-03,0.5316083228044811,60,240.7611111111111,0.26666666666666666,0.7388888888888888,0.016666666666666666,2025-10
2025-10-10,0.5077695881339243,60,246.25555555555556,0.26666666666666666,0.7277777777777776,0.02222222222222222,2025-10
2025-10-17,0.462570513194419,60,253.25555555555556,0.25,0.6888888888888888,0.02222222222222222,2025-10
2025-10-24,0.3589476482878731,60,260.2555555555556,0.25,0.6499999999999998,0.02222222222222222,2025-10
2025-10-31,0.3659087898765628,60,259.1555555555555,0.26666666666666666,0.6388888888888888,0.05555555555555556,2025-10
2025-11-07,0.38349108386727515,60,259.4055555555555,0.25,0.6388888888888888,0.08333333333333331,2025-11
2025-11-14,0.41115593289634655,60,267.75555555555553,0.25,0.6499999999999999,0.07777777777777777,2025-11
2025-11-21,0.432339994029325,60,274.75555555555553,0.26666666666666666,0.6666666666666666,0.07777777777777777,2025-11
2025-11-28,0.4759967655948812,60,281.75555555555553,0.26666666666666666,0.6666666666666667,0.07777777777777777,2025-11
2025-12-05,0.476298504284329,60,291.3,0.26666666666666666,0.6499999999999999,0.06666666666666667,2025-12
2025-12-12,0.5008885720652867,60,298.3,0.26666666666666666,0.6499999999999998,0.06666666666666667,2025-12
2025-12-19,0.5133138408402735,60,303.95,0.26666666666666666,0.6499999999999998,0.06666666666666667,2025-12
2025-12-26,0.5306090766536607,60,308.25,0.26666666666666666,0.6277777777777779,0.05555555555555555,2025-12
2026-01-02,0.48272642434775614,60,312.1388888888889,0.26666666666666666,0.5666666666666668,0.04444444444444444,2026-01
2026-01-09,0.4513693332344327,60,321.21666666666664,0.26666666666666666,0.5222222222222221,0.03333333333333333,2026-01
2026-01-16,0.46206902576743086,60,328.21666666666664,0.26666666666666666,0.5111111111111112,0.03333333333333333,2026-01
2026-01-23,0.3999024385888087,60,325.76666666666665,0.26666666666666666,0.5499999999999999,0.03333333333333333,2026-01
2026-01-30,0.39386146212568535,60,328.71666666666664,0.25,0.6222222222222221,0.03333333333333333,2026-01
2026-02-06,0.368682948943565,60,330.31666666666666,0.25,0.6555555555555554,0.03333333333333333,2026-02
2026-02-13,0.32736732862385975,60,329.21666666666664,0.25,0.661111111111111,0.03333333333333333,2026-02
2026-02-20,0.3320184946261977,60,336.21666666666664,0.26666666666666666,0.6555555555555554,0.03333333333333333,2026-02
2026-02-27,0.36110896592751096,60,351.93888888888887,0.25,0.6833333333333331,0.027777777777777776,2026-02
2026-03-06,0.407656176794699,60,368.8,0.25,0.7166666666666666,0.0,2026-03
