hall,category,score,metric,n_days,daily_sd,overall,ratio,p_value,range_min,range_max,detect_limit
K7,ジャグ,hist_hit104_rate,diff,370,666.67,-32.253,0.92,0.6133,-121.4,83.4,200.0
K7,ジャグ,hist_hit104_rate,payout,370,5.751,-0.482,0.96,0.5633,-1.3,0.5,1.0
K7,ジャグ,hist_hit104_rate,rbz,369,0.583,-0.035,1.23,0.1867,-0.2,0.1,0.05
K7,ジャグ,hist_mean_rb_prob_model_z,diff,370,753.386,3.242,0.96,0.5667,-105.0,210.1,200.0
K7,ジャグ,hist_mean_rb_prob_model_z,payout,370,6.226,-0.397,0.88,0.64,-1.5,1.1,2.0
K7,ジャグ,hist_mean_rb_prob_model_z,rbz,370,0.588,-0.037,0.97,0.5533,-0.1,0.1,0.2
K7,AT一般,hist_hit104_rate,diff,370,1949.774,463.278,1.88,0.0,-167.2,1481.5,100.0
K7,AT一般,hist_hit104_rate,payout,370,21.235,4.464,1.56,0.0267,-1.4,13.2,0.25
K7,技術介入,hist_hit104_rate,diff,370,821.671,16.619,1.03,0.46,-148.4,156.7,200.0
K7,技術介入,hist_hit104_rate,payout,370,6.968,0.114,0.98,0.52,-1.2,1.3,2.0
K7,ハナハナ,hist_hit104_rate,diff,370,746.037,-48.378,1.24,0.19,-352.4,69.5,100.0
K7,ハナハナ,hist_hit104_rate,payout,370,5.244,-0.24,1.45,0.0467,-2.2,0.8,0.25
K7,ハナハナ,hist_hit104_rate,rbz,370,0.53,-0.042,1.46,0.0533,-0.2,0.1,0.05
K7,ハナハナ,hist_mean_rb_prob_model_z,diff,370,732.368,-31.351,0.69,0.9233,-142.3,111.3,200.0
K7,ハナハナ,hist_mean_rb_prob_model_z,payout,370,5.084,-0.387,1.22,0.1767,-2.0,1.0,0.5
K7,ハナハナ,hist_mean_rb_prob_model_z,rbz,370,0.536,-0.023,1.22,0.2167,-0.2,0.1,0.2
K7,沖スロ,hist_hit104_rate,diff,365,1454.251,-10.976,0.75,0.8967,-309.3,251.7,400.0
K7,沖スロ,hist_hit104_rate,payout,365,23.933,0.959,0.71,0.87,-3.5,4.5,
K1,ジャグ,hist_hit104_rate,diff,545,656.575,64.977,0.99,0.52,-121.9,221.3,200.0
K1,ジャグ,hist_hit104_rate,payout,545,5.584,0.054,1.13,0.3033,-1.4,1.7,1.0
K1,ジャグ,hist_hit104_rate,rbz,545,0.587,0.011,1.05,0.41,-0.1,0.1,0.2
K1,ジャグ,hist_mean_rb_prob_model_z,diff,545,661.644,31.399,1.03,0.45,-216.4,204.9,200.0
K1,ジャグ,hist_mean_rb_prob_model_z,payout,545,5.543,-0.1,1.23,0.12,-1.6,1.7,1.0
K1,ジャグ,hist_mean_rb_prob_model_z,rbz,545,0.646,0.035,1.3,0.0967,-0.1,0.4,0.1
K1,AT一般,hist_hit104_rate,diff,545,1406.455,5.234,1.55,0.0,-540.2,410.3,100.0
K1,AT一般,hist_hit104_rate,payout,544,22.596,-0.763,1.38,0.06,-6.9,5.7,
K1,技術介入,hist_hit104_rate,diff,540,507.66,30.724,1.24,0.1367,-164.4,208.6,200.0
K1,技術介入,hist_hit104_rate,payout,540,7.569,0.091,1.31,0.0933,-3.7,2.5,4.0
K1,ハナハナ,hist_hit104_rate,diff,545,543.033,-4.229,0.82,0.83,-143.6,121.8,200.0
K1,ハナハナ,hist_hit104_rate,payout,545,5.913,-0.338,0.97,0.54,-1.9,1.0,1.0
K1,ハナハナ,hist_hit104_rate,rbz,542,0.527,0.019,1.01,0.4733,-0.1,0.1,0.2
