hall,category,score,metric,n_days,daily_sd,overall,ratio,p_value,range_min,range_max,detect_limit
K1,ハナハナ,hist_mean_rb_prob_model_z,diff,545,569.158,-29.489,0.9,0.7167,-165.6,93.0,200.0
K1,ハナハナ,hist_mean_rb_prob_model_z,payout,545,6.155,-0.507,0.8,0.87,-1.6,0.5,2.0
K1,ハナハナ,hist_mean_rb_prob_model_z,rbz,539,0.555,-0.013,1.03,0.4233,-0.2,0.1,0.2
K1,沖スロ,hist_hit104_rate,diff,545,1044.894,7.606,1.23,0.1367,-341.5,289.2,100.0
K1,沖スロ,hist_hit104_rate,payout,545,20.162,-0.755,1.24,0.1133,-7.0,5.7,2.0
楽園,ジャグ,hist_hit104_rate,diff,558,592.635,-21.306,0.94,0.61,-189.1,161.4,200.0
楽園,ジャグ,hist_hit104_rate,payout,556,6.165,-0.488,1.05,0.42,-1.9,0.6,2.0
楽園,ジャグ,hist_hit104_rate,rbz,555,0.577,-0.046,0.97,0.56,-0.2,0.1,0.1
楽園,ジャグ,hist_mean_rb_prob_model_z,diff,558,593.896,-24.327,0.93,0.6367,-163.1,126.6,200.0
楽園,ジャグ,hist_mean_rb_prob_model_z,payout,556,6.184,-0.568,0.83,0.7933,-2.3,0.2,2.0
楽園,ジャグ,hist_mean_rb_prob_model_z,rbz,555,0.559,0.012,1.52,0.0133,-0.2,0.2,0.05
楽園,AT一般,hist_hit104_rate,diff,558,990.485,17.077,0.85,0.7567,-136.5,332.8,400.0
楽園,AT一般,hist_hit104_rate,payout,546,19.266,-1.082,0.95,0.6133,-5.9,4.5,
楽園,技術介入,hist_hit104_rate,diff,558,623.707,-9.693,0.87,0.8033,-141.6,134.4,200.0
楽園,技術介入,hist_hit104_rate,payout,555,13.059,-1.011,0.83,0.77,-3.9,2.1,4.0
楽園,ハナハナ,hist_hit104_rate,diff,552,527.266,-17.141,1.06,0.4133,-118.3,132.1,100.0
楽園,ハナハナ,hist_hit104_rate,payout,551,8.888,0.155,1.22,0.16,-2.2,2.9,2.0
楽園,ハナハナ,hist_hit104_rate,rbz,538,0.66,0.004,1.17,0.2067,-0.2,0.3,0.2
楽園,ハナハナ,hist_mean_rb_prob_model_z,diff,552,511.57,-31.322,1.14,0.2467,-197.6,74.2,200.0
楽園,ハナハナ,hist_mean_rb_prob_model_z,payout,551,8.906,-0.945,1.02,0.4533,-3.1,1.0,4.0
楽園,ハナハナ,hist_mean_rb_prob_model_z,rbz,541,0.692,0.002,1.14,0.28,-0.2,0.2,0.2
楽園,沖スロ,hist_hit104_rate,diff,540,925.698,-39.55,1.11,0.2967,-422.4,183.7,200.0
楽園,沖スロ,hist_hit104_rate,payout,539,29.974,-0.618,1.12,0.2267,-10.8,9.9,
みとや,ジャグ,hist_hit104_rate,diff,555,684.783,65.247,1.58,0.0033,-103.3,404.6,100.0
みとや,ジャグ,hist_hit104_rate,payout,555,5.697,0.555,1.56,0.0033,-1.3,3.7,0.25
みとや,ジャグ,hist_hit104_rate,rbz,555,0.565,0.097,1.36,0.0567,-0.1,0.3,0.05
みとや,ジャグ,hist_mean_rb_prob_model_z,diff,555,782.528,337.604,1.72,0.0,-231.2,601.9,100.0
みとや,ジャグ,hist_mean_rb_prob_model_z,payout,555,4.951,2.996,1.88,0.0,-1.2,4.6,0.25
みとや,ジャグ,hist_mean_rb_prob_model_z,rbz,555,0.531,0.385,1.87,0.0,0.0,0.7,0.05
みとや,AT一般,hist_hit104_rate,diff,555,1496.356,39.66,1.04,0.4167,-288.7,307.6,400.0
みとや,AT一般,hist_hit104_rate,payout,555,29.768,1.987,1.04,0.4367,-7.1,9.3,
みとや,技術介入,hist_hit104_rate,diff,550,732.662,25.225,1.16,0.2167,-178.2,187.0,200.0
みとや,技術介入,hist_hit104_rate,payout,550,8.118,0.146,1.53,0.0167,-3.2,2.7,0.25
みとや,ハナハナ,hist_hit104_rate,diff,186,0.0,0.0,1.38,0.26,-0.0,0.0,100.0
みとや,ハナハナ,hist_hit104_rate,payout,186,0.0,-0.0,1.17,0.3567,-0.0,0.0,0.25
みとや,ハナハナ,hist_hit104_rate,rbz,185,0.0,0.0,0.7,0.7533,0.0,0.0,0.05
みとや,ハナハナ,hist_mean_rb_prob_model_z,diff,186,0.0,0.0,1.38,0.26,-0.0,0.0,100.0
みとや,ハナハナ,hist_mean_rb_prob_model_z,payout,186,0.0,-0.0,1.17,0.3567,-0.0,0.0,0.25
みとや,ハナハナ,hist_mean_rb_prob_model_z,rbz,185,0.0,0.0,0.7,0.7533,0.0,0.0,0.05
みとや,沖スロ,hist_hit104_rate,diff,492,880.69,-24.163,1.3,0.12,-434.1,270.5,200.0
みとや,沖スロ,hist_hit104_rate,payout,492,598.455,25.601,1.04,0.4233,-5.9,238.3,
雑色,ジャグ,hist_hit104_rate,diff,557,510.106,38.837,0.97,0.5733,-117.7,179.7,200.0
雑色,ジャグ,hist_hit104_rate,payout,557,6.896,-0.158,1.02,0.4533,-1.7,1.7,4.0
雑色,ジャグ,hist_hit104_rate,rbz,557,0.564,0.021,0.74,0.9533,-0.1,0.1,0.2
雑色,ジャグ,hist_mean_rb_prob_model_z,diff,557,517.661,-26.247,0.84,0.7467,-126.3,81.5,100.0
雑色,ジャグ,hist_mean_rb_prob_model_z,payout,557,6.917,-0.453,0.97,0.5633,-2.2,1.3,1.0
雑色,ジャグ,hist_mean_rb_prob_model_z,rbz,556,0.594,-0.011,0.78,0.87,-0.1,0.1,0.2
雑色,AT一般,hist_hit104_rate,diff,557,1290.441,67.667,1.1,0.29,-314.6,436.7,400.0
雑色,AT一般,hist_hit104_rate,payout,557,27.913,-0.047,1.09,0.3367,-8.4,9.4,
雑色,技術介入,hist_hit104_rate,diff,547,560.13,8.344,1.09,0.3467,-118.9,137.1,200.0
雑色,技術介入,hist_hit104_rate,payout,547,7.921,-0.015,1.38,0.06,-2.6,2.2,0.5
ARROW池上,ジャグ,hist_hit104_rate,diff,542,662.346,-41.617,0.79,0.91,-210.4,95.9,200.0
ARROW池上,ジャグ,hist_hit104_rate,payout,542,4.817,-0.415,0.83,0.8367,-1.3,1.0,2.0
ARROW池上,ジャグ,hist_hit104_rate,rbz,542,0.57,-0.137,1.12,0.3067,-0.3,0.1,0.2
ARROW池上,ジャグ,hist_mean_rb_prob_model_z,diff,542,652.434,-6.575,1.12,0.28,-171.2,230.8,200.0
ARROW池上,ジャグ,hist_mean_rb_prob_model_z,payout,542,4.723,-0.172,1.05,0.3967,-1.2,1.2,1.0
ARROW池上,ジャグ,hist_mean_rb_prob_model_z,rbz,542,0.568,-0.007,1.03,0.43,-0.1,0.2,0.2
ARROW池上,AT一般,hist_hit104_rate,diff,542,1866.568,-136.108,1.14,0.2733,-627.1,447.6,800.0
ARROW池上,AT一般,hist_hit104_rate,payout,542,16.695,-0.552,0.98,0.52,-3.3,4.8,
ARROW池上,技術介入,hist_hit104_rate,diff,537,641.268,3.101,1.11,0.2867,-165.4,134.9,400.0
ARROW池上,技術介入,hist_hit104_rate,payout,537,5.619,0.244,1.13,0.2467,-1.5,1.3,2.0
ARROW池上,ハナハナ,hist_hit104_rate,diff,532,413.112,-35.026,1.0,0.4967,-134.9,95.2,200.0
ARROW池上,ハナハナ,hist_hit104_rate,payout,532,4.221,-0.544,1.27,0.0867,-1.4,1.1,2.0
ARROW池上,ハナハナ,hist_hit104_rate,rbz,532,0.374,-0.038,0.9,0.67,-0.1,0.1,0.1
ARROW池上,ハナハナ,hist_mean_rb_prob_model_z,diff,532,429.689,-15.52,0.87,0.7467,-127.8,62.3,100.0
ARROW池上,ハナハナ,hist_mean_rb_prob_model_z,payout,532,4.684,-0.31,0.91,0.6533,-1.8,0.6,1.0
ARROW池上,ハナハナ,hist_mean_rb_prob_model_z,rbz,532,0.38,0.001,0.94,0.5967,-0.1,0.1,0.1
ARROW池上,沖スロ,hist_hit104_rate,diff,537,1203.9,-10.499,0.98,0.53,-192.1,334.0,400.0
ARROW池上,沖スロ,hist_hit104_rate,payout,537,16.328,0.359,0.94,0.61,-3.4,4.5,4.0
ヒロキ東口,ジャグ,hist_hit104_rate,diff,555,492.688,-27.945,1.42,0.0333,-154.6,231.6,200.0
ヒロキ東口,ジャグ,hist_hit104_rate,payout,555,8.44,-1.072,1.54,0.0133,-3.4,2.6,0.25
ヒロキ東口,ジャグ,hist_hit104_rate,rbz,549,0.65,-0.021,0.93,0.6767,-0.2,0.2,0.2
ヒロキ東口,ジャグ,hist_mean_rb_prob_model_z,diff,555,498.209,9.572,0.96,0.5767,-123.7,155.2,100.0
ヒロキ東口,ジャグ,hist_mean_rb_prob_model_z,payout,555,8.678,-0.395,0.99,0.51,-2.5,1.6,4.0
ヒロキ東口,ジャグ,hist_mean_rb_prob_model_z,rbz,552,0.612,0.019,0.76,0.9067,-0.1,0.1,0.2
ヒロキ東口,AT一般,hist_hit104_rate,diff,555,1116.627,73.259,1.2,0.1833,-295.9,387.1,200.0
ヒロキ東口,AT一般,hist_hit104_rate,payout,541,30.168,-0.733,1.26,0.19,-13.0,6.6,
ヒロキ東口,技術介入,hist_hit104_rate,diff,555,499.715,-29.344,1.22,0.16,-171.9,124.7,100.0
ヒロキ東口,技術介入,hist_hit104_rate,payout,555,12.553,-1.229,1.67,0.0,-6.6,3.2,0.25
レイトギャップ,ジャグ,hist_hit104_rate,diff,475,586.473,-4.742,1.34,0.0767,-214.8,189.5,100.0
レイトギャップ,ジャグ,hist_hit104_rate,payout,475,5.34,-0.283,1.19,0.2167,-1.8,1.5,1.0
レイトギャップ,ジャグ,hist_hit104_rate,rbz,475,0.577,-0.016,0.81,0.8,-0.1,0.1,0.2
レイトギャップ,ジャグ,hist_mean_rb_prob_model_z,diff,475,631.207,6.538,0.93,0.6067,-107.2,140.1,200.0
レイトギャップ,ジャグ,hist_mean_rb_prob_model_z,payout,475,5.593,0.036,0.86,0.7967,-0.8,1.2,1.0
レイトギャップ,ジャグ,hist_mean_rb_prob_model_z,rbz,474,0.61,0.015,1.04,0.4467,-0.1,0.2,0.2
レイトギャップ,AT一般,hist_hit104_rate,diff,476,1427.541,14.831,1.46,0.0367,-461.1,420.4,100.0
レイトギャップ,AT一般,hist_hit104_rate,payout,476,17.884,-0.552,1.36,0.07,-4.4,5.6,2.0
レイトギャップ,技術介入,hist_hit104_rate,diff,476,695.017,58.325,1.41,0.05,-105.5,332.0,100.0
レイトギャップ,技術介入,hist_hit104_rate,payout,476,9.356,0.138,1.4,0.0567,-2.8,4.0,0.25
レイトギャップ,ハナハナ,hist_hit104_rate,diff,187,113.303,-6.788,0.61,0.83,-21.2,19.8,100.0
レイトギャップ,ハナハナ,hist_hit104_rate,payout,187,1.553,-0.015,0.63,0.7933,-0.0,0.3,0.5
レイトギャップ,ハナハナ,hist_hit104_rate,rbz,186,0.071,-0.009,1.06,0.46,-0.0,0.0,0.05
レイトギャップ,ハナハナ,hist_mean_rb_prob_model_z,diff,187,93.472,9.648,1.28,0.3033,-0.0,41.3,100.0
レイトギャップ,ハナハナ,hist_mean_rb_prob_model_z,payout,187,1.407,0.09,1.14,0.4133,-0.0,0.4,0.25
レイトギャップ,ハナハナ,hist_mean_rb_prob_model_z,rbz,186,0.108,-0.001,0.43,0.93,-0.0,0.0,0.05
レイトギャップ,沖スロ,hist_hit104_rate,diff,475,1227.022,35.651,1.2,0.1733,-217.4,525.2,400.0
レイトギャップ,沖スロ,hist_hit104_rate,payout,475,30.994,1.604,1.15,0.2933,-5.7,12.4,
金時京急,ジャグ,hist_hit104_rate,diff,559,556.443,-1.785,1.1,0.3133,-111.6,238.2,100.0
金時京急,ジャグ,hist_hit104_rate,payout,559,7.117,-0.376,1.11,0.26,-2.6,1.5,1.0
金時京急,ジャグ,hist_hit104_rate,rbz,558,0.617,-0.012,1.05,0.3933,-0.1,0.2,0.1
金時京急,ジャグ,hist_mean_rb_prob_model_z,diff,559,585.472,-21.617,0.73,0.95,-124.1,86.3,200.0
金時京急,ジャグ,hist_mean_rb_prob_model_z,payout,559,6.518,-0.149,1.03,0.4533,-1.9,1.2,2.0
金時京急,ジャグ,hist_mean_rb_prob_model_z,rbz,559,0.608,-0.005,1.05,0.4133,-0.2,0.2,0.2
金時京急,AT一般,hist_hit104_rate,diff,559,1156.736,51.806,0.97,0.5833,-225.8,436.1,400.0
金時京急,AT一般,hist_hit104_rate,payout,558,32.042,0.111,1.18,0.1967,-8.8,11.5,
金時京急,技術介入,hist_hit104_rate,diff,559,511.513,-4.145,1.17,0.2067,-128.9,180.3,100.0
金時京急,技術介入,hist_hit104_rate,payout,559,9.963,-0.578,1.07,0.3867,-3.2,1.8,2.0
金時京急,沖スロ,hist_hit104_rate,diff,559,524.78,-16.91,1.03,0.44,-162.1,126.5,100.0
金時京急,沖スロ,hist_hit104_rate,payout,559,18.173,-1.298,0.9,0.7067,-5.1,2.5,4.0
