date,machine_number,machine_name,games_normalized,diff_coins_normalized,bb_count,rb_count,hall,bonus_rate,ym,b_rate_disp
20250101,739,スマスロ北斗の拳,1485,9502,83,2,ARROW池上店,0.05723905723905724,202501,17.5
20250106,849,チバリヨ2,1500,15544,65,14,ARROW池上店,0.05266666666666667,202501,19.0
20250121,705,スマスロ北斗の拳,987,8211,67,2,ARROW池上店,0.06990881458966565,202501,14.3
20250127,739,スマスロ北斗の拳,883,5019,47,2,ARROW池上店,0.05549263873159683,202501,18.0
20250205,708,スマスロ北斗の拳,1339,8474,71,3,ARROW池上店,0.05526512322628827,202502,18.1
20250207,730,スマスロ北斗の拳,1278,8857,81,2,ARROW池上店,0.0649452269170579,202502,15.4
20250213,702,スマスロ北斗の拳,404,2076,22,1,ARROW池上店,0.05693069306930693,202502,17.6
20250213,729,スマスロ北斗の拳,816,4716,46,3,ARROW池上店,0.06004901960784314,202502,16.7
20250216,726,スマスロ北斗の拳,1891,9096,97,6,ARROW池上店,0.05446853516657853,202502,18.4
20250217,709,スマスロ北斗の拳,941,4326,45,4,ARROW池上店,0.052072263549415514,202502,19.2
20250218,614,スーパービンゴネオ,629,18735,41,0,ARROW池上店,0.06518282988871224,202502,15.3
20250219,704,スマスロ北斗の拳,765,5496,48,2,ARROW池上店,0.06535947712418301,202502,15.3
20250219,638,革命機ヴァルヴレイヴ,743,10361,61,0,ARROW池上店,0.08209959623149395,202502,12.2
20250220,609,沖ドキ!BLACK,565,4651,23,6,ARROW池上店,0.05132743362831858,202502,19.5
20250228,708,スマスロ北斗の拳,1644,9664,88,1,ARROW池上店,0.054136253041362534,202502,18.5
20250305,713,スマスロ北斗の拳,891,4239,43,3,ARROW池上店,0.051627384960718295,202503,19.4
20250307,736,スマスロ北斗の拳,1521,7901,73,5,ARROW池上店,0.05128205128205128,202503,19.5
20250317,673,チバリヨ2,1184,12861,51,16,ARROW池上店,0.056587837837837836,202503,17.7
20250322,674,チバリヨ2,1593,18078,70,22,ARROW池上店,0.05775266792215945,202503,17.3
20250323,852,仮面ライダー電王,2752,10277,172,21,ARROW池上店,0.07013081395348837,202503,14.3
20250412,850,仮面ライダー電王,1565,4109,77,9,ARROW池上店,0.054952076677316296,202504,18.2
20250415,852,仮面ライダー電王,688,7201,116,10,ARROW池上店,0.18313953488372092,202504,5.5
20250417,850,仮面ライダー電王,1268,6484,101,17,ARROW池上店,0.09305993690851735,202504,10.7
20250422,711,スマスロ北斗の拳,1083,9717,84,2,ARROW池上店,0.07940904893813482,202504,12.6
20250503,850,仮面ライダー電王,447,974,21,3,ARROW池上店,0.053691275167785234,202505,18.6
20250506,733,スマスロ北斗の拳,2281,15544,136,2,ARROW池上店,0.06049978079789566,202505,16.5
20250508,729,スマスロ北斗の拳,735,5193,52,3,ARROW池上店,0.07482993197278912,202505,13.4
20250513,611,スーパービンゴネオ,454,14397,33,0,ARROW池上店,0.07268722466960352,202505,13.8
20250521,730,スマスロ北斗の拳,1046,4998,51,2,ARROW池上店,0.05066921606118547,202505,19.7
20250521,671,チバリヨ2,380,4824,18,6,ARROW池上店,0.06315789473684211,202505,15.8
20250526,851,ようこそ実力至上主義の教室へ,1808,5966,46,51,ARROW池上店,0.053650442477876106,202505,18.6
