section,island,台数,行数,hit率,hit差pp,機械割pp,CI下,CI上,日数,BB+RB,bCI下,bCI上,有意
2100-2110,2100-2110,11,5387,43.1,-3.2,0.103,-1.903,2.447,319,-0.0136,-0.1127,0.1041,
1184-1196,1184-1208,13,7106,48.0,1.7,0.094,-0.282,0.446,532,0.0023,-0.0501,0.0503,
2126-2128,2126-2128,3,1619,41.0,-5.3,0.028,-1.682,1.933,216,-0.0104,-0.0608,0.0788,
2210-2222,2197-2222,13,6580,49.9,3.7,0.002,-0.87,0.783,445,0.0291,-0.0862,0.144,
2223-2231,2223-2240,9,4644,50.3,4.0,-0.01,-0.791,0.838,446,0.002,-0.1153,0.116,
2021-2032,2021-2044,12,5761,44.3,-2.0,-0.015,-2.039,1.857,154,0.0112,-0.1192,0.1034,
2071-2075,2071-2075,5,2537,43.0,-3.2,-0.085,-2.147,1.804,277,-0.0671,-0.2853,0.0966,
2045-2057,2045-2070,13,6328,38.3,-8.0,-0.085,-3.668,2.889,165,0.1416,-0.1121,0.3863,
1037-1046,1037-1056,10,5366,43.5,-2.8,-0.096,-1.126,0.989,549,-0.0313,-0.2423,0.1974,
1027-1036,1017-1036,10,5400,42.5,-3.8,-0.15,-1.237,0.882,549,-0.0032,-0.2397,0.2142,
1197-1208,1184-1208,12,6505,43.8,-2.5,-0.156,-0.499,0.168,549,-0.0523,-0.1052,-0.0029,
2000-2003,2000-2003,4,2049,41.6,-4.7,-0.195,-2.131,2.155,103,-0.0369,-0.1118,0.0519,
1122-1129,1122-1129,8,4386,52.2,5.9,-0.22,-1.01,0.567,367,-0.0685,-0.1736,0.0348,
1017-1026,1017-1036,10,5443,39.2,-7.1,-0.225,-1.595,1.068,339,0.1361,-0.0455,0.3237,
1116-1121,1100-1121,6,3250,54.5,8.3,-0.235,-0.996,0.629,549,0.0035,-0.0868,0.1034,
1135-1151,1135-1151,17,9330,48.6,2.3,-0.241,-0.903,0.413,549,-0.0929,-0.2059,0.0104,
1057-1059,1057-1059,3,1592,44.7,-1.5,-0.251,-2.053,1.259,488,-0.1923,-0.53,0.1307,
2033-2044,2021-2044,12,5940,43.7,-2.6,-0.284,-3.266,3.081,174,-0.2278,-0.5642,0.0633,
1152-1155,1152-1155,4,2161,48.7,2.4,-0.344,-0.9,0.228,549,-0.0342,-0.122,0.054,
2171-2172,2171-2172,2,1021,49.5,3.2,-0.42,-4.017,2.148,87,-0.0731,-0.5253,0.2518,
3213-3225,3200-3225,13,6006,54.5,8.2,-0.527,-1.863,0.622,166,-0.0683,-0.2178,0.073,
1047-1056,1037-1056,10,5418,43.9,-2.3,-0.527,-1.711,0.747,488,-0.0854,-0.3072,0.1375,
2114-2125,2114-2140,12,6112,42.1,-4.2,-0.539,-1.893,1.357,169,0.0006,-0.0853,0.077,
2058-2070,2045-2070,13,6447,42.9,-3.3,-0.596,-2.865,1.522,310,0.0426,-0.029,0.1026,
2083-2090,2076-2090,8,4342,40.7,-5.5,-0.65,-2.434,1.166,516,0.0747,-0.1175,0.2846,
