window_end,mean_edge,n_obs,mean_age,new_share
2025-09-10,-199.58323455033982,60,25.033333333333335,1.0
2025-09-17,-269.7791212264896,60,28.533333333333335,1.0
2025-09-24,-153.31278647068117,60,31.333333333333332,1.0
2025-10-01,-313.772423739529,60,36.75,1.0
2025-10-08,-236.65226178190576,60,43.35,0.9555555555555556
2025-10-15,-305.6755416013169,59,50.220338983050844,0.8757062146892653
2025-10-22,-390.407735865244,59,58.98305084745762,0.8022598870056499
2025-10-29,-168.25121168157045,59,65.0225988700565,0.7514124293785309
2025-11-05,-19.501313937432116,59,68.0225988700565,0.7062146892655368
2025-11-12,189.05164085189938,59,67.31073446327684,0.6723163841807909
2025-11-19,47.833913408752,59,66.45197740112995,0.6666666666666667
2025-11-26,107.90608628752233,59,63.514124293785315,0.6553672316384181
2025-12-03,155.36633141027755,59,61.8587570621469,0.6214689265536721
2025-12-10,160.2135613929727,59,59.66101694915253,0.6836158192090395
2025-12-17,244.65048202790888,60,58.89999999999999,0.7111111111111109
2025-12-24,184.64519757353267,60,59.56111111111112,0.7111111111111111
2025-12-31,107.66665366599491,60,67.47777777777777,0.6333333333333333
2026-01-07,-4.7196695674166715,60,76.22222222222223,0.5833333333333335
2026-01-14,37.417229055681304,60,82.59444444444443,0.5444444444444444
2026-01-21,63.91979378455283,60,80.4611111111111,0.5611111111111111
2026-01-28,297.26272110366483,60,80.83333333333333,0.5666666666666667
2026-02-04,611.2799444892919,60,84.77222222222223,0.5555555555555556
2026-02-11,874.3659334502291,60,82.3,0.5666666666666667
2026-02-18,1085.4591118187195,60,78.7,0.5944444444444443
2026-02-25,1163.897594152821,60,73.3888888888889,0.6499999999999999
2026-03-04,1276.6630179398662,60,73.43333333333334,0.688888888888889
2026-03-11,1500.9568180857452,60,62.761111111111106,0.7611111111111111
2026-03-18,1867.814995364147,60,70.69444444444444,0.7388888888888888
2026-03-25,1842.5951867915296,60,82.59444444444445,0.6999999999999997
2026-04-01,1491.4951035622328,60,89.6,0.6888888888888888
2026-04-08,1376.4094281690218,60,99.18333333333332,0.6444444444444444
2026-04-15,940.2782187714469,60,106.08333333333331,0.5833333333333331
2026-04-22,763.9500413491483,60,104.63888888888887,0.5888888888888888
2026-04-29,878.4323970486498,60,98.31666666666666,0.6166666666666667
2026-05-06,685.9986144290492,60,92.83888888888889,0.6222222222222221
2026-05-13,529.4060129676009,60,97.74444444444444,0.5666666666666667
2026-05-20,467.23622655051423,60,93.42222222222223,0.5444444444444444
2026-05-27,459.400581402126,60,90.17777777777778,0.5277777777777778
2026-06-03,556.0367348055935,59,83.47457627118642,0.5141242937853107
2026-06-10,735.5922294831734,59,74.61581920903956,0.5706214689265537
2026-06-17,816.5737794537567,58,76.75287356321839,0.574712643678161
2026-06-24,868.6282182882641,58,73.8103448275862,0.5804597701149425
2026-07-01,749.5520139498286,58,67.77011494252874,0.6436781609195401
2026-07-08,962.0193289428936,58,67.32183908045977,0.6954022988505746
2026-07-15,957.01126837761,57,69.4736842105263,0.7368421052631579
