dd,hall_avg_diff_on_dd,hall_overall_avg_diff,hallwide_dd_baseline_lift,hall_avg_winrate_on_dd,hall_overall_avg_winrate,n_days
1,154450.0,130181.42076502732,24268.579234972683,43.0,40.39890710382514,12
2,127650.0,130181.42076502732,-2531.4207650273165,39.25,40.39890710382514,12
3,106933.33333333333,130181.42076502732,-23248.087431693988,39.75,40.39890710382514,12
4,85441.66666666667,130181.42076502732,-44739.754098360645,39.166666666666664,40.39890710382514,12
5,146125.0,130181.42076502732,15943.579234972683,39.416666666666664,40.39890710382514,12
6,95966.66666666667,130181.42076502732,-34214.754098360645,38.083333333333336,40.39890710382514,12
7,328438.46153846156,130181.42076502732,198257.04077343424,47.76923076923077,40.39890710382514,13
8,182383.33333333334,130181.42076502732,52201.91256830603,41.5,40.39890710382514,12
9,133961.53846153847,130181.42076502732,3780.1176965111517,38.84615384615385,40.39890710382514,13
10,126415.38461538461,130181.42076502732,-3766.0361496427067,39.92307692307692,40.39890710382514,13
11,129569.23076923077,130181.42076502732,-612.1899957965506,41.76923076923077,40.39890710382514,13
12,169730.0,130181.42076502732,39548.57923497268,40.3,40.39890710382514,10
13,96325.0,130181.42076502732,-33856.42076502732,39.666666666666664,40.39890710382514,12
14,137058.33333333334,130181.42076502732,6876.9125683060265,40.666666666666664,40.39890710382514,12
15,98266.66666666667,130181.42076502732,-31914.754098360645,39.5,40.39890710382514,12
16,152875.0,130181.42076502732,22693.579234972683,40.083333333333336,40.39890710382514,12
17,162675.0,130181.42076502732,32493.579234972683,43.75,40.39890710382514,12
18,76191.66666666667,130181.42076502732,-53989.754098360645,37.75,40.39890710382514,12
19,75808.33333333333,130181.42076502732,-54373.08743169399,37.583333333333336,40.39890710382514,12
20,83808.33333333333,130181.42076502732,-46373.08743169399,39.083333333333336,40.39890710382514,12
21,133933.33333333334,130181.42076502732,3751.9125683060265,40.666666666666664,40.39890710382514,12
22,120575.0,130181.42076502732,-9606.420765027317,40.833333333333336,40.39890710382514,12
23,67325.0,130181.42076502732,-62856.42076502732,39.416666666666664,40.39890710382514,12
24,125916.66666666667,130181.42076502732,-4264.754098360645,39.333333333333336,40.39890710382514,12
25,100100.0,130181.42076502732,-30081.420765027317,38.916666666666664,40.39890710382514,12
26,108775.0,130181.42076502732,-21406.420765027317,38.333333333333336,40.39890710382514,12
27,164908.33333333334,130181.42076502732,34726.91256830603,43.333333333333336,40.39890710382514,12
28,105658.33333333333,130181.42076502732,-24523.087431693988,39.416666666666664,40.39890710382514,12
29,47318.181818181816,130181.42076502732,-82863.2389468455,38.54545454545455,40.39890710382514,11
30,257545.45454545456,130181.42076502732,127364.03378042724,45.54545454545455,40.39890710382514,11
31,124466.66666666667,130181.42076502732,-5714.754098360645,41.333333333333336,40.39890710382514,6
