hall_label,dd,n_days,hall_avg_diff_on_dd,hall_median_diff_on_dd,hall_min_diff_on_dd,hall_max_diff_on_dd,hall_avg_win_rate_on_dd,hall_avg_hit104_rate_on_dd,hall_overall_avg_diff,hall_dd_diff_lift,hall_overall_avg_win_rate,hall_overall_hit104_rate
楽園,1,19,34995.2,32477.0,-76173,124254,35.579,0.0,5106.7,29888.5,33.392,0.4
楽園,2,19,8183.7,-5373.0,-80142,177159,32.684,0.0,5106.7,3077.0,33.392,0.4
楽園,3,19,-952.7,-19828.0,-75981,118361,32.526,0.0,5106.7,-6059.4,33.392,0.4
楽園,4,19,-8633.8,-19678.0,-163890,122494,31.895,0.0,5106.7,-13740.6,33.392,0.4
楽園,5,19,142.7,-10459.0,-102374,107913,32.632,0.0,5106.7,-4964.0,33.392,0.4
楽園,6,19,-160703.9,29212.0,-3605354,135209,32.053,0.0,5106.7,-165810.6,33.392,0.4
楽園,7,19,18746.9,15566.0,-119181,162941,34.632,0.0,5106.7,13640.2,33.392,0.4
楽園,8,18,-6301.4,-9946.0,-120993,165821,31.667,0.0,5106.7,-11408.2,33.392,0.4
楽園,9,19,-19260.1,-17206.0,-139377,90919,30.737,0.0,5106.7,-24366.8,33.392,0.4
楽園,10,18,79973.1,97576.0,-54984,174913,36.722,0.0,5106.7,74866.4,33.392,0.4
楽園,11,18,75321.3,85540.0,-21405,153091,38.611,0.0,5106.7,70214.6,33.392,0.4
楽園,12,18,17845.9,-7113.0,-71334,431211,32.5,5.6,5106.7,12739.2,33.392,0.4
楽園,13,18,26142.2,25606.0,-70277,168171,32.722,5.6,5106.7,21035.4,33.392,0.4
楽園,14,18,-4877.8,-5239.0,-125127,149068,30.944,0.0,5106.7,-9984.6,33.392,0.4
楽園,15,18,12822.6,6510.0,-123505,112323,32.778,0.0,5106.7,7715.8,33.392,0.4
楽園,16,18,24135.1,34159.0,-59487,117885,33.167,0.0,5106.7,19028.3,33.392,0.4
楽園,17,18,22399.9,19060.5,-33442,194824,33.611,0.0,5106.7,17293.2,33.392,0.4
楽園,18,18,-3842.9,-15290.5,-109697,179442,31.389,0.0,5106.7,-8949.6,33.392,0.4
楽園,19,18,-18212.3,-1167.0,-107702,66077,29.833,0.0,5106.7,-23319.0,33.392,0.4
楽園,20,18,-9298.5,-18222.0,-87521,72681,32.778,0.0,5106.7,-14405.2,33.392,0.4
楽園,21,18,-197474.8,-13797.5,-3482514,165796,30.056,0.0,5106.7,-202581.6,33.392,0.4
楽園,22,18,104114.6,97597.5,-54280,316401,40.167,0.0,5106.7,99007.8,33.392,0.4
楽園,23,18,36734.7,29630.0,-121037,162095,34.833,0.0,5106.7,31628.0,33.392,0.4
楽園,24,18,1571.1,-7569.5,-67350,122382,33.056,0.0,5106.7,-3535.7,33.392,0.4
楽園,25,18,17202.3,848.0,-53493,108904,34.056,0.0,5106.7,12095.5,33.392,0.4
楽園,26,18,11158.3,4017.5,-67095,134899,33.278,0.0,5106.7,6051.5,33.392,0.4
楽園,27,18,29790.3,20631.5,-67385,163252,33.5,0.0,5106.7,24683.6,33.392,0.4
楽園,28,18,-10935.1,-16041.5,-99605,120248,31.889,0.0,5106.7,-16041.8,33.392,0.4
楽園,29,16,4319.5,-3990.0,-87232,196126,33.375,0.0,5106.7,-787.2,33.392,0.4
楽園,30,16,93914.5,99034.0,-95843,273598,39.688,0.0,5106.7,88807.8,33.392,0.4
楽園,31,10,-6928.8,-9188.5,-94474,109166,32.2,0.0,5106.7,-12035.5,33.392,0.4
