segment,machine_instance_id,dd,avg_diff_on_dd,n_dd,rate_104_on_dd,avg_winrate_on_dd,avg_diff_non_dd,rate_104_non_dd,avg_winrate_non_dd,low_confidence,new_machine_flag,exclusion_flag,exclusion_reason,machine_number,machine_name,section,rank_from_aisle,instance_start,instance_end
1631-1633,1631|HEY！エリートサラリーマン鏡|20250707-20260711,1,-291.6666666666667,12,0.2727272727272727,100.11717172038408,63.45029239766082,0.3041958041958042,93.87375635553906,False,True,False,,1631,HEY！エリートサラリーマン鏡,1631-1633,,20250707,20260711
1631-1633,1631|うしおととら 白面決戦|20250616-20250706,1,-800.0,1,0.0,57.872564507635595,-195.0,0.2777777777777778,94.73937069676933,True,False,False,,1631,うしおととら 白面決戦,1631-1633,,20250616,20250706
1631-1633,1631|コードギアス 反逆のルルーシュ/復活のルルーシュ|20250101-20250420,1,-550.0,4,0.25,95.31369162756755,298.1132075471698,0.3157894736842105,107.58676394219255,True,False,False,,1631,コードギアス 反逆のルルーシュ/復活のルルーシュ,1631-1633,,20250101,20250420
1631-1633,1631|シン・エヴァンゲリオン|20250421-20250518,1,-200.0,1,0.0,96.6278873714382,592.5925925925926,0.5,103.56850556367756,True,False,False,,1631,シン・エヴァンゲリオン,1631-1633,,20250421,20250518
1631-1633,1631|ソードアート・オンライン|20250519-20250615,1,4200.0,1,1.0,129.2887029288703,-159.25925925925927,0.2962962962962963,102.3489607761935,True,False,False,,1631,ソードアート・オンライン,1631-1633,,20250519,20250615
1631-1633,1632|HEY！エリートサラリーマン鏡|20250707-20260301,1,-662.5,8,0.125,76.52984204853624,-81.48148148148148,0.25287356321839083,88.80244777709103,True,True,False,,1632,HEY！エリートサラリーマン鏡,1631-1633,,20250707,20260301
1631-1633,1632|ありふれた職業で世界最強|20250616-20250706,1,2000.0,1,1.0,116.92047377326564,115.0,0.4,96.66353818542576,True,False,False,,1632,ありふれた職業で世界最強,1631-1633,,20250616,20250706
1631-1633,1632|コードギアス 反逆のルルーシュ/復活のルルーシュ|20250101-20250420,1,25.0,4,0.5,112.8089155686392,323.58490566037733,0.3380281690140845,112.14555570070335,True,False,False,,1632,コードギアス 反逆のルルーシュ/復活のルルーシュ,1631-1633,,20250101,20250420
1631-1633,1632|シン・エヴァンゲリオン|20250421-20250518,1,100.0,1,1.0,108.59106529209622,-396.2962962962963,0.2608695652173913,92.72065642922458,True,False,False,,1632,シン・エヴァンゲリオン,1631-1633,,20250421,20250518
1631-1633,1632|ソードアート・オンライン|20250519-20250615,1,3800.0,1,1.0,127.35781137509,500.0,0.6153846153846154,109.26201038905005,True,False,False,,1632,ソードアート・オンライン,1631-1633,,20250519,20250615
1631-1633,1632|ディスクアップ ULTRAREMIX|20260302-20260607,1,-66.66666666666667,3,0.0,91.0394265232975,-110.52631578947368,0.2948717948717949,93.7751763788248,True,False,False,,1632,ディスクアップ ULTRAREMIX,1631-1633,,20260302,20260607
1631-1633,1632|機動戦士ガンダムユニコーン 覚醒DRIVE|20260608-20260705,1,0.0,1,,,138.46153846153845,0.2,129.13764015307422,True,False,False,,1632,機動戦士ガンダムユニコーン 覚醒DRIVE,1631-1633,,20260608,20260705
1631-1633,1633|HEY！エリートサラリーマン鏡|20250707-20260301,1,425.0,8,0.25,85.82597033443611,52.31481481481482,0.29891304347826086,91.78128297171679,True,True,False,,1633,HEY！エリートサラリーマン鏡,1631-1633,,20250707,20260301
1631-1633,1633|コードギアス 反逆のルルーシュ/復活のルルーシュ|20250101-20250420,1,-600.0,4,0.0,82.54429762390299,124.52830188679245,0.3026315789473684,99.32437133419789,True,False,False,,1633,コードギアス 反逆のルルーシュ/復活のルルーシュ,1631-1633,,20250101,20250420
1631-1633,1633|シャーマンキング|20250616-20250706,1,-1000.0,1,0.0,59.790912746280654,-820.0,0.11764705882352941,92.77489810444706,True,False,False,,1633,シャーマンキング,1631-1633,,20250616,20250706
1631-1633,1633|シン・エヴァンゲリオン|20250421-20250518,1,-1100.0,1,0.0,89.10027744748315,-29.62962962962963,0.24,94.00692738413129,True,False,False,,1633,シン・エヴァンゲリオン,1631-1633,,20250421,20250518
1631-1633,1633|ソードアート・オンライン|20250519-20250615,1,1600.0,1,1.0,110.82251082251082,-77.77777777777777,0.2692307692307692,105.83200426907047,True,False,False,,1633,ソードアート・オンライン,1631-1633,,20250519,20250615
1631-1633,1633|ディスクアップ ULTRAREMIX|20260302-20260607,1,133.33333333333334,3,0.5,99.58468001317542,23.157894736842106,0.32954545454545453,94.21474229803067,True,False,False,,1633,ディスクアップ ULTRAREMIX,1631-1633,,20260302,20260607
1631-1633,1633|機動戦士ガンダムユニコーン 覚醒DRIVE|20260608-20260705,1,0.0,1,,,73.07692307692308,0.2857142857142857,196.74382239679954,True,False,False,,1633,機動戦士ガンダムユニコーン 覚醒DRIVE,1631-1633,,20260608,20260705
2001-2020,2001|スーパーブラックジャック|20250901-20251005,1,3500.0,2,0.5,134.70746763301344,-193.93939393939394,0.3939393939393939,97.34497191674477,True,True,False,,2001,スーパーブラックジャック,2001-2020,,20250901,20251005
