hall_label,segment,dd,n_rows,n_days,avg_diff,median_diff,std_diff,min_diff,max_diff,machine_number_min,machine_number_max
楽園,all,1,10731,19,62.0,-190.0,1997.3,-5095,15477,1000,3266
楽園,all,2,10744,19,14.5,-142.0,1704.2,-5095,15477,1000,3266
楽園,all,3,10724,19,-1.7,-190.0,1738.0,-5095,15477,1000,3266
楽園,all,4,10739,19,-15.3,-142.0,1639.4,-5095,15477,1000,3266
楽園,all,5,10724,19,0.3,-142.0,1719.1,-5095,15477,1000,3266
楽園,all,6,10743,19,-284.2,-238.0,2309.9,-6142,15477,1000,3268
楽園,all,7,10735,19,33.2,-142.0,2007.7,-5095,15477,1000,3268
楽園,all,8,10163,18,-11.2,-142.0,1660.7,-5095,15477,1000,3266
楽園,all,9,10761,19,-34.0,-95.0,1591.0,-5095,15477,1000,3268
楽園,all,10,10194,18,141.2,-190.0,2153.2,-5095,15477,1000,3268
楽園,all,11,10174,18,133.3,-190.0,2231.3,-5095,15477,1000,3266
楽園,all,12,10174,18,31.6,-95.0,1660.0,-5095,15477,1000,3266
楽園,all,13,10174,18,46.3,-142.0,1769.6,-5095,15477,1000,3266
楽園,all,14,10174,18,-8.6,-142.0,1677.3,-5095,15477,1000,3266
楽園,all,15,10173,18,22.7,-142.0,1714.1,-5095,15477,1000,3266
楽園,all,16,10178,18,42.7,-142.0,1694.6,-5095,15477,1000,3266
楽園,all,17,10183,18,39.6,-142.0,1731.4,-5095,15477,1000,3266
楽園,all,18,10175,18,-6.8,-142.0,1635.0,-5095,15477,1000,3266
楽園,all,19,10175,18,-32.2,-95.0,1476.8,-5095,15477,1000,3266
楽園,all,20,10176,18,-16.4,-142.0,1719.9,-5095,15477,1000,3266
楽園,all,21,10187,18,-348.9,-190.0,2127.6,-6142,15477,1000,3266
楽園,all,22,10189,18,183.9,-190.0,2408.6,-5095,15477,1000,3266
楽園,all,23,10192,18,64.9,-142.0,1930.4,-5095,15477,1000,3266
楽園,all,24,10192,18,2.8,-142.0,1666.6,-5095,15477,1000,3266
楽園,all,25,10192,18,30.4,-95.0,1682.9,-5095,15477,1000,3266
楽園,all,26,10192,18,19.7,-142.0,1752.5,-5095,15477,1000,3266
楽園,all,27,10192,18,52.6,-142.0,1803.5,-5095,15477,1000,3266
楽園,all,28,10164,18,-19.4,-142.0,1637.5,-5095,15477,1000,3266
楽園,all,29,9058,16,7.6,-142.0,1800.7,-5095,15477,1000,3266
楽園,all,30,9058,16,165.9,-285.0,2464.4,-5095,15477,1000,3266
楽園,all,31,5662,10,-12.2,-190.0,1777.9,-5095,15477,1000,3266
