dd,category,value,win_rate,hit104_rate,avg_diff,n_records,n_machines,n_dates
9,machine_name,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,0.3076923076923077,0.2692307692307692,-341.6923076923077,26,12,17
9,machine_name,戦国コレクション6,0.2,0.0,-1877.6,5,5,1
9,machine_name,戦国乙女4 戦乱に閃く炯眼の軍師,0.3116883116883117,0.23376623376623376,93.81818181818181,77,33,17
9,machine_name,戦国乙女5 業火を穿つ宿焔の双刃,0.4,0.35,-401.3,20,10,2
9,machine_name,押忍！番長4,0.13333333333333333,0.13333333333333333,-796.8,15,9,7
9,machine_name,攻殻機動隊,0.3333333333333333,0.3,-305.6666666666667,30,14,6
9,machine_name,新ハナビ,0.5384615384615384,0.38461538461538464,-21.76923076923077,13,3,13
9,machine_name,新鬼武者2,0.0,0.0,-690.6666666666666,6,2,3
9,machine_name,新鬼武者3,0.32727272727272727,0.2909090909090909,65.36363636363636,55,25,10
9,machine_name,東京リベンジャーズ,0.2878787878787879,0.24242424242424243,23.196969696969695,66,26,9
9,machine_name,東京喰種,0.3853658536585366,0.36097560975609755,660.2780487804878,205,27,18
9,machine_name,桃太郎電鉄 ～パチスロも定番!～,0.5,0.5,437.0,2,1,2
9,machine_name,機動戦士ガンダムSEED,0.5,0.4375,846.1875,16,8,2
9,machine_name,機動戦士ガンダムユニコーン 覚醒DRIVE,0.2,0.2,-178.86666666666667,15,13,3
9,machine_name,沖ドキ!BLACK,0.41025641025641024,0.34615384615384615,-254.2948717948718,78,13,12
9,machine_name,沖ドキ!DUO アンコール,0.21428571428571427,0.16666666666666666,-623.4047619047619,42,9,6
9,machine_name,沖ドキ!GOLD‐30,0.38095238095238093,0.3333333333333333,-201.42857142857142,21,3,7
9,machine_name,炎炎ノ消防隊,0.0,0.0,-1088.0,1,1,1
9,machine_name,無職転生 ～異世界行ったら本気だす～,0.25,0.25,-105.91666666666667,12,3,4
9,machine_name,犬夜叉2,0.0,0.0,-1919.0,2,2,1
9,machine_name,甲鉄城のカバネリ,0.4603174603174603,0.3968253968253968,208.96825396825398,63,12,16
9,machine_name,甲鉄城のカバネリ 海門(うなと)決戦,0.453125,0.359375,238.828125,64,14,5
9,machine_name,痛いのは嫌なので防御力に極振りしたいと思います。,0.27586206896551724,0.20689655172413793,-189.82758620689654,29,12,17
9,machine_name,真・一騎当千,0.25,0.25,-1000.0,4,2,4
9,machine_name,真打 吉宗,0.4166666666666667,0.4166666666666667,-101.41666666666667,12,9,4
9,machine_name,範馬刃牙,0.375,0.25,-524.5,8,3,5
9,machine_name,絶対衝激IV,0.25,0.25,164.0,4,2,2
9,machine_name,絶対衝激～PLATONIC HEART～,1.0,1.0,834.0,2,2,1
9,machine_name,緑ドン VIVA!情熱南米編 REVIVAL,0.3181818181818182,0.3181818181818182,151.04545454545453,22,14,3
9,machine_name,聖戦士ダンバイン,0.3333333333333333,0.3333333333333333,-255.33333333333334,6,6,2
9,machine_name,聖闘士星矢 海皇覚醒 CUSTOM EDITION,1.0,1.0,2626.5,2,2,1
9,machine_name,荒野のコトブキ飛行隊,0.0,0.0,-953.0,2,2,1
9,machine_name,転生したら剣でした,0.2222222222222222,0.2222222222222222,-468.22222222222223,9,5,3
9,machine_name,鉄拳6,0.4166666666666667,0.3611111111111111,64.36111111111111,36,22,7
9,machine_name,銀河英雄伝説 Die Neue These,0.6666666666666666,0.6666666666666666,-120.33333333333333,3,1,3
9,machine_name,革命機ヴァルヴレイヴ,0.3333333333333333,0.2777777777777778,203.66666666666666,18,7,4
9,machine_name,革命機ヴァルヴレイヴ2,0.2972972972972973,0.28378378378378377,21.5,74,32,7
9,machine_name,頭文字D 2nd,0.36363636363636365,0.36363636363636365,211.27272727272728,11,5,4
9,machine_name,鬼武者3,0.5,0.5,64.5,2,2,1
9,machine_name,麻雀格闘倶楽部 覚醒,0.0,0.0,-38.0,1,1,1
9,machine_name,麻雀物語,0.25,0.25,157.16666666666666,12,9,4
9,machine_tail,0,0.31376518218623484,0.2388663967611336,-184.19230769230768,494,26,19
9,machine_tail,1,0.3508771929824561,0.2651072124756335,13.325536062378168,513,27,19
9,machine_tail,2,0.38011695906432746,0.2709551656920078,31.50877192982456,513,27,19
9,machine_tail,3,0.3742690058479532,0.30214424951267055,45.04873294346979,513,27,19
9,machine_tail,4,0.39571150097465885,0.30214424951267055,53.46393762183236,513,27,19
9,machine_tail,5,0.3966165413533835,0.29699248120300753,11.13345864661654,532,28,19
9,machine_tail,6,0.3866396761133603,0.291497975708502,192.30161943319837,494,26,19
9,machine_tail,7,0.3259109311740891,0.2388663967611336,-185.47773279352228,494,26,19
9,machine_tail,8,0.3684210526315789,0.27530364372469635,-11.777327935222672,494,26,19
9,machine_tail,9,0.3603238866396761,0.2813765182186235,60.30364372469636,494,26,19
9,rank_from_max,1,0.4298245614035088,0.32456140350877194,104.76315789473684,342,18,19
9,rank_from_max,10,0.33746130030959753,0.23529411764705882,-32.529411764705884,323,17,19
9,rank_from_max,11,0.3684210526315789,0.2693498452012384,-29.123839009287927,323,17,19
9,rank_from_max,12,0.36363636363636365,0.31100478468899523,291.0382775119617,209,11,19
9,rank_from_max,13,0.3923444976076555,0.3014354066985646,192.33014354066987,209,11,19
9,rank_from_max,14,0.3062200956937799,0.2631578947368421,-118.77511961722487,209,11,19
9,rank_from_max,15,0.39712918660287083,0.31100478468899523,78.50239234449761,209,11,19
9,rank_from_max,16,0.41626794258373206,0.291866028708134,174.4306220095694,209,11,19
9,rank_from_max,17,0.4,0.26842105263157895,125.16842105263157,190,10,19
9,rank_from_max,18,0.42105263157894735,0.2631578947368421,-58.578947368421055,19,1,19
9,rank_from_max,19,0.2631578947368421,0.15789473684210525,-794.3684210526316,19,1,19
9,rank_from_max,2,0.3742690058479532,0.29239766081871343,34.92397660818713,342,18,19
9,rank_from_max,20,0.3157894736842105,0.3157894736842105,234.31578947368422,19,1,19
9,rank_from_max,21,0.42105263157894735,0.2631578947368421,-504.8421052631579,19,1,19
9,rank_from_max,22,0.21052631578947367,0.21052631578947367,-1271.3684210526317,19,1,19
9,rank_from_max,3,0.40058479532163743,0.3157894736842105,12.812865497076023,342,18,19
9,rank_from_max,4,0.3567251461988304,0.260233918128655,-39.207602339181285,342,18,19
9,rank_from_max,5,0.31871345029239767,0.23976608187134502,-135.23391812865498,342,18,19
9,rank_from_max,6,0.347953216374269,0.2573099415204678,-65.86549707602339,342,18,19
9,rank_from_max,7,0.3713450292397661,0.30409356725146197,33.538011695906434,342,18,19
9,rank_from_max,8,0.3216374269005848,0.24269005847953215,-117.37134502923976,342,18,19
9,rank_from_max,9,0.3567251461988304,0.2543859649122807,-37.76608187134503,342,18,19
9,rank_from_min,1,0.3567251461988304,0.23391812865497075,-250.0672514619883,342,18,19
9,rank_from_min,10,0.32507739938080493,0.23839009287925697,-128.62229102167183,323,17,19
9,rank_from_min,11,0.4148606811145511,0.33436532507739936,104.015479876161,323,17,19
9,rank_from_min,12,0.3349282296650718,0.24880382775119617,-51.899521531100476,209,11,19
9,rank_from_min,13,0.32057416267942584,0.23444976076555024,-167.96172248803828,209,11,19
9,rank_from_min,14,0.37320574162679426,0.27751196172248804,35.31578947368421,209,11,19
9,rank_from_min,15,0.37799043062200954,0.3062200956937799,62.78947368421053,209,11,19
9,rank_from_min,16,0.37799043062200954,0.3062200956937799,154.11483253588517,209,11,19
9,rank_from_min,17,0.3684210526315789,0.2789473684210526,27.42105263157895,190,10,19
9,rank_from_min,18,0.3157894736842105,0.3157894736842105,-26.526315789473685,19,1,19
9,rank_from_min,19,0.3157894736842105,0.21052631578947367,473.94736842105266,19,1,19
9,rank_from_min,2,0.391812865497076,0.260233918128655,54.44736842105263,342,18,19
9,rank_from_min,20,0.3684210526315789,0.3684210526315789,-301.5263157894737,19,1,19
9,rank_from_min,21,0.3157894736842105,0.2631578947368421,-515.3684210526316,19,1,19
9,rank_from_min,22,0.47368421052631576,0.3157894736842105,-67.94736842105263,19,1,19
