dd,hall_avg_diff_on_dd,hall_overall_avg_diff,hallwide_dd_baseline_lift,n_days
1,-21973.157894736843,3333.865209471767,-25307.02310420861,19
2,-14055.526315789473,3333.865209471767,-17389.39152526124,19
3,-4025.2105263157896,3333.865209471767,-7359.075735787556,19
4,70024.31578947368,3333.865209471767,66690.45058000191,19
5,7335.9473684210525,3333.865209471767,4002.0821589492857,19
6,-12502.157894736842,3333.865209471767,-15836.023104208609,19
7,49113.76470588235,3333.865209471767,45779.89949641058,17
8,-1590.5555555555557,3333.865209471767,-4924.420765027322,18
9,832.2105263157895,3333.865209471767,-2501.654683155977,19
10,-8332.333333333334,3333.865209471767,-11666.198542805101,18
11,21900.777777777777,3333.865209471767,18566.912568306012,18
12,-9638.64705882353,3333.865209471767,-12972.512268295297,17
13,-22907.38888888889,3333.865209471767,-26241.254098360656,18
14,61571.88888888889,3333.865209471767,58238.02367941712,18
15,-13749.722222222223,3333.865209471767,-17083.587431693988,18
16,-8476.722222222223,3333.865209471767,-11810.58743169399,18
17,45421.88888888889,3333.865209471767,42088.02367941712,18
18,-13441.722222222223,3333.865209471767,-16775.587431693988,18
19,-2805.0,3333.865209471767,-6138.865209471767,18
20,-17409.666666666668,3333.865209471767,-20743.531876138433,18
21,-17457.277777777777,3333.865209471767,-20791.142987249543,18
22,-23038.722222222223,3333.865209471767,-26372.587431693988,18
23,-21252.166666666668,3333.865209471767,-24586.031876138433,18
24,57435.22222222222,3333.865209471767,54101.35701275045,18
25,-23787.722222222223,3333.865209471767,-27121.587431693988,18
26,-4953.111111111111,3333.865209471767,-8286.976320582879,18
27,46356.22222222222,3333.865209471767,43022.35701275045,18
28,-10780.277777777777,3333.865209471767,-14114.142987249545,18
29,-31749.25,3333.865209471767,-35083.11520947177,16
30,36401.53333333333,3333.865209471767,33067.668123861564,15
31,-14953.0,3333.865209471767,-18286.865209471765,9
