segment,machine_instance_id,dd,avg_diff_on_dd,n_dd,rate_104_on_dd,avg_winrate_on_dd,avg_diff_non_dd,rate_104_non_dd,avg_winrate_non_dd,low_confidence,new_machine_flag,exclusion_flag,exclusion_reason,machine_number,machine_name,section,rank_from_aisle,instance_start,instance_end
2001-2010,2001|ゴッドイーター リザレクション|20260427-20260711,1,-366.6666666666667,3,0.3333333333333333,100.24929801051263,527.1428571428571,0.4,105.37718533488496,True,False,False,,2001,ゴッドイーター リザレクション,2001-2010,10,20260427,20260711
2001-2010,2001|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,577.7777777777778,9,0.3333333333333333,98.2683056015152,307.3943661971831,0.3380281690140845,98.20066309773914,True,True,False,,2001,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,10,20250707,20260426
2001-2010,2002|ゴッドイーター リザレクション|20260427-20260711,1,966.6666666666666,3,1.0,112.48333679876664,-147.14285714285714,0.35714285714285715,97.0505065223799,True,True,False,,2002,ゴッドイーター リザレクション,2001-2010,9,20260427,20260711
2001-2010,2002|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,166.66666666666666,9,0.2222222222222222,98.31335865689061,532.7464788732394,0.33098591549295775,97.16498806099,True,True,False,,2002,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,9,20250707,20260426
2001-2010,2003|ゴッドイーター リザレクション|20260427-20260711,1,-1633.3333333333333,3,0.0,76.35378915687619,121.42857142857143,0.2857142857142857,96.13315563386618,True,False,False,,2003,ゴッドイーター リザレクション,2001-2010,8,20260427,20260711
2001-2010,2003|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,-1844.4444444444443,9,0.1111111111111111,84.4498194370907,138.0281690140845,0.29577464788732394,96.17054728005739,True,True,False,,2003,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,8,20250707,20260426
2001-2010,2004|ゴッドイーター リザレクション|20260427-20260711,1,1866.6666666666667,3,0.3333333333333333,125.48529541850483,774.2857142857143,0.37142857142857144,112.28420199732209,True,True,False,,2004,ゴッドイーター リザレクション,2001-2010,7,20260427,20260711
2001-2010,2004|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,733.3333333333334,9,0.4444444444444444,98.93259259856177,530.2816901408451,0.27816901408450706,95.33823690573908,True,True,False,,2004,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,7,20250707,20260426
2001-2010,2005|ゴッドイーター リザレクション|20260427-20260711,1,733.3333333333334,3,0.3333333333333333,104.31004926682921,-27.142857142857142,0.2714285714285714,97.34282484934,True,False,False,,2005,ゴッドイーター リザレクション,2001-2010,6,20260427,20260711
2001-2010,2005|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,2000.0,9,0.3333333333333333,106.94421547669678,528.169014084507,0.3028169014084507,97.26711170340066,True,True,False,,2005,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,6,20250707,20260426
2001-2010,2006|ゴッドイーター リザレクション|20260427-20260711,1,-933.3333333333334,3,0.3333333333333333,83.80442338220506,174.28571428571428,0.2714285714285714,99.43387993206176,True,False,False,,2006,ゴッドイーター リザレクション,2001-2010,5,20260427,20260711
2001-2010,2006|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,1033.3333333333333,9,0.4444444444444444,101.01919484673354,591.9014084507043,0.3380281690140845,98.22323553583402,True,True,False,,2006,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,5,20250707,20260426
2001-2010,2007|ゴッドイーター リザレクション|20260427-20260711,1,-1333.3333333333333,3,0.0,81.66325636193277,255.71428571428572,0.32857142857142857,102.73136883926584,True,False,False,,2007,ゴッドイーター リザレクション,2001-2010,4,20260427,20260711
2001-2010,2007|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,1177.7777777777778,9,0.3333333333333333,105.80587142327917,319.71830985915494,0.30970149253731344,97.24696632631706,True,True,False,,2007,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,4,20250707,20260426
2001-2010,2008|ゴッドイーター リザレクション|20260427-20260711,1,-1033.3333333333333,3,0.3333333333333333,90.52227192923135,535.7142857142857,0.3142857142857143,108.58028637656211,True,False,False,,2008,ゴッドイーター リザレクション,2001-2010,3,20260427,20260711
2001-2010,2008|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,-166.66666666666666,9,0.3333333333333333,93.84972551171808,605.9859154929577,0.30985915492957744,97.12114544146569,True,True,False,,2008,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,3,20250707,20260426
2001-2010,2009|ゴッドイーター リザレクション|20260427-20260711,1,2566.6666666666665,3,0.6666666666666666,130.8301035983883,-211.42857142857142,0.2571428571428571,95.46662216214906,True,True,False,,2009,ゴッドイーター リザレクション,2001-2010,2,20260427,20260711
2001-2010,2009|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,1000.0,9,0.375,101.6819074983404,588.7323943661971,0.362962962962963,98.9155898913428,True,True,False,,2009,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,2,20250707,20260426
2001-2010,2010|ゴッドイーター リザレクション|20260427-20260711,1,-1766.6666666666667,3,0.0,78.97709368627615,-72.85714285714286,0.2571428571428571,93.23529441546175,True,False,False,,2010,ゴッドイーター リザレクション,2001-2010,1,20260427,20260711
2001-2010,2010|戦国乙女4 戦乱に閃く炯眼の軍師|20250707-20260426,1,-366.6666666666667,9,0.1111111111111111,96.26641607121798,-86.26760563380282,0.2676056338028169,94.69362333448346,True,True,False,,2010,戦国乙女4 戦乱に閃く炯眼の軍師,2001-2010,1,20250707,20260426
2011-2022,2011|マギアレコード 魔法少女まどか☆マギカ外伝|20250707-20260104,1,1350.0,6,0.5,114.48009946388271,306.85714285714283,0.37142857142857144,102.19284840235105,True,False,False,,2011,マギアレコード 魔法少女まどか☆マギカ外伝,2011-2022,12,20250707,20260104
2011-2022,2011|モンキーターンV|20260105-20260510,1,-925.0,4,0.25,85.92172552690049,295.9016393442623,0.336283185840708,100.2178752606092,True,True,False,,2011,モンキーターンV,2011-2022,12,20260105,20260510
2011-2022,2011|戦国乙女4 戦乱に閃く炯眼の軍師|20260511-20260607,1,2700.0,1,1.0,112.84613188695405,-300.0,0.19230769230769232,87.60982983517341,True,True,False,,2011,戦国乙女4 戦乱に閃く炯眼の軍師,2011-2022,12,20260511,20260607
2011-2022,2011|甲鉄城のカバネリ 海門(うなと)決戦|20260608-20260711,1,-3600.0,1,0.0,78.80233174350822,-335.48387096774195,0.2903225806451613,97.06430573734053,True,False,False,,2011,甲鉄城のカバネリ 海門(うなと)決戦,2011-2022,12,20260608,20260711
2011-2022,2012|マギアレコード 魔法少女まどか☆マギカ外伝|20250707-20260104,1,-233.33333333333334,6,0.16666666666666666,92.72787447209346,550.2857142857143,0.4,104.60782103107695,True,False,False,,2012,マギアレコード 魔法少女まどか☆マギカ外伝,2011-2022,11,20250707,20260104
2011-2022,2012|モンキーターンV|20260105-20260510,1,2400.0,4,1.0,131.97675569211006,28.688524590163933,0.29906542056074764,96.96614407390949,True,False,False,,2012,モンキーターンV,2011-2022,11,20260105,20260510
2011-2022,2012|戦国乙女4 戦乱に閃く炯眼の軍師|20260511-20260607,1,-1200.0,1,0.0,86.89813298395022,-603.8461538461538,0.15384615384615385,89.39564809614222,True,True,False,,2012,戦国乙女4 戦乱に閃く炯眼の軍師,2011-2022,11,20260511,20260607
