dd,hall_avg_diff_on_dd,hall_overall_avg_diff,hallwide_dd_baseline_lift,hall_avg_winrate_on_dd,hall_overall_avg_winrate,n_days
1,81147.36842105263,19335.489833641404,61811.87858741122,42.26315789473684,37.5822550831793,19
2,13852.631578947368,19335.489833641404,-5482.858254694036,37.10526315789474,37.5822550831793,19
3,4242.105263157895,19335.489833641404,-15093.38457048351,37.94736842105263,37.5822550831793,19
4,16594.736842105263,19335.489833641404,-2740.752991536141,37.1578947368421,37.5822550831793,19
5,9921.052631578947,19335.489833641404,-9414.437202062458,37.0,37.5822550831793,19
6,16415.78947368421,19335.489833641404,-2919.7003599571945,36.36842105263158,37.5822550831793,19
7,82789.47368421052,19335.489833641404,63453.983850569115,44.68421052631579,37.5822550831793,19
8,18238.88888888889,19335.489833641404,-1096.600944752514,36.22222222222222,37.5822550831793,18
9,51942.10526315789,19335.489833641404,32606.61542951649,39.26315789473684,37.5822550831793,19
10,40121.05263157895,19335.489833641404,20785.562797937542,39.10526315789474,37.5822550831793,19
11,81647.36842105263,19335.489833641404,62311.87858741122,42.421052631578945,37.5822550831793,19
12,-32864.705882352944,19335.489833641404,-52200.19571599435,34.470588235294116,37.5822550831793,17
13,22938.88888888889,19335.489833641404,3603.399055247486,38.27777777777778,37.5822550831793,18
14,8527.777777777777,19335.489833641404,-10807.712055863627,36.166666666666664,37.5822550831793,18
15,12222.222222222223,19335.489833641404,-7113.267611419182,36.77777777777778,37.5822550831793,18
16,-19855.555555555555,19335.489833641404,-39191.04538919696,34.388888888888886,37.5822550831793,18
17,24561.11111111111,19335.489833641404,5225.621277469705,41.22222222222222,37.5822550831793,18
18,3200.0,19335.489833641404,-16135.489833641404,34.64705882352941,37.5822550831793,17
19,-5088.235294117647,19335.489833641404,-24423.72512775905,34.64705882352941,37.5822550831793,17
20,-16952.941176470587,19335.489833641404,-36288.43101011199,34.529411764705884,37.5822550831793,17
21,23129.41176470588,19335.489833641404,3793.9219310644767,38.529411764705884,37.5822550831793,17
22,46423.529411764706,19335.489833641404,27088.039578123302,40.23529411764706,37.5822550831793,17
23,6841.176470588235,19335.489833641404,-12494.31336305317,34.94117647058823,37.5822550831793,17
24,-7535.294117647059,19335.489833641404,-26870.783951288464,33.88235294117647,37.5822550831793,17
25,13441.176470588236,19335.489833641404,-5894.313363053168,36.470588235294116,37.5822550831793,17
26,-6764.705882352941,19335.489833641404,-26100.195715994345,33.64705882352941,37.5822550831793,17
27,10205.882352941177,19335.489833641404,-9129.607480700228,39.94117647058823,37.5822550831793,17
28,-6164.705882352941,19335.489833641404,-25500.195715994345,35.11764705882353,37.5822550831793,17
29,-27606.666666666668,19335.489833641404,-46942.156500308076,35.06666666666667,37.5822550831793,15
30,77920.0,19335.489833641404,58584.510166358596,42.666666666666664,37.5822550831793,15
31,50866.666666666664,19335.489833641404,31531.17683302526,38.888888888888886,37.5822550831793,9
