hall_label,section,segment,dd,section_machine_count,n_rows,n_days,avg_diff,median_diff,std_diff,min_diff,max_diff,machine_number_min,machine_number_max,section_min,section_max,rank_from_min,rank_from_max,rank_from_aisle,section_orientation
楽園,1000-1005,all,1,6,114,19,-226.0,-785.5,2855.6,-5095,15477,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,2,6,114,19,6.2,-547.0,2753.6,-5095,9191,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,3,6,114,19,273.6,-571.0,2873.0,-5095,10191,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,4,6,114,19,-228.5,-595.0,2534.4,-5095,8810,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,5,6,114,19,101.5,-499.5,3099.0,-5095,12477,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,6,6,114,19,-681.3,-809.0,3005.6,-6142,11953,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,7,6,114,19,-211.9,-904.0,2918.0,-5095,11048,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,8,6,108,18,242.9,-428.0,2655.7,-4809,9096,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,9,6,114,19,307.3,-238.0,3063.5,-5000,13381,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,10,6,108,18,244.6,-547.0,3470.6,-5095,15477,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,11,6,108,18,149.4,-952.0,3599.1,-5095,15477,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,12,6,108,18,-246.1,-666.0,2404.1,-4333,11667,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,13,6,108,18,-27.8,-357.0,2303.0,-4809,7810,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,14,6,108,18,-173.4,-476.0,2505.7,-5095,12762,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,15,6,108,18,-166.8,-452.0,2575.9,-5095,8953,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,16,6,108,18,340.3,-404.5,2955.6,-5047,12810,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,17,6,108,18,396.3,-333.0,2536.4,-4095,8238,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,18,6,108,18,136.6,-475.5,2805.7,-3333,15096,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,19,6,108,18,59.4,-381.0,2427.2,-3809,8953,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,20,6,108,18,-207.7,-714.0,2763.2,-5047,12715,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,21,6,108,18,-961.7,-1047.0,2484.2,-6142,6286,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,22,6,108,18,-408.4,-1214.0,3307.0,-5095,11953,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,23,6,108,18,248.1,-499.5,3129.4,-5095,12048,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,24,6,108,18,281.2,-476.0,2860.3,-5095,10715,1000,1005,1000,1005,1.0,1.0,,v
楽園,1000-1005,all,25,6,108,18,-160.1,-428.0,2704.3,-4904,13953,1000,1005,1000,1005,1.0,1.0,,v
