dd,segment,rank_from_aisle,machine_instance_id,machine_number,machine_name,instance_start,instance_end,avg_diff_on_dd,n_dd,avg_diff_non_dd,n_non_dd,dd_specific_lift,low_confidence,new_machine_flag,exclusion_flag,exclusion_reason,single_machine_dominance_flag
1,h_jug,1,641|マイジャグラーV|20250101-20260709,641,マイジャグラーV,20250101,20260709,622.2105263157895,19,520.2924528301887,530,101.91807348560076,False,True,False,,True
1,h_jug,1,674|マイジャグラーV|20250101-20260709,674,マイジャグラーV,20250101,20260709,376.7894736842105,19,569.511320754717,530,-192.72184707050644,False,True,False,,False
1,h_jug,1,675|アイムジャグラーEX-TP|20250101-20250831,675,アイムジャグラーEX-TP,20250101,20250831,-196.25,8,469.35470085470087,234,-665.6047008547009,True,True,False,,False
1,h_jug,1,675|ネオアイムジャグラーEX|20250901-20260709,675,ネオアイムジャグラーEX,20250901,20260709,-92.0909090909091,11,102.1891891891892,296,-194.2800982800983,False,True,False,,False
1,h_jug,2,642|マイジャグラーV|20250101-20260709,642,マイジャグラーV,20250101,20260709,391.5263157894737,19,333.25094339622643,530,58.27537239324727,False,True,False,,False
1,h_jug,2,673|マイジャグラーV|20250101-20260709,673,マイジャグラーV,20250101,20260709,316.10526315789474,19,262.0245283018868,530,54.08073485600795,False,True,False,,False
1,h_jug,2,676|アイムジャグラーEX-TP|20250101-20250831,676,アイムジャグラーEX-TP,20250101,20250831,54.5,8,245.73076923076923,234,-191.23076923076923,True,False,False,,False
1,h_jug,2,676|ネオアイムジャグラーEX|20250901-20260709,676,ネオアイムジャグラーEX,20250901,20260709,-182.0,11,36.90878378378378,296,-218.90878378378378,False,True,False,,False
1,h_jug,3,643|マイジャグラーV|20250101-20260709,643,マイジャグラーV,20250101,20260709,295.36842105263156,19,119.80188679245283,530,175.56653426017874,False,True,False,,True
1,h_jug,3,672|マイジャグラーV|20250101-20260709,672,マイジャグラーV,20250101,20260709,3.9473684210526314,19,162.8245283018868,530,-158.87715988083417,False,True,False,,False
