hall_label,segment,dd,n_rows,n_days,avg_diff,median_diff,std_diff,min_diff,max_diff,machine_number_min,machine_number_max
蒲田1,h_jug,1,1981,19,252.0,0.0,1352.0,-3300,6100,2121,2316
蒲田1,h_jug,2,1981,19,38.9,-200.0,1168.6,-4500,7400,2121,2316
蒲田1,h_jug,3,1981,19,60.8,-200.0,1184.9,-3000,5500,2121,2316
蒲田1,h_jug,4,1981,19,84.9,-200.0,1208.1,-2900,6800,2121,2316
蒲田1,h_jug,5,1981,19,91.5,-200.0,1247.7,-3900,5600,2121,2316
蒲田1,h_jug,6,1981,19,103.5,-200.0,1189.9,-3700,6100,2121,2316
蒲田1,h_jug,7,1981,19,244.0,0.0,1424.4,-4100,5300,2121,2316
蒲田1,h_jug,8,1886,18,74.0,-200.0,1167.7,-2700,6500,2121,2316
蒲田1,h_jug,9,1981,19,183.7,-100.0,1285.8,-3900,7000,2121,2316
蒲田1,h_jug,10,1981,19,27.0,-200.0,1225.2,-3500,6700,2121,2316
蒲田1,h_jug,11,1981,19,110.5,-100.0,1317.5,-3700,6200,2121,2316
蒲田1,h_jug,12,1791,17,8.8,-200.0,1052.5,-2800,4900,2121,2316
蒲田1,h_jug,13,1886,18,122.3,-100.0,1301.5,-2900,6600,2121,2316
蒲田1,h_jug,14,1886,18,39.7,-200.0,1141.6,-6100,6000,2121,2316
蒲田1,h_jug,15,1886,18,59.5,-200.0,1181.9,-3300,6000,2121,2316
蒲田1,h_jug,16,1886,18,24.8,-200.0,1061.2,-4100,5100,2121,2316
蒲田1,h_jug,17,1886,18,141.6,0.0,1257.0,-4200,5100,2121,2316
蒲田1,h_jug,18,1769,17,7.5,-200.0,1036.8,-2900,5900,2121,2316
蒲田1,h_jug,19,1769,17,-35.2,-200.0,984.7,-3900,4600,2121,2316
蒲田1,h_jug,20,1769,17,-13.0,-200.0,1066.6,-3000,5400,2121,2316
蒲田1,h_jug,21,1769,17,157.3,-200.0,1278.3,-3200,6900,2121,2316
蒲田1,h_jug,22,1769,17,101.5,-100.0,1291.2,-3100,4900,2121,2316
蒲田1,h_jug,23,1769,17,37.1,-200.0,1080.6,-4300,6800,2121,2316
蒲田1,h_jug,24,1769,17,1.0,-200.0,1083.0,-2900,5300,2121,2316
蒲田1,h_jug,25,1769,17,160.9,-100.0,1274.7,-4200,6200,2121,2316
蒲田1,h_jug,26,1769,17,-36.6,-200.0,961.8,-3200,6300,2121,2316
蒲田1,h_jug,27,1769,17,127.9,-100.0,1329.4,-3500,5800,2121,2316
蒲田1,h_jug,28,1769,17,41.5,-200.0,1164.8,-3000,7200,2121,2316
蒲田1,h_jug,29,1557,15,-41.0,-200.0,1023.6,-3900,4500,2121,2316
