hall_label,dd,n_days,hall_avg_diff_on_dd,hall_median_diff_on_dd,hall_min_diff_on_dd,hall_max_diff_on_dd,hall_avg_win_rate_on_dd,hall_avg_hit104_rate_on_dd,hall_overall_avg_diff,hall_dd_diff_lift,hall_overall_avg_win_rate,hall_overall_hit104_rate
蒲田1,1,19,81147.4,68700.0,-18900,288100,42.263,10.5,19335.5,61811.9,37.582,1.7
蒲田1,2,19,13852.6,5900.0,-133900,138000,37.105,5.3,19335.5,-5482.9,37.582,1.7
蒲田1,3,19,4242.1,200.0,-157400,165900,37.947,0.0,19335.5,-15093.4,37.582,1.7
蒲田1,4,19,16594.7,3400.0,-88200,213300,37.158,5.3,19335.5,-2740.8,37.582,1.7
蒲田1,5,19,9921.1,19500.0,-62600,104800,37.0,0.0,19335.5,-9414.4,37.582,1.7
蒲田1,6,19,16415.8,6900.0,-76900,154600,36.368,0.0,19335.5,-2919.7,37.582,1.7
蒲田1,7,19,82789.5,69500.0,-3600,287200,44.684,5.3,19335.5,63454.0,37.582,1.7
蒲田1,8,18,18238.9,12900.0,-130800,128800,36.222,0.0,19335.5,-1096.6,37.582,1.7
蒲田1,9,19,51942.1,38900.0,-57200,213100,39.263,0.0,19335.5,32606.6,37.582,1.7
蒲田1,10,19,40121.1,33500.0,-80700,181000,39.105,0.0,19335.5,20785.6,37.582,1.7
蒲田1,11,19,81647.4,94300.0,-151600,207800,42.421,10.5,19335.5,62311.9,37.582,1.7
蒲田1,12,17,-32864.7,-20600.0,-117400,41100,34.471,0.0,19335.5,-52200.2,37.582,1.7
蒲田1,13,18,22938.9,23150.0,-74200,160300,38.278,0.0,19335.5,3603.4,37.582,1.7
蒲田1,14,18,8527.8,13950.0,-83900,73700,36.167,0.0,19335.5,-10807.7,37.582,1.7
蒲田1,15,18,12222.2,22500.0,-66200,110700,36.778,0.0,19335.5,-7113.3,37.582,1.7
蒲田1,16,18,-19855.6,-22500.0,-120800,110700,34.389,0.0,19335.5,-39191.0,37.582,1.7
蒲田1,17,18,24561.1,16650.0,-85600,159700,41.222,0.0,19335.5,5225.6,37.582,1.7
蒲田1,18,17,3200.0,-10000.0,-91200,137600,34.647,0.0,19335.5,-16135.5,37.582,1.7
蒲田1,19,17,-5088.2,5800.0,-173200,80200,34.647,0.0,19335.5,-24423.7,37.582,1.7
蒲田1,20,17,-16952.9,-26200.0,-84100,43200,34.529,0.0,19335.5,-36288.4,37.582,1.7
蒲田1,21,17,23129.4,19200.0,-98100,105400,38.529,0.0,19335.5,3793.9,37.582,1.7
蒲田1,22,17,46423.5,37900.0,-48100,162700,40.235,5.9,19335.5,27088.0,37.582,1.7
蒲田1,23,17,6841.2,4000.0,-117500,126300,34.941,0.0,19335.5,-12494.3,37.582,1.7
蒲田1,24,17,-7535.3,2200.0,-102800,46300,33.882,0.0,19335.5,-26870.8,37.582,1.7
蒲田1,25,17,13441.2,8800.0,-119400,134600,36.471,0.0,19335.5,-5894.3,37.582,1.7
蒲田1,26,17,-6764.7,-10800.0,-92200,93300,33.647,0.0,19335.5,-26100.2,37.582,1.7
蒲田1,27,17,10205.9,14200.0,-202400,170500,39.941,0.0,19335.5,-9129.6,37.582,1.7
蒲田1,28,17,-6164.7,-8300.0,-107000,131700,35.118,0.0,19335.5,-25500.2,37.582,1.7
蒲田1,29,15,-27606.7,-10000.0,-103800,39000,35.067,0.0,19335.5,-46942.2,37.582,1.7
蒲田1,30,15,77920.0,65700.0,-4900,153400,42.667,6.7,19335.5,58584.5,37.582,1.7
蒲田1,31,9,50866.7,26300.0,-26700,151600,38.889,0.0,19335.5,31531.2,37.582,1.7
