dd,category,value,win_rate,hit104_rate,avg_diff,n_records,n_machines,n_dates
1,machine_tail,0,42.29317851959362,0.0,257.47460087082726,689,40,19
1,machine_tail,1,42.30167597765363,0.0,494.83240223463685,716,42,19
1,machine_tail,2,42.29237288135593,0.0,231.21468926553672,708,41,19
1,machine_tail,3,42.29237288135593,0.0,187.57062146892656,708,41,19
1,machine_tail,4,42.29317851959362,0.0,83.59941944847606,689,40,19
1,machine_tail,5,42.29317851959362,0.0,126.99564586357039,689,40,19
1,machine_tail,6,42.30383480825959,0.0,166.81415929203538,678,39,19
1,machine_tail,7,42.30383480825959,0.0,367.2566371681416,678,39,19
1,machine_tail,8,42.30383480825959,0.0,185.84070796460176,678,39,19
1,machine_tail,9,42.29317851959362,0.0,116.69085631349782,689,40,19
1,machine_type,その他,42.33499643620812,0.0,144.68995010691376,4209,293,19
1,machine_type,ジャグラー,42.33972741039879,0.0,251.9939424533064,1981,123,19
1,machine_type,ハナハナ,42.14529914529915,0.0,27.35042735042735,234,20,19
1,machine_type,化物語,39.92307692307692,0.0,103.84615384615384,26,6,7
1,machine_type,北斗,41.985169491525426,0.0,899.3644067796611,472,33,19
1,rank_from_max,1.0,42.26315789473684,0.0,78.0701754385965,570,31,19
1,rank_from_max,10.0,42.26315789473684,0.0,248.8421052631579,475,26,19
1,rank_from_max,11.0,42.24552429667519,0.0,187.4680306905371,391,21,19
1,rank_from_max,12.0,42.231818181818184,0.0,255.45454545454547,220,12,19
1,rank_from_max,13.0,42.22885572139303,0.0,487.06467661691545,201,11,19
1,rank_from_max,14.0,42.21527777777778,0.0,250.69444444444446,144,8,19
1,rank_from_max,15.0,42.208,0.0,160.0,125,7,19
1,rank_from_max,16.0,42.198113207547166,0.0,658.4905660377359,106,6,19
1,rank_from_max,17.0,42.198113207547166,0.0,192.45283018867926,106,6,19
1,rank_from_max,18.0,42.26315789473684,0.0,-143.859649122807,57,3,19
1,rank_from_max,19.0,42.26315789473684,0.0,396.49122807017545,57,3,19
1,rank_from_max,2.0,42.26315789473684,0.0,215.43859649122808,570,31,19
1,rank_from_max,20.0,42.26315789473684,0.0,503.50877192982455,57,3,19
1,rank_from_max,3.0,42.26315789473684,0.0,11.75438596491228,570,31,19
1,rank_from_max,4.0,42.26315789473684,0.0,116.51542649727767,551,30,19
1,rank_from_max,5.0,42.26315789473684,0.0,326.11336032388664,494,27,19
1,rank_from_max,6.0,42.26315789473684,0.0,95.78947368421052,475,26,19
1,rank_from_max,7.0,42.26315789473684,0.0,142.52631578947367,475,26,19
1,rank_from_max,8.0,42.26315789473684,0.0,315.7894736842105,475,26,19
1,rank_from_max,9.0,42.26315789473684,0.0,354.3157894736842,475,26,19
1,rank_from_min,1.0,42.26315789473684,0.0,268.2456140350877,570,31,19
1,rank_from_min,10.0,42.26315789473684,0.0,342.94736842105266,475,26,19
1,rank_from_min,11.0,42.24552429667519,0.0,75.1918158567775,391,21,19
1,rank_from_min,12.0,42.231818181818184,0.0,164.0909090909091,220,12,19
1,rank_from_min,13.0,42.22885572139303,0.0,242.7860696517413,201,11,19
1,rank_from_min,14.0,42.21527777777778,0.0,-169.44444444444446,144,8,19
1,rank_from_min,15.0,42.208,0.0,-2.4,125,7,19
1,rank_from_min,16.0,42.198113207547166,0.0,539.622641509434,106,6,19
1,rank_from_min,17.0,42.198113207547166,0.0,242.45283018867926,106,6,19
1,rank_from_min,18.0,42.26315789473684,0.0,768.421052631579,57,3,19
1,rank_from_min,19.0,42.26315789473684,0.0,-156.140350877193,57,3,19
1,rank_from_min,2.0,42.26315789473684,0.0,221.2280701754386,570,31,19
1,rank_from_min,20.0,42.26315789473684,0.0,124.56140350877193,57,3,19
1,rank_from_min,3.0,42.26315789473684,0.0,241.2280701754386,570,31,19
1,rank_from_min,4.0,42.26315789473684,0.0,150.45372050816698,551,30,19
1,rank_from_min,5.0,42.26315789473684,0.0,247.3684210526316,494,27,19
1,rank_from_min,6.0,42.26315789473684,0.0,225.05263157894737,475,26,19
1,rank_from_min,7.0,42.26315789473684,0.0,350.10526315789474,475,26,19
1,rank_from_min,8.0,42.26315789473684,0.0,82.73684210526316,475,26,19
1,rank_from_min,9.0,42.26315789473684,0.0,114.3157894736842,475,26,19
1,section,1631-1633,42.26315789473684,0.0,-19.29824561403509,57,3,19
1,section,2001-2020,42.26315789473684,0.0,274.2105263157895,380,20,19
1,section,2021-2031,42.26315789473684,0.0,477.99043062200957,209,11,19
1,section,2032-2042,42.26315789473684,0.0,-78.94736842105263,209,11,19
1,section,2043-2059,42.26315789473684,0.0,322.2910216718266,323,17,19
1,section,2060-2076,42.26315789473684,0.0,617.3374613003095,323,17,19
1,section,2077-2087,42.26315789473684,0.0,-156.45933014354068,209,11,19
1,section,2088-2098,42.26315789473684,0.0,-436.3636363636364,209,11,19
1,section,2099-2109,42.26315789473684,0.0,878.4688995215311,209,11,19
1,section,2110-2120,42.26315789473684,0.0,-21.05263157894737,209,11,19
1,section,2121-2131,42.26315789473684,0.0,199.52153110047846,209,11,19
1,section,2132-2142,42.26315789473684,0.0,213.8755980861244,209,11,19
1,section,2143-2146,42.26315789473684,0.0,678.9473684210526,76,4,19
1,section,2147-2150,42.26315789473684,0.0,165.78947368421052,76,4,19
1,section,2151-2161,42.26315789473684,0.0,211.48325358851676,209,11,19
1,section,2162-2166,42.26315789473684,0.0,-172.6315789473684,95,5,19
1,section,2167-2176,42.26315789473684,0.0,91.57894736842105,190,10,19
1,section,2177-2186,42.26315789473684,0.0,267.89473684210526,190,10,19
1,section,2187-2190,42.26315789473684,0.0,-146.05263157894737,76,4,19
1,section,2191-2202,42.26315789473684,0.0,466.2280701754386,228,12,19
1,section,2203-2212,42.26315789473684,0.0,532.6315789473684,190,10,19
1,section,2213-2222,42.26315789473684,0.0,213.1578947368421,190,10,19
1,section,2223-2235,42.26315789473684,0.0,336.8421052631579,247,13,19
1,section,2236-2255,42.26315789473684,0.0,257.36842105263156,380,20,19
1,section,2256-2268,42.26315789473684,0.0,-21.45748987854251,247,13,19
1,section,2269-2281,42.26315789473684,0.0,-4.8582995951417,247,13,19
1,section,2282-2301,42.26315789473684,0.0,202.3684210526316,380,20,19
1,section,2302-2316,42.26315789473684,0.0,179.2982456140351,285,15,19
1,section,2317-2330,42.26315789473684,0.0,105.26315789473684,266,14,19
1,section,2331-2340,43.125,0.0,-388.75,80,10,8
1,section,2399-2415,41.63636363636363,0.0,200.53475935828877,187,17,11
2,machine_tail,0,37.05805515239477,0.0,-12.191582002902758,689,40,19
2,machine_tail,1,37.04469273743017,0.0,48.74301675977654,716,42,19
2,machine_tail,2,37.059322033898304,0.0,-85.73446327683615,708,41,19
2,machine_tail,3,37.059322033898304,0.0,-18.361581920903955,708,41,19
2,machine_tail,4,37.05805515239477,0.0,136.86502177068215,689,40,19
2,machine_tail,5,37.05805515239477,0.0,202.46734397677793,689,40,19
2,machine_tail,6,37.041297935103245,0.0,-27.5811209439528,678,39,19
2,machine_tail,7,37.041297935103245,0.0,63.86430678466077,678,39,19
2,machine_tail,8,37.041297935103245,0.0,-22.56637168141593,678,39,19
2,machine_tail,9,37.05805515239477,0.0,97.677793904209,689,40,19
2,machine_type,その他,37.08736942070276,0.0,37.535612535612536,4212,293,19
2,machine_type,ジャグラー,36.98485613326603,0.0,38.869257950530034,1981,123,19
2,machine_type,ハナハナ,37.29059829059829,0.0,-98.71794871794872,234,20,19
2,machine_type,化物語,36.96153846153846,0.0,911.5384615384615,26,6,7
2,machine_type,北斗,36.90405117270789,0.0,58.63539445628998,469,33,19
2,rank_from_max,1.0,37.10526315789474,0.0,-265.96491228070175,570,31,19
2,rank_from_max,10.0,37.10526315789474,0.0,239.78947368421052,475,26,19
2,rank_from_max,11.0,37.13299232736573,0.0,-62.915601023017906,391,21,19
2,rank_from_max,12.0,37.154545454545456,0.0,-84.0909090909091,220,12,19
2,rank_from_max,13.0,37.159203980099505,0.0,-75.62189054726367,201,11,19
2,rank_from_max,14.0,37.18055555555556,0.0,43.75,144,8,19
2,rank_from_max,15.0,37.192,0.0,-1.6,125,7,19
2,rank_from_max,16.0,37.20754716981132,0.0,64.15094339622641,106,6,19
2,rank_from_max,17.0,37.20754716981132,0.0,-73.58490566037736,106,6,19
2,rank_from_max,18.0,37.10526315789474,0.0,-405.2631578947368,57,3,19
2,rank_from_max,19.0,37.10526315789474,0.0,245.6140350877193,57,3,19
2,rank_from_max,2.0,37.10526315789474,0.0,272.63157894736844,570,31,19
2,rank_from_max,20.0,37.10526315789474,0.0,-443.859649122807,57,3,19
2,rank_from_max,3.0,37.10526315789474,0.0,-17.719298245614034,570,31,19
2,rank_from_max,4.0,37.10526315789474,0.0,-50.99818511796733,551,30,19
2,rank_from_max,5.0,37.10526315789474,0.0,34.21052631578947,494,27,19
2,rank_from_max,6.0,37.10526315789474,0.0,133.47368421052633,475,26,19
2,rank_from_max,7.0,37.10526315789474,0.0,119.15789473684211,475,26,19
2,rank_from_max,8.0,37.10526315789474,0.0,325.6842105263158,475,26,19
2,rank_from_max,9.0,37.10526315789474,0.0,26.736842105263158,475,26,19
2,rank_from_min,1.0,37.10526315789474,0.0,-248.0701754385965,570,31,19
2,rank_from_min,10.0,37.10526315789474,0.0,149.26315789473685,475,26,19
2,rank_from_min,11.0,37.13299232736573,0.0,-114.57800511508951,391,21,19
2,rank_from_min,12.0,37.154545454545456,0.0,-110.0,220,12,19
2,rank_from_min,13.0,37.159203980099505,0.0,-196.01990049751242,201,11,19
2,rank_from_min,14.0,37.18055555555556,0.0,163.88888888888889,144,8,19
2,rank_from_min,15.0,37.192,0.0,16.8,125,7,19
2,rank_from_min,16.0,37.20754716981132,0.0,-21.69811320754717,106,6,19
2,rank_from_min,17.0,37.20754716981132,0.0,-230.18867924528303,106,6,19
2,rank_from_min,18.0,37.10526315789474,0.0,-273.6842105263158,57,3,19
2,rank_from_min,19.0,37.10526315789474,0.0,229.82456140350877,57,3,19
2,rank_from_min,2.0,37.10526315789474,0.0,103.33333333333333,570,31,19
2,rank_from_min,20.0,37.10526315789474,0.0,71.9298245614035,57,3,19
2,rank_from_min,3.0,37.10526315789474,0.0,-23.333333333333332,570,31,19
2,rank_from_min,4.0,37.10526315789474,0.0,220.14519056261344,551,30,19
2,rank_from_min,5.0,37.10526315789474,0.0,265.38461538461536,494,27,19
2,rank_from_min,6.0,37.10526315789474,0.0,-38.526315789473685,475,26,19
2,rank_from_min,7.0,37.10526315789474,0.0,52.421052631578945,475,26,19
2,rank_from_min,8.0,37.10526315789474,0.0,193.68421052631578,475,26,19
2,rank_from_min,9.0,37.10526315789474,0.0,164.0,475,26,19
2,section,1631-1633,37.10526315789474,0.0,240.35087719298247,57,3,19
2,section,2001-2020,37.10526315789474,0.0,18.157894736842106,380,20,19
2,section,2021-2031,37.10526315789474,0.0,107.17703349282297,209,11,19
2,section,2032-2042,37.10526315789474,0.0,148.80382775119617,209,11,19
2,section,2043-2059,37.10526315789474,0.0,-101.23839009287926,323,17,19
2,section,2060-2076,37.10526315789474,0.0,-13.93188854489164,323,17,19
2,section,2077-2087,37.10526315789474,0.0,228.22966507177034,209,11,19
2,section,2088-2098,37.10526315789474,0.0,65.55023923444976,209,11,19
2,section,2099-2109,37.10526315789474,0.0,361.24401913875596,209,11,19
2,section,2110-2120,37.10526315789474,0.0,311.48325358851673,209,11,19
2,section,2121-2131,37.10526315789474,0.0,-132.05741626794259,209,11,19
2,section,2132-2142,37.10526315789474,0.0,56.45933014354067,209,11,19
2,section,2143-2146,37.10526315789474,0.0,-559.2105263157895,76,4,19
2,section,2147-2150,37.10526315789474,0.0,-282.89473684210526,76,4,19
2,section,2151-2161,37.10526315789474,0.0,147.3684210526316,209,11,19
2,section,2162-2166,37.10526315789474,0.0,596.8421052631579,95,5,19
2,section,2167-2176,37.10526315789474,0.0,164.73684210526315,190,10,19
2,section,2177-2186,37.10526315789474,0.0,1.5789473684210527,190,10,19
2,section,2187-2190,37.10526315789474,0.0,-252.6315789473684,76,4,19
2,section,2191-2202,37.10526315789474,0.0,177.19298245614036,228,12,19
2,section,2203-2212,37.10526315789474,0.0,84.73684210526316,190,10,19
2,section,2213-2222,37.10526315789474,0.0,-395.7894736842105,190,10,19
2,section,2223-2235,37.10526315789474,0.0,61.94331983805668,247,13,19
2,section,2236-2255,37.10526315789474,0.0,-48.94736842105263,380,20,19
2,section,2256-2268,37.10526315789474,0.0,52.22672064777328,247,13,19
2,section,2269-2281,37.10526315789474,0.0,-379.7570850202429,247,13,19
2,section,2282-2301,37.10526315789474,0.0,70.26315789473684,380,20,19
2,section,2302-2316,37.10526315789474,0.0,27.719298245614034,285,15,19
2,section,2317-2330,37.10526315789474,0.0,121.42857142857143,266,14,19
2,section,2331-2340,35.75,0.0,118.75,80,10,8
2,section,2399-2415,38.09090909090909,0.0,340.6417112299465,187,17,11
3,machine_tail,0,38.00580551523948,0.0,10.740203193033382,689,40,19
3,machine_tail,1,38.022346368715084,0.0,-43.15642458100559,716,42,19
3,machine_tail,2,38.00423728813559,0.0,-90.81920903954803,708,41,19
3,machine_tail,3,38.00423728813559,0.0,10.310734463276836,708,41,19
3,machine_tail,4,38.00580551523948,0.0,100.72568940493468,689,40,19
3,machine_tail,5,38.00580551523948,0.0,177.79390420899855,689,40,19
3,machine_tail,6,38.02654867256637,0.0,-79.20353982300885,678,39,19
3,machine_tail,7,38.02654867256637,0.0,45.87020648967552,678,39,19
3,machine_tail,8,38.02654867256637,0.0,-41.88790560471976,678,39,19
3,machine_tail,9,38.00580551523948,0.0,29.317851959361395,689,40,19
3,machine_type,その他,38.00759734093067,0.0,-23.14814814814815,4212,293,19
3,machine_type,ジャグラー,38.096415951539626,0.0,60.82786471479051,1981,123,19
3,machine_type,ハナハナ,37.717948717948715,0.0,10.683760683760683,234,20,19
3,machine_type,化物語,35.07692307692308,0.0,-330.7692307692308,26,6,7
3,machine_type,北斗,38.02345415778252,0.0,135.82089552238807,469,33,19
3,rank_from_max,1.0,37.94736842105263,0.0,-106.14035087719299,570,31,19
3,rank_from_max,10.0,37.94736842105263,0.0,19.57894736842105,475,26,19
3,rank_from_max,11.0,37.91304347826087,0.0,-200.76726342710998,391,21,19
3,rank_from_max,12.0,37.88636363636363,0.0,285.90909090909093,220,12,19
3,rank_from_max,13.0,37.88059701492537,0.0,49.25373134328358,201,11,19
3,rank_from_max,14.0,37.854166666666664,0.0,251.38888888888889,144,8,19
3,rank_from_max,15.0,37.84,0.0,-12.0,125,7,19
3,rank_from_max,16.0,37.820754716981135,0.0,152.83018867924528,106,6,19
3,rank_from_max,17.0,37.820754716981135,0.0,-114.15094339622641,106,6,19
3,rank_from_max,18.0,37.94736842105263,0.0,328.0701754385965,57,3,19
3,rank_from_max,19.0,37.94736842105263,0.0,270.17543859649123,57,3,19
3,rank_from_max,2.0,37.94736842105263,0.0,-9.298245614035087,570,31,19
3,rank_from_max,20.0,37.94736842105263,0.0,189.47368421052633,57,3,19
3,rank_from_max,3.0,37.94736842105263,0.0,70.35087719298245,570,31,19
3,rank_from_max,4.0,37.94736842105263,0.0,-157.1687840290381,551,30,19
3,rank_from_max,5.0,37.94736842105263,0.0,-9.919028340080972,494,27,19
3,rank_from_max,6.0,37.94736842105263,0.0,-65.89473684210526,475,26,19
3,rank_from_max,7.0,37.94736842105263,0.0,123.78947368421052,475,26,19
3,rank_from_max,8.0,37.94736842105263,0.0,-76.0,475,26,19
3,rank_from_max,9.0,37.94736842105263,0.0,122.3157894736842,475,26,19
3,rank_from_min,1.0,37.94736842105263,0.0,-82.80701754385964,570,31,19
3,rank_from_min,10.0,37.94736842105263,0.0,48.421052631578945,475,26,19
3,rank_from_min,11.0,37.91304347826087,0.0,-34.0153452685422,391,21,19
3,rank_from_min,12.0,37.88636363636363,0.0,-222.27272727272728,220,12,19
3,rank_from_min,13.0,37.88059701492537,0.0,-38.308457711442784,201,11,19
3,rank_from_min,14.0,37.854166666666664,0.0,11.805555555555555,144,8,19
3,rank_from_min,15.0,37.84,0.0,336.0,125,7,19
3,rank_from_min,16.0,37.820754716981135,0.0,317.92452830188677,106,6,19
3,rank_from_min,17.0,37.820754716981135,0.0,-33.9622641509434,106,6,19
3,rank_from_min,18.0,37.94736842105263,0.0,-235.08771929824562,57,3,19
3,rank_from_min,19.0,37.94736842105263,0.0,-26.31578947368421,57,3,19
3,rank_from_min,2.0,37.94736842105263,0.0,140.87719298245614,570,31,19
3,rank_from_min,20.0,37.94736842105263,0.0,-57.89473684210526,57,3,19
3,rank_from_min,3.0,37.94736842105263,0.0,78.7719298245614,570,31,19
3,rank_from_min,4.0,37.94736842105263,0.0,-61.34301270417423,551,30,19
3,rank_from_min,5.0,37.94736842105263,0.0,-30.5668016194332,494,27,19
3,rank_from_min,6.0,37.94736842105263,0.0,-201.47368421052633,475,26,19
3,rank_from_min,7.0,37.94736842105263,0.0,84.84210526315789,475,26,19
3,rank_from_min,8.0,37.94736842105263,0.0,-87.15789473684211,475,26,19
3,rank_from_min,9.0,37.94736842105263,0.0,165.47368421052633,475,26,19
3,section,1631-1633,37.94736842105263,0.0,245.6140350877193,57,3,19
3,section,2001-2020,37.94736842105263,0.0,356.05263157894734,380,20,19
3,section,2021-2031,37.94736842105263,0.0,185.16746411483254,209,11,19
3,section,2032-2042,37.94736842105263,0.0,-26.794258373205743,209,11,19
3,section,2043-2059,37.94736842105263,0.0,-151.70278637770897,323,17,19
3,section,2060-2076,37.94736842105263,0.0,157.58513931888544,323,17,19
3,section,2077-2087,37.94736842105263,0.0,-153.11004784688996,209,11,19
3,section,2088-2098,37.94736842105263,0.0,-30.14354066985646,209,11,19
3,section,2099-2109,37.94736842105263,0.0,-119.61722488038278,209,11,19
3,section,2110-2120,37.94736842105263,0.0,-433.9712918660287,209,11,19
3,section,2121-2131,37.94736842105263,0.0,-30.62200956937799,209,11,19
3,section,2132-2142,37.94736842105263,0.0,269.85645933014354,209,11,19
3,section,2143-2146,37.94736842105263,0.0,-496.05263157894734,76,4,19
3,section,2147-2150,37.94736842105263,0.0,-459.2105263157895,76,4,19
3,section,2151-2161,37.94736842105263,0.0,109.0909090909091,209,11,19
3,section,2162-2166,37.94736842105263,0.0,235.78947368421052,95,5,19
3,section,2167-2176,37.94736842105263,0.0,196.8421052631579,190,10,19
3,section,2177-2186,37.94736842105263,0.0,143.68421052631578,190,10,19
3,section,2187-2190,37.94736842105263,0.0,3.9473684210526314,76,4,19
3,section,2191-2202,37.94736842105263,0.0,-25.43859649122807,228,12,19
3,section,2203-2212,37.94736842105263,0.0,327.89473684210526,190,10,19
3,section,2213-2222,37.94736842105263,0.0,-438.94736842105266,190,10,19
3,section,2223-2235,37.94736842105263,0.0,59.10931174089069,247,13,19
3,section,2236-2255,37.94736842105263,0.0,64.21052631578948,380,20,19
3,section,2256-2268,37.94736842105263,0.0,-306.8825910931174,247,13,19
3,section,2269-2281,37.94736842105263,0.0,-473.6842105263158,247,13,19
3,section,2282-2301,37.94736842105263,0.0,26.842105263157894,380,20,19
3,section,2302-2316,37.94736842105263,0.0,54.73684210526316,285,15,19
3,section,2317-2330,37.94736842105263,0.0,155.6390977443609,266,14,19
3,section,2331-2340,39.625,0.0,-70.0,80,10,8
3,section,2399-2415,36.72727272727273,0.0,111.22994652406418,187,17,11
4,machine_tail,0,37.14368650217707,0.0,-94.92017416545718,689,40,19
4,machine_tail,1,37.13966480446928,0.0,-8.938547486033519,716,42,19
4,machine_tail,2,37.144067796610166,0.0,15.3954802259887,708,41,19
4,machine_tail,3,37.144067796610166,0.0,118.78531073446328,708,41,19
4,machine_tail,4,37.14368650217707,0.0,39.7677793904209,689,40,19
4,machine_tail,5,37.14368650217707,0.0,79.39042089985486,689,40,19
4,machine_tail,6,37.13864306784661,0.0,48.82005899705015,678,39,19
4,machine_tail,7,37.13864306784661,0.0,17.99410029498525,678,39,19
4,machine_tail,8,37.13864306784661,0.0,170.79646017699116,678,39,19
4,machine_tail,9,37.14368650217707,0.0,70.97242380261248,689,40,19
