dd,segment,rank_from_aisle,machine_instance_id,machine_number,machine_name,avg_diff_on_dd,n_dd,avg_diff_non_dd,n_non_dd,dd_specific_lift,low_confidence,new_machine_flag,exclusion_flag,exclusion_reason,single_machine_dominance_flag
1,h_jug,10,slot_650,650,ALL_MODELS,-101.10526315789474,19,45.552830188679245,530,-146.658093346574,False,True,False,,False
1,h_jug,10,slot_665,665,ALL_MODELS,332.5263157894737,19,22.82264150943396,530,309.70367428003976,False,True,False,,True
1,h_jug,10,slot_684,684,ALL_MODELS,-76.6842105263158,19,-26.364150943396226,530,-50.32005958291957,False,False,False,,False
1,h_jug,11,slot_651,651,ALL_MODELS,-209.8421052631579,19,-34.971698113207545,530,-174.87040714995035,False,True,False,,False
1,h_jug,11,slot_664,664,ALL_MODELS,-86.47368421052632,19,28.116981132075473,530,-114.5906653426018,False,True,False,,False
1,h_jug,11,slot_685,685,ALL_MODELS,404.42105263157896,19,-47.656603773584905,530,452.07765640516385,False,True,False,,True
1,h_jug,12,slot_652,652,ALL_MODELS,-111.26315789473684,19,-19.38490566037736,530,-91.87825223435948,False,True,False,,False
1,h_jug,12,slot_663,663,ALL_MODELS,271.7894736842105,19,76.38679245283019,530,195.4026812313803,False,True,False,,True
1,h_jug,12,slot_686,686,ALL_MODELS,-78.26315789473684,19,-23.3,530,-54.96315789473684,False,True,False,,False
1,h_jug,13,slot_653,653,ALL_MODELS,-251.73684210526315,19,4.122641509433962,530,-255.85948361469713,False,True,False,,False
1,h_jug,13,slot_662,662,ALL_MODELS,-162.31578947368422,19,94.93584905660377,530,-257.251638530288,False,True,False,,False
1,h_jug,13,slot_687,687,ALL_MODELS,-319.94736842105266,19,-12.756603773584906,530,-307.19076464746774,False,False,False,,False
1,h_jug,14,slot_654,654,ALL_MODELS,135.8421052631579,19,73.37924528301886,530,62.46285998013903,False,True,False,,False
1,h_jug,14,slot_661,661,ALL_MODELS,280.94736842105266,19,14.888679245283019,530,266.05868917576964,False,False,False,,False
1,h_jug,14,slot_688,688,ALL_MODELS,-570.8947368421053,19,20.147169811320754,530,-591.041906653426,False,True,False,,True
1,h_jug,15,slot_655,655,ALL_MODELS,95.94736842105263,19,-48.78679245283019,530,144.73416087388281,False,False,False,,False
1,h_jug,15,slot_660,660,ALL_MODELS,-230.47368421052633,19,-48.85094339622641,530,-181.6227408142999,False,True,False,,True
1,h_jug,15,slot_689,689,ALL_MODELS,34.31578947368421,19,51.67169811320755,530,-17.355908639523335,False,True,False,,False
1,h_jug,16,slot_656,656,ALL_MODELS,-345.1578947368421,19,-15.641509433962264,530,-329.5163853028798,False,True,False,,False
1,h_jug,16,slot_659,659,ALL_MODELS,-357.0,19,-78.42641509433962,530,-278.57358490566037,False,True,False,,False
1,h_jug,16,slot_690,690,ALL_MODELS,150.8421052631579,19,-54.35849056603774,530,205.20059582919563,False,False,False,,False
1,h_jug,17,slot_657,657,ALL_MODELS,60.31578947368421,19,-119.76037735849057,530,180.07616683217478,False,True,False,,False
1,h_jug,17,slot_658,658,ALL_MODELS,-243.1578947368421,19,-146.1433962264151,530,-97.01449851042702,False,True,False,,False
1,h_jug,17,slot_691,691,ALL_MODELS,-394.89473684210526,19,-8.064150943396227,530,-386.83058589870905,False,False,False,,True
1,h_nonjug,1,slot_501,501,ALL_MODELS,465.63157894736844,19,6.549056603773585,530,459.08252234359486,False,True,False,,False
1,h_nonjug,1,slot_539,539,ALL_MODELS,-179.26315789473685,19,-214.89622641509433,530,35.63306852035748,False,False,False,,False
1,h_nonjug,1,slot_540,540,ALL_MODELS,648.6842105263158,19,379.0037735849057,530,269.68043694141016,False,True,False,,False
1,h_nonjug,1,slot_573,573,ALL_MODELS,453.42105263157896,19,196.90943396226416,530,256.51161866931477,False,True,False,,False
1,h_nonjug,1,slot_574,574,ALL_MODELS,-431.3157894736842,19,108.11698113207547,530,-539.4327706057597,False,False,False,,False
1,h_nonjug,1,slot_607,607,ALL_MODELS,-520.0526315789474,19,159.11320754716982,530,-679.1658391261172,False,True,False,,False
1,h_nonjug,1,slot_608,608,ALL_MODELS,-922.3157894736842,19,-4.435849056603773,530,-917.8799404170804,False,True,False,,False
1,h_nonjug,1,slot_640,640,ALL_MODELS,-467.36842105263156,19,-100.67547169811321,530,-366.69294935451836,False,True,False,,False
1,h_nonjug,2,slot_502,502,ALL_MODELS,-540.8421052631579,19,92.64339622641509,530,-633.485501489573,False,False,False,,False
1,h_nonjug,2,slot_538,538,ALL_MODELS,705.2631578947369,19,-122.88490566037736,530,828.1480635551143,False,False,False,,False
1,h_nonjug,2,slot_541,541,ALL_MODELS,-211.0,19,251.70188679245283,530,-462.7018867924528,False,True,False,,False
1,h_nonjug,2,slot_572,572,ALL_MODELS,-167.8421052631579,19,385.7320754716981,530,-553.574180734856,False,False,False,,False
1,h_nonjug,2,slot_575,575,ALL_MODELS,-643.8421052631579,19,204.0679245283019,530,-847.9100297914598,False,False,False,,False
1,h_nonjug,2,slot_606,606,ALL_MODELS,220.94736842105263,19,346.13396226415097,530,-125.18659384309834,False,True,False,,False
1,h_nonjug,2,slot_609,609,ALL_MODELS,-489.8421052631579,19,63.54528301886793,530,-553.3873882820259,False,False,False,,False
1,h_nonjug,2,slot_639,639,ALL_MODELS,164.73684210526315,19,-171.55094339622642,530,336.28778550148957,False,True,False,,False
1,h_nonjug,3,slot_503,503,ALL_MODELS,7.578947368421052,19,151.8622641509434,530,-144.28331678252235,False,True,False,,False
1,h_nonjug,3,slot_537,537,ALL_MODELS,-987.3157894736842,19,-155.988679245283,530,-831.3271102284011,False,True,False,,True
1,h_nonjug,3,slot_542,542,ALL_MODELS,73.94736842105263,19,349.6094339622642,530,-275.6620655412115,False,True,False,,False
1,h_nonjug,3,slot_571,571,ALL_MODELS,-25.157894736842106,19,162.42830188679244,530,-187.58619662363455,False,False,False,,False
1,h_nonjug,3,slot_576,576,ALL_MODELS,-61.10526315789474,19,12.167924528301887,530,-73.27318768619662,False,False,False,,False
1,h_nonjug,3,slot_605,605,ALL_MODELS,-10.368421052631579,19,65.63962264150943,530,-76.00804369414101,False,True,False,,False
1,h_nonjug,3,slot_610,610,ALL_MODELS,198.94736842105263,19,-73.34716981132075,530,272.2945382323734,False,False,False,,False
1,h_nonjug,3,slot_638,638,ALL_MODELS,-102.36842105263158,19,-45.28490566037736,530,-57.08351539225421,False,False,False,,False
1,h_nonjug,4,slot_504,504,ALL_MODELS,-1224.842105263158,19,293.4962264150943,530,-1518.3383316782522,False,False,False,,False
1,h_nonjug,4,slot_536,536,ALL_MODELS,-92.89473684210526,19,-102.44716981132075,530,9.552432969215488,False,False,False,,False
1,h_nonjug,4,slot_543,543,ALL_MODELS,-554.6315789473684,19,277.4188679245283,530,-832.0504468718967,False,False,False,,False
1,h_nonjug,4,slot_570,570,ALL_MODELS,765.9473684210526,19,276.89622641509436,530,489.05114200595824,False,False,False,,False
1,h_nonjug,4,slot_577,577,ALL_MODELS,441.6842105263158,19,131.7698113207547,530,309.91439920556104,False,False,False,,False
1,h_nonjug,4,slot_604,604,ALL_MODELS,46.21052631578947,19,163.21320754716982,530,-117.00268123138034,False,True,False,,False
1,h_nonjug,4,slot_611,611,ALL_MODELS,-868.4736842105264,19,179.82830188679245,530,-1048.3019860973188,False,True,False,,False
1,h_nonjug,4,slot_637,637,ALL_MODELS,808.2631578947369,19,-154.0679245283019,530,962.3310824230388,False,True,False,,False
1,h_nonjug,5,slot_505,505,ALL_MODELS,93.47368421052632,19,107.5754716981132,530,-14.10178748758689,False,True,False,,False
1,h_nonjug,5,slot_535,535,ALL_MODELS,-472.6842105263158,19,-86.45283018867924,530,-386.23138033763655,False,False,False,,False
1,h_nonjug,5,slot_544,544,ALL_MODELS,-300.5263157894737,19,346.8641509433962,530,-647.39046673287,False,True,False,,False
1,h_nonjug,5,slot_569,569,ALL_MODELS,1430.6842105263158,19,139.72075471698113,530,1290.9634558093346,False,True,False,,True
1,h_nonjug,5,slot_578,578,ALL_MODELS,244.73684210526315,19,157.6509433962264,530,87.08589870903674,False,True,False,,False
1,h_nonjug,5,slot_603,603,ALL_MODELS,85.0,19,181.26603773584907,530,-96.26603773584907,False,False,False,,False
1,h_nonjug,5,slot_612,612,ALL_MODELS,42.63157894736842,19,2.3811320754716983,530,40.25044687189672,False,False,False,,False
1,h_nonjug,5,slot_636,636,ALL_MODELS,175.57894736842104,19,-298.7867924528302,530,474.3657398212512,False,True,False,,False
1,h_nonjug,6,slot_506,506,ALL_MODELS,409.63157894736844,19,179.34339622641508,530,230.28818272095336,False,True,False,,False
1,h_nonjug,6,slot_534,534,ALL_MODELS,-172.89473684210526,19,-141.95849056603774,530,-30.93624627606752,False,False,False,,False
1,h_nonjug,6,slot_545,545,ALL_MODELS,240.47368421052633,19,156.08490566037736,530,84.38877855014897,False,True,False,,False
