test_date,variant,window,component,event_type,avg_diff,win_rate,payout_rate,hit@50,lift@50
2026-03-24,v7_lift_weights,90,c4,non_event,-292.0,24.0,99.57997832159509,4.0,1.1424
2026-03-24,v7_lift_weights,90,c5,non_event,966.0,40.0,106.13834244974123,8.0,2.2848
2026-03-24,v7_lift_weights,90,c6,non_event,-250.0,28.000000000000004,97.75902230761123,4.0,1.1424
2026-03-24,v7_lift_weights,90,hist_diff,non_event,590.0,38.0,103.89346680817951,6.0,1.7136
2026-03-24,v7_lift_weights,90,hist_payout,non_event,-272.0,32.0,97.78684989120036,3.0,0.8568
2026-03-24,v7_lift_weights,90,hist_winrate,non_event,252.0,44.0,100.84744015733297,2.0,0.5712
2026-03-24,v7_lift_weights,90,hist_hit_an,non_event,-190.0,36.0,96.29998402114622,3.0,0.8568
2026-03-24,v8_dynamic,90,c1,non_event,192.0,38.0,100.43002334167055,2.0,0.5712
2026-03-24,v8_dynamic,90,c2,non_event,392.0,40.0,99.32998222496113,3.0,0.8568
2026-03-24,v8_dynamic,90,c3,non_event,-714.0,36.0,90.93939247415874,2.0,0.5712
2026-03-24,v8_dynamic,90,c4,non_event,-292.0,24.0,99.57997832159512,4.0,1.1424
2026-03-24,v8_dynamic,90,c5,non_event,980.0,40.0,106.97011606544838,8.0,2.2848
2026-03-24,v8_dynamic,90,c6,non_event,-214.0,30.0,95.52890784666195,3.0,0.8568
2026-03-24,v8_dynamic,90,hist_diff,non_event,590.0,38.0,103.89346680817954,6.0,1.7136
2026-03-24,v8_dynamic,90,hist_payout,non_event,-272.0,32.0,97.78684989120036,3.0,0.8568
2026-03-24,v8_dynamic,90,hist_winrate,non_event,182.0,44.0,103.04588407378033,2.0,0.5712
2026-03-24,v8_dynamic,90,hist_hit_an,non_event,14.0,40.0,98.80190855967976,4.0,1.1424
2026-03-25,v6a_hit_an,90,c1,non_event,-208.0,24.0,91.30379747040648,1.0,0.2856
2026-03-25,v6a_hit_an,90,c2,non_event,110.0,34.0,97.84585429403005,3.0,0.8568
2026-03-25,v6a_hit_an,90,c3,non_event,194.0,44.0,104.69968983049176,3.0,0.8568
2026-03-25,v6a_hit_an,90,c4,non_event,-26.0,32.0,98.59784640206094,6.0,1.7136
2026-03-25,v6a_hit_an,90,c5,non_event,922.0,50.0,106.8189119312358,6.0,1.7136
2026-03-25,v6a_hit_an,90,c6,non_event,314.0,44.0,103.74806418997808,5.0,1.428
2026-03-25,v6a_hit_an,90,hist_diff,non_event,-456.0,26.0,96.99701991869475,2.0,0.5712
2026-03-25,v6a_hit_an,90,hist_payout,non_event,434.0,40.0,106.69080182173924,6.0,1.7136
2026-03-25,v6a_hit_an,90,hist_winrate,non_event,-158.0,36.0,94.77778460913714,0.0,0.0
2026-03-25,v6a_hit_an,90,hist_hit_an,non_event,-260.0,32.0,93.2844919515519,3.0,0.8568
2026-03-25,v7_lift_weights,90,c1,non_event,-208.0,24.0,91.30379747040648,1.0,0.2856
2026-03-25,v7_lift_weights,90,c2,non_event,-286.0,30.0,94.73354960422495,2.0,0.5712
2026-03-25,v7_lift_weights,90,c3,non_event,158.0,42.0,103.93691236440003,3.0,0.8568
2026-03-25,v7_lift_weights,90,c4,non_event,32.0,34.0,99.0039908789385,6.0,1.7136
2026-03-25,v7_lift_weights,90,c5,non_event,804.0,48.0,106.06197203203402,6.0,1.7136
2026-03-25,v7_lift_weights,90,c6,non_event,1456.0,54.0,105.84004438184222,11.0,3.1416
2026-03-25,v7_lift_weights,90,hist_diff,non_event,-456.0,26.0,96.99701991869475,2.0,0.5712
2026-03-25,v7_lift_weights,90,hist_payout,non_event,434.0,40.0,106.69080182173924,6.0,1.7136
2026-03-25,v7_lift_weights,90,hist_winrate,non_event,-210.0,36.0,94.07760629575795,0.0,0.0
2026-03-25,v7_lift_weights,90,hist_hit_an,non_event,-292.0,32.0,93.45433414305471,3.0,0.8568
2026-03-25,v8_dynamic,90,c1,non_event,-192.0,24.0,91.39036021361943,1.0,0.2856
2026-03-25,v8_dynamic,90,c2,non_event,68.0,32.0,97.5930960052525,3.0,0.8568
2026-03-25,v8_dynamic,90,c3,non_event,146.0,42.0,104.104166090867,3.0,0.8568
2026-03-25,v8_dynamic,90,c4,non_event,-26.0,32.0,98.59784640206095,6.0,1.7136
2026-03-25,v8_dynamic,90,c5,non_event,862.0,48.0,105.62145279280986,6.0,1.7136
2026-03-25,v8_dynamic,90,c6,non_event,436.0,48.0,110.56577090145406,5.0,1.428
2026-03-25,v8_dynamic,90,hist_diff,non_event,-456.0,26.0,96.99701991869473,2.0,0.5712
2026-03-25,v8_dynamic,90,hist_payout,non_event,434.0,40.0,106.69080182173924,6.0,1.7136
2026-03-25,v8_dynamic,90,hist_winrate,non_event,-128.0,40.0,94.64625029080901,0.0,0.0
2026-03-25,v8_dynamic,90,hist_hit_an,non_event,-314.0,30.0,92.57186784443236,3.0,0.8568
2026-03-26,v6a_hit_an,90,c1,non_event,82.0,36.0,100.72399282108162,4.0,1.1424
2026-03-26,v6a_hit_an,90,c2,non_event,214.0,40.0,100.36702853583698,5.0,1.428
2026-03-26,v6a_hit_an,90,c3,non_event,100.0,28.000000000000004,101.95512110603524,4.0,1.1424
2026-03-26,v6a_hit_an,90,c4,non_event,-166.0,32.0,95.24624311118409,0.0,0.0
2026-03-26,v6a_hit_an,90,c5,non_event,148.0,36.0,99.61183149815115,6.0,1.7136
2026-03-26,v6a_hit_an,90,c6,non_event,-286.0,36.0,95.18064492522154,2.0,0.5712
2026-03-26,v6a_hit_an,90,hist_diff,non_event,-350.0,24.0,92.14960969492284,4.0,1.1424
2026-03-26,v6a_hit_an,90,hist_payout,non_event,-286.0,30.0,95.50178788016026,2.0,0.5712
2026-03-26,v6a_hit_an,90,hist_winrate,non_event,-204.0,32.0,91.883371183966,1.0,0.2856
2026-03-26,v6a_hit_an,90,hist_hit_an,non_event,-258.0,26.0,95.50417163028098,2.0,0.5712
2026-03-26,v7_lift_weights,90,c1,non_event,82.0,36.0,100.48009262315085,4.0,1.1424
2026-03-26,v7_lift_weights,90,c2,non_event,60.0,40.0,99.27942887680874,4.0,1.1424
2026-03-26,v7_lift_weights,90,c3,non_event,116.0,30.0,102.11918364462419,4.0,1.1424
2026-03-26,v7_lift_weights,90,c4,non_event,-170.0,30.0,94.51172538467458,0.0,0.0
2026-03-26,v7_lift_weights,90,c5,non_event,200.0,36.0,101.50477346115713,7.0,1.9992
2026-03-26,v7_lift_weights,90,c6,non_event,-36.0,34.0,95.97148091808671,4.0,1.1424
2026-03-26,v7_lift_weights,90,hist_diff,non_event,-350.0,24.0,92.14960969492284,4.0,1.1424
2026-03-26,v7_lift_weights,90,hist_payout,non_event,-286.0,30.0,95.50178788016026,2.0,0.5712
2026-03-26,v7_lift_weights,90,hist_winrate,non_event,-224.0,30.0,91.57613532378905,1.0,0.2856
2026-03-26,v7_lift_weights,90,hist_hit_an,non_event,-392.0,24.0,92.24830502161565,2.0,0.5712
2026-03-26,v8_dynamic,90,c1,non_event,82.0,36.0,100.48009262315087,4.0,1.1424
2026-03-26,v8_dynamic,90,c2,non_event,324.0,44.0,101.4392212847728,5.0,1.428
2026-03-26,v8_dynamic,90,c3,non_event,134.0,28.000000000000004,102.00636884154505,4.0,1.1424
2026-03-26,v8_dynamic,90,c4,non_event,-164.0,34.0,95.43176917787343,0.0,0.0
2026-03-26,v8_dynamic,90,c5,non_event,182.0,36.0,100.2261243377942,6.0,1.7136
2026-03-26,v8_dynamic,90,c6,non_event,-66.0,38.0,97.73998413086372,4.0,1.1424
2026-03-26,v8_dynamic,90,hist_diff,non_event,-350.0,24.0,92.14960969492284,4.0,1.1424
