component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.3454,0.1673,0.3148,0.3094,0.0144,0.4954,0.1931,0.3361,0.152
c2,0.3454,1.0,0.0462,0.093,0.0417,0.0039,0.1713,0.1084,0.1034,0.087
c3,0.1673,0.0462,1.0,0.0661,0.0935,0.0143,0.0867,0.0161,0.061,0.0086
c4,0.3148,0.093,0.0661,1.0,0.1657,0.0141,0.1602,0.0435,0.1158,0.0222
c5,0.3094,0.0417,0.0935,0.1657,1.0,0.0808,0.3158,0.0929,0.2494,0.0658
c6,0.0144,0.0039,0.0143,0.0141,0.0808,1.0,0.0242,0.0162,0.0068,0.0386
hist_diff,0.4954,0.1713,0.0867,0.1602,0.3158,0.0242,1.0,0.6097,0.6229,0.5382
hist_payout,0.1931,0.1084,0.0161,0.0435,0.0929,0.0162,0.6097,1.0,0.4691,0.6853
hist_winrate,0.3361,0.1034,0.061,0.1158,0.2494,0.0068,0.6229,0.4691,1.0,0.5123
hist_hit_an,0.152,0.087,0.0086,0.0222,0.0658,0.0386,0.5382,0.6853,0.5123,1.0
