date,section,avg_diff,dd_group,prev_section,prev_date,prev_dd_group
20250824,591-607,2056.4117647058824,4系,523-539,20250817,7系
20250827,591-607,1532.1764705882354,7系,591-607,20250824,4系
20250904,557-573,2747.0,4系,591-607,20250827,7系
20250907,591-607,1437.5882352941176,7系,557-573,20250904,4系
20250914,658-674,1488.235294117647,4系,591-607,20250907,7系
20250917,501-522,1401.9545454545455,7系,658-674,20250914,4系
20250924,557-573,1640.5294117647059,4系,501-522,20250917,7系
20250927,608-623,2850.8125,7系,557-573,20250924,4系
20251004,591-607,2856.8823529411766,4系,608-623,20250927,7系
20251007,591-607,2295.705882352941,7系,591-607,20251004,4系
20251014,805-815,1453.1818181818182,4系,591-607,20251007,7系
20251017,591-607,1279.9411764705883,7系,805-815,20251014,4系
20251024,591-607,1322.6470588235295,4系,591-607,20251017,7系
20251027,723-733,1097.8181818181818,7系,591-607,20251024,4系
20251104,540-556,3612.235294117647,4系,723-733,20251027,7系
20251107,734-744,1242.1818181818182,7系,540-556,20251104,4系
20251114,712-722,2214.090909090909,4系,734-744,20251107,7系
20251117,523-539,2174.764705882353,7系,712-722,20251114,4系
20251124,745-755,1716.909090909091,4系,523-539,20251117,7系
20251127,805-815,1833.2727272727273,7系,745-755,20251124,4系
20251204,608-623,2742.25,4系,805-815,20251127,7系
20251207,574-590,1526.2941176470588,7系,608-623,20251204,4系
20251214,624-640,1950.8823529411766,4系,574-590,20251207,7系
20251217,501-522,2737.6363636363635,7系,624-640,20251214,4系
20251224,501-522,1578.8181818181818,4系,501-522,20251217,7系
20251227,501-522,1747.3181818181818,7系,501-522,20251224,4系
20260104,574-590,1484.0,4系,501-522,20251227,7系
20260107,624-640,647.0588235294117,7系,574-590,20260104,4系
20260114,574-590,4012.6470588235293,4系,624-640,20260107,7系
20260117,608-623,1634.0,7系,574-590,20260114,4系
20260124,723-733,1361.6363636363637,4系,608-623,20260117,7系
20260127,557-573,1596.764705882353,7系,723-733,20260124,4系
20260204,591-607,2553.4117647058824,4系,557-573,20260127,7系
20260207,540-556,759.1176470588235,7系,591-607,20260204,4系
20260214,523-539,1593.3529411764705,4系,540-556,20260207,7系
20260217,608-623,1078.25,7系,523-539,20260214,4系
20260224,574-590,2230.235294117647,4系,608-623,20260217,7系
20260227,701-711,909.0,7系,574-590,20260224,4系
20260304,557-573,1590.5294117647059,4系,701-711,20260227,7系
20260307,624-640,1784.4117647058824,7系,557-573,20260304,4系
20260314,712-722,1610.090909090909,4系,624-640,20260307,7系
20260317,557-573,692.4705882352941,7系,712-722,20260314,4系
20260324,557-573,2156.9411764705883,4系,557-573,20260317,7系
20260327,501-522,1635.6363636363637,7系,557-573,20260324,4系
20260404,574-590,2026.0,4系,501-522,20260327,7系
20260407,734-744,1348.090909090909,7系,574-590,20260404,4系
20260414,712-722,2764.3636363636365,4系,734-744,20260407,7系
20260417,745-755,1563.090909090909,7系,712-722,20260414,4系
20260424,624-640,2319.3529411764707,4系,745-755,20260417,7系
20260427,574-590,2324.470588235294,7系,624-640,20260424,4系
20260504,692-700,1099.5555555555557,4系,574-590,20260427,7系
20260507,608-623,997.625,7系,692-700,20260504,4系
20260514,574-590,1231.4705882352941,4系,608-623,20260507,7系
20260517,692-700,4128.555555555556,7系,574-590,20260514,4系
20260524,734-744,1947.090909090909,4系,692-700,20260517,7系
20260527,540-556,2346.294117647059,7系,734-744,20260524,4系
