date,section,avg_diff,total_diff,n_machines,total_games
20250101,501-522,679.9090909090909,14958,22,94059
20250101,523-539,-348.52941176470586,-5925,17,48737
20250101,540-556,9.823529411764707,167,17,76140
20250101,557-573,166.7058823529412,2834,17,62818
20250101,574-590,-942.4705882352941,-16022,17,37891
20250101,591-607,805.5882352941177,13695,17,65217
20250101,608-623,-686.875,-10990,16,40572
20250101,624-640,-263.7647058823529,-4484,17,57307
20250101,641-657,-531.6470588235294,-9038,17,95667
20250101,658-674,-79.82352941176471,-1357,17,104612
20250101,675-691,-705.5882352941177,-11995,17,68681
20250101,692-700,-640.0,-5760,9,17902
20250101,701-711,764.2727272727273,8407,11,27909
20250101,712-722,-272.1818181818182,-2994,11,46175
20250101,723-733,1511.090909090909,16622,11,63856
20250101,734-744,-372.3636363636364,-4096,11,44204
20250101,745-755,-811.9090909090909,-8931,11,33718
20250101,805-815,-223.1818181818182,-2455,11,50266
20250102,501-522,-1175.409090909091,-25859,22,72609
20250102,523-539,891.1176470588235,15149,17,30028
20250102,540-556,153.88235294117646,2616,17,29132
20250102,557-573,199.0,3383,17,30329
20250102,574-590,-480.6470588235294,-8171,17,42511
20250102,591-607,407.70588235294116,6931,17,38376
20250102,608-623,-733.5,-11736,16,26590
20250102,624-640,-691.4705882352941,-11755,17,42865
20250102,641-657,-31.352941176470587,-533,17,116958
20250102,658-674,-124.58823529411765,-2118,17,101087
20250102,675-691,190.7058823529412,3242,17,89083
20250102,692-700,-646.4444444444445,-5818,9,17602
20250102,701-711,-175.36363636363637,-1929,11,31884
20250102,712-722,1129.0,12419,11,66008
20250102,723-733,1128.909090909091,12418,11,61487
20250102,734-744,-193.36363636363637,-2127,11,52317
20250102,745-755,-698.7272727272727,-7686,11,31901
20250102,805-815,361.0,3971,11,49091
20250103,501-522,1475.6818181818182,32465,22,89867
20250103,523-539,-526.5294117647059,-8951,17,39126
20250103,540-556,129.41176470588235,2200,17,49503
20250103,557-573,138.58823529411765,2356,17,43945
20250103,574-590,285.29411764705884,4850,17,45479
20250103,591-607,-214.8235294117647,-3652,17,63944
20250103,608-623,1582.5,25320,16,39271
20250103,624-640,498.2352941176471,8470,17,44068
20250103,641-657,-48.94117647058823,-832,17,106855
20250103,658-674,48.294117647058826,821,17,106869
20250103,675-691,-272.52941176470586,-4633,17,95198
20250103,692-700,272.6666666666667,2454,9,19503
20250103,701-711,-1207.3636363636363,-13281,11,30004
20250103,712-722,-331.27272727272725,-3644,11,48004
20250103,723-733,-198.9090909090909,-2188,11,42220
20250103,734-744,125.0,1375,11,51434
20250103,745-755,397.09090909090907,4368,11,35309
20250103,805-815,404.90909090909093,4454,11,51587
20250104,501-522,629.0,13838,22,117251
20250104,523-539,2704.1176470588234,45970,17,70469
20250104,540-556,592.7058823529412,10076,17,91232
20250104,557-573,1603.0,27251,17,86842
20250104,574-590,1122.4117647058824,19081,17,74348
20250104,591-607,965.7647058823529,16418,17,73419
20250104,608-623,929.5625,14873,16,80215
20250104,624-640,101.23529411764706,1721,17,85741
20250104,641-657,1222.8823529411766,20789,17,131611
20250104,658-674,310.5882352941176,5280,17,128139
20250104,675-691,628.9411764705883,10692,17,126363
20250104,692-700,1250.3333333333333,11253,9,36547
20250104,701-711,-62.63636363636363,-689,11,48724
20250104,712-722,-487.1818181818182,-5359,11,72518
20250104,723-733,-393.6363636363636,-4330,11,68845
20250104,734-744,412.54545454545456,4538,11,79798
20250104,745-755,1765.0,19415,11,53219
20250104,805-815,-40.54545454545455,-446,11,69542
