date,best_last_digit,best_digit_diff,date_dt,prev_best_digit,prev_diff,next_best_digit,next_diff
20250104,7,1566.1153846153845,2025-01-04,,,7,1123.3846153846155
20250107,7,1123.3846153846155,2025-01-07,7,1566.1153846153845,5,899.8928571428571
20250114,5,899.8928571428571,2025-01-14,7,1123.3846153846155,9,999.3076923076923
20250117,9,999.3076923076923,2025-01-17,5,899.8928571428571,6,1143.2692307692307
20250124,6,1143.2692307692307,2025-01-24,9,999.3076923076923,5,988.8928571428571
20250127,5,988.8928571428571,2025-01-27,6,1143.2692307692307,7,1659.3076923076924
20250204,7,1659.3076923076924,2025-02-04,5,988.8928571428571,8,796.8076923076923
20250207,8,796.8076923076923,2025-02-07,7,1659.3076923076924,5,818.0
20250214,5,818.0,2025-02-14,8,796.8076923076923,7,426.0769230769231
20250217,7,426.0769230769231,2025-02-17,5,818.0,8,789.9230769230769
20250224,8,789.9230769230769,2025-02-24,7,426.0769230769231,9,599.5769230769231
20250227,9,599.5769230769231,2025-02-27,8,789.9230769230769,2,1640.962962962963
20250304,2,1640.962962962963,2025-03-04,9,599.5769230769231,1,480.48148148148147
20250307,1,480.48148148148147,2025-03-07,2,1640.962962962963,2,938.1481481481482
20250314,2,938.1481481481482,2025-03-14,1,480.48148148148147,8,672.5384615384615
20250317,8,672.5384615384615,2025-03-17,2,938.1481481481482,0,677.7307692307693
20250324,0,677.7307692307693,2025-03-24,8,672.5384615384615,6,1050.1153846153845
20250327,6,1050.1153846153845,2025-03-27,0,677.7307692307693,7,1051.8461538461538
20250404,7,1051.8461538461538,2025-04-04,6,1050.1153846153845,7,1091.4615384615386
20250407,7,1091.4615384615386,2025-04-07,7,1051.8461538461538,8,700.0
20250414,8,700.0,2025-04-14,7,1091.4615384615386,9,986.3461538461538
20250417,9,986.3461538461538,2025-04-17,8,700.0,1,970.8518518518518
20250424,1,970.8518518518518,2025-04-24,9,986.3461538461538,6,1311.0
20250427,6,1311.0,2025-04-27,1,970.8518518518518,0,432.34615384615387
20250504,0,432.34615384615387,2025-05-04,6,1311.0,1,1140.5555555555557
20250507,1,1140.5555555555557,2025-05-07,0,432.34615384615387,7,961.5769230769231
20250514,7,961.5769230769231,2025-05-14,1,1140.5555555555557,6,571.0
20250517,6,571.0,2025-05-17,7,961.5769230769231,6,1086.3076923076924
20250524,6,1086.3076923076924,2025-05-24,6,571.0,6,707.9615384615385
20250527,6,707.9615384615385,2025-05-27,6,1086.3076923076924,6,1097.2692307692307
20250604,6,1097.2692307692307,2025-06-04,6,707.9615384615385,7,765.5
20250607,7,765.5,2025-06-07,6,1097.2692307692307,4,1505.2592592592594
20250614,4,1505.2592592592594,2025-06-14,7,765.5,1,2187.4444444444443
20250617,1,2187.4444444444443,2025-06-17,4,1505.2592592592594,0,1102.6923076923076
20250624,0,1102.6923076923076,2025-06-24,1,2187.4444444444443,3,475.81481481481484
20250627,3,475.81481481481484,2025-06-27,0,1102.6923076923076,8,815.0384615384615
20250704,8,815.0384615384615,2025-07-04,3,475.81481481481484,5,665.25
20250707,5,665.25,2025-07-07,8,815.0384615384615,1,1229.0
20250714,1,1229.0,2025-07-14,5,665.25,8,907.5384615384615
20250717,8,907.5384615384615,2025-07-17,1,1229.0,6,986.9230769230769
20250724,6,986.9230769230769,2025-07-24,8,907.5384615384615,0,1038.6538461538462
20250727,0,1038.6538461538462,2025-07-27,6,986.9230769230769,7,1414.423076923077
20250804,7,1414.423076923077,2025-08-04,0,1038.6538461538462,3,1140.9259259259259
20250807,3,1140.9259259259259,2025-08-07,7,1414.423076923077,2,704.1851851851852
20250814,2,704.1851851851852,2025-08-14,3,1140.9259259259259,7,916.1923076923077
20250817,7,916.1923076923077,2025-08-17,2,704.1851851851852,8,896.7692307692307
20250824,8,896.7692307692307,2025-08-24,7,916.1923076923077,0,884.3846153846154
20250827,0,884.3846153846154,2025-08-27,8,896.7692307692307,2,1124.962962962963
20250904,2,1124.962962962963,2025-09-04,0,884.3846153846154,9,616.0
20250907,9,616.0,2025-09-07,2,1124.962962962963,2,812.2592592592592
20250914,2,812.2592592592592,2025-09-14,9,616.0,9,1265.576923076923
20250917,9,1265.576923076923,2025-09-17,2,812.2592592592592,3,801.4814814814815
20250924,3,801.4814814814815,2025-09-24,9,1265.576923076923,8,777.8846153846154
20250927,8,777.8846153846154,2025-09-27,3,801.4814814814815,5,1270.0357142857142
20251004,5,1270.0357142857142,2025-10-04,8,777.8846153846154,4,2384.8518518518517
20251007,4,2384.8518518518517,2025-10-07,5,1270.0357142857142,1,753.8148148148148
20251014,1,753.8148148148148,2025-10-14,4,2384.8518518518517,1,510.5925925925926
20251017,1,510.5925925925926,2025-10-17,1,753.8148148148148,4,1730.3333333333333
20251024,4,1730.3333333333333,2025-10-24,1,510.5925925925926,5,1037.4285714285713
20251027,5,1037.4285714285713,2025-10-27,4,1730.3333333333333,2,917.8148148148148
20251104,2,917.8148148148148,2025-11-04,5,1037.4285714285713,5,666.6071428571429
20251107,5,666.6071428571429,2025-11-07,2,917.8148148148148,7,399.11538461538464
20251114,7,399.11538461538464,2025-11-14,5,666.6071428571429,1,697.1111111111111
20251117,1,697.1111111111111,2025-11-17,7,399.11538461538464,8,1187.7692307692307
20251124,8,1187.7692307692307,2025-11-24,1,697.1111111111111,4,443.037037037037
20251127,4,443.037037037037,2025-11-27,8,1187.7692307692307,2,552.4074074074074
20251204,2,552.4074074074074,2025-12-04,4,443.037037037037,5,713.7142857142857
20251207,5,713.7142857142857,2025-12-07,2,552.4074074074074,7,1018.5769230769231
20251214,7,1018.5769230769231,2025-12-14,5,713.7142857142857,6,963.3846153846154
20251217,6,963.3846153846154,2025-12-17,7,1018.5769230769231,2,1095.3703703703704
20251224,2,1095.3703703703704,2025-12-24,6,963.3846153846154,7,1077.3461538461538
20251227,7,1077.3461538461538,2025-12-27,2,1095.3703703703704,2,974.2592592592592
20260104,2,974.2592592592592,2026-01-04,7,1077.3461538461538,7,1686.6538461538462
20260107,7,1686.6538461538462,2026-01-07,2,974.2592592592592,8,1030.0384615384614
20260114,8,1030.0384615384614,2026-01-14,7,1686.6538461538462,3,1368.962962962963
20260117,3,1368.962962962963,2026-01-17,8,1030.0384615384614,3,2230.8518518518517
20260124,3,2230.8518518518517,2026-01-24,3,1368.962962962963,9,762.7692307692307
20260127,9,762.7692307692307,2026-01-27,3,2230.8518518518517,0,694.6538461538462
20260204,0,694.6538461538462,2026-02-04,9,762.7692307692307,3,1518.4444444444443
20260207,3,1518.4444444444443,2026-02-07,0,694.6538461538462,4,1277.7037037037037
20260214,4,1277.7037037037037,2026-02-14,3,1518.4444444444443,6,1335.6538461538462
20260217,6,1335.6538461538462,2026-02-17,4,1277.7037037037037,1,844.0
20260224,1,844.0,2026-02-24,6,1335.6538461538462,9,864.7307692307693
20260227,9,864.7307692307693,2026-02-27,1,844.0,6,1111.5384615384614
20260304,6,1111.5384615384614,2026-03-04,9,864.7307692307693,0,1026.6538461538462
20260307,0,1026.6538461538462,2026-03-07,6,1111.5384615384614,4,748.1851851851852
20260314,4,748.1851851851852,2026-03-14,0,1026.6538461538462,8,919.9230769230769
20260317,8,919.9230769230769,2026-03-17,4,748.1851851851852,8,1420.7307692307693
20260324,8,1420.7307692307693,2026-03-24,8,919.9230769230769,4,542.5925925925926
20260327,4,542.5925925925926,2026-03-27,8,1420.7307692307693,9,969.2692307692307
20260404,9,969.2692307692307,2026-04-04,4,542.5925925925926,5,1007.6428571428571
20260407,5,1007.6428571428571,2026-04-07,9,969.2692307692307,9,1813.5384615384614
20260414,9,1813.5384615384614,2026-04-14,5,1007.6428571428571,7,781.2307692307693
20260417,7,781.2307692307693,2026-04-17,9,1813.5384615384614,9,1791.1923076923076
20260424,9,1791.1923076923076,2026-04-24,7,781.2307692307693,0,1536.576923076923
20260427,0,1536.576923076923,2026-04-27,9,1791.1923076923076,8,620.8846153846154
20260504,8,620.8846153846154,2026-05-04,0,1536.576923076923,3,966.7777777777778
20260507,3,966.7777777777778,2026-05-07,8,620.8846153846154,0,649.5384615384615
20260514,0,649.5384615384615,2026-05-14,3,966.7777777777778,2,1153.111111111111
20260517,2,1153.111111111111,2026-05-17,0,649.5384615384615,2,1275.2592592592594
20260524,2,1275.2592592592594,2026-05-24,2,1153.111111111111,8,1208.8846153846155
20260527,8,1208.8846153846155,2026-05-27,2,1275.2592592592594,,
