date,day_of_week,day_last_digit,avg_diff,date_dt,dd,dd_mod,is_xday,dd_group,next_date,next_avg_diff,next_dd_group,is_high_current,is_high_next
20250104,,,790.8684210526316,2025-01-04,4,4,1,4系,20250107,434.8984962406015,7系,1,1
20250107,,,434.8984962406015,2025-01-07,7,7,1,7系,20250114,205.14661654135338,4系,1,1
20250114,,,205.14661654135338,2025-01-14,14,4,1,4系,20250117,2.4661654135338344,7系,1,0
20250117,,,2.4661654135338344,2025-01-17,17,7,1,7系,20250124,68.45112781954887,4系,0,0
20250124,,,68.45112781954887,2025-01-24,24,4,1,4系,20250127,69.54887218045113,7系,0,0
20250127,,,69.54887218045113,2025-01-27,27,7,1,7系,20250204,194.58270676691728,4系,0,0
20250204,,,194.58270676691728,2025-02-04,4,4,1,4系,20250207,128.95112781954887,7系,0,0
20250207,,,128.95112781954887,2025-02-07,7,7,1,7系,20250214,122.60526315789474,4系,0,0
20250214,,,122.60526315789474,2025-02-14,14,4,1,4系,20250217,150.75187969924812,7系,0,0
20250217,,,150.75187969924812,2025-02-17,17,7,1,7系,20250224,6.650375939849624,4系,0,0
20250224,,,6.650375939849624,2025-02-24,24,4,1,4系,20250227,60.04887218045113,7系,0,0
20250227,,,60.04887218045113,2025-02-27,27,7,1,7系,20250304,270.80075187969925,4系,0,1
20250304,,,270.80075187969925,2025-03-04,4,4,1,4系,20250307,-15.823308270676693,7系,1,0
20250307,,,-15.823308270676693,2025-03-07,7,7,1,7系,20250314,108.07894736842105,4系,0,0
20250314,,,108.07894736842105,2025-03-14,14,4,1,4系,20250317,120.38721804511279,7系,0,0
20250317,,,120.38721804511279,2025-03-17,17,7,1,7系,20250324,202.51127819548873,4系,0,1
20250324,,,202.51127819548873,2025-03-24,24,4,1,4系,20250327,210.64661654135338,7系,1,1
20250327,,,210.64661654135338,2025-03-27,27,7,1,7系,20250404,666.8533834586466,4系,1,1
20250404,,,666.8533834586466,2025-04-04,4,4,1,4系,20250407,245.296992481203,7系,1,1
20250407,,,245.296992481203,2025-04-07,7,7,1,7系,20250414,269.27443609022555,4系,1,1
20250414,,,269.27443609022555,2025-04-14,14,4,1,4系,20250417,288.79323308270676,7系,1,1
20250417,,,288.79323308270676,2025-04-17,17,7,1,7系,20250424,304.49624060150376,4系,1,1
20250424,,,304.49624060150376,2025-04-24,24,4,1,4系,20250427,254.4699248120301,7系,1,1
20250427,,,254.4699248120301,2025-04-27,27,7,1,7系,20250504,-125.72932330827068,4系,1,0
20250504,,,-125.72932330827068,2025-05-04,4,4,1,4系,20250507,254.296992481203,7系,0,1
20250507,,,254.296992481203,2025-05-07,7,7,1,7系,20250514,206.57142857142858,4系,1,1
20250514,,,206.57142857142858,2025-05-14,14,4,1,4系,20250517,94.89097744360902,7系,1,0
20250517,,,94.89097744360902,2025-05-17,17,7,1,7系,20250524,251.02631578947367,4系,0,1
20250524,,,251.02631578947367,2025-05-24,24,4,1,4系,20250527,307.60526315789474,7系,1,1
20250527,,,307.60526315789474,2025-05-27,27,7,1,7系,20250604,256.66541353383457,4系,1,1
20250604,,,256.66541353383457,2025-06-04,4,4,1,4系,20250607,168.9624060150376,7系,1,0
20250607,,,168.9624060150376,2025-06-07,7,7,1,7系,20250614,340.19924812030075,4系,0,1
20250614,,,340.19924812030075,2025-06-14,14,4,1,4系,20250617,439.187969924812,7系,1,1
20250617,,,439.187969924812,2025-06-17,17,7,1,7系,20250624,158.59022556390977,4系,1,0
20250624,,,158.59022556390977,2025-06-24,24,4,1,4系,20250627,55.214285714285715,7系,0,0
20250627,,,55.214285714285715,2025-06-27,27,7,1,7系,20250704,-26.710526315789473,4系,0,0
20250704,,,-26.710526315789473,2025-07-04,4,4,1,4系,20250707,131.65413533834587,7系,0,0
20250707,,,131.65413533834587,2025-07-07,7,7,1,7系,20250714,403.28195488721803,4系,0,1
20250714,,,403.28195488721803,2025-07-14,14,4,1,4系,20250717,227.2218045112782,7系,1,1
20250717,,,227.2218045112782,2025-07-17,17,7,1,7系,20250724,546.203007518797,4系,1,1
20250724,,,546.203007518797,2025-07-24,24,4,1,4系,20250727,217.3984962406015,7系,1,1
20250727,,,217.3984962406015,2025-07-27,27,7,1,7系,20250804,401.8533834586466,4系,1,1
20250804,,,401.8533834586466,2025-08-04,4,4,1,4系,20250807,517.5751879699249,7系,1,1
20250807,,,517.5751879699249,2025-08-07,7,7,1,7系,20250814,65.43609022556392,4系,1,0
20250814,,,65.43609022556392,2025-08-14,14,4,1,4系,20250817,194.1954887218045,7系,0,0
20250817,,,194.1954887218045,2025-08-17,17,7,1,7系,20250824,456.36842105263156,4系,0,1
20250824,,,456.36842105263156,2025-08-24,24,4,1,4系,20250827,101.17293233082707,7系,1,0
20250827,,,101.17293233082707,2025-08-27,27,7,1,7系,20250904,452.7406015037594,4系,0,1
20250904,,,452.7406015037594,2025-09-04,4,4,1,4系,20250907,99.45112781954887,7系,1,0
20250907,,,99.45112781954887,2025-09-07,7,7,1,7系,20250914,94.203007518797,4系,0,0
20250914,,,94.203007518797,2025-09-14,14,4,1,4系,20250917,357.16541353383457,7系,0,1
20250917,,,357.16541353383457,2025-09-17,17,7,1,7系,20250924,334.4736842105263,4系,1,1
20250924,,,334.4736842105263,2025-09-24,24,4,1,4系,20250927,333.6015037593985,7系,1,1
20250927,,,333.6015037593985,2025-09-27,27,7,1,7系,20251004,563.1954887218045,4系,1,1
20251004,,,563.1954887218045,2025-10-04,4,4,1,4系,20251007,299.3796992481203,7系,1,1
20251007,,,299.3796992481203,2025-10-07,7,7,1,7系,20251014,119.87593984962406,4系,1,0
20251014,,,119.87593984962406,2025-10-14,14,4,1,4系,20251017,42.97744360902256,7系,0,0
20251017,,,42.97744360902256,2025-10-17,17,7,1,7系,20251024,243.0,4系,0,1
20251024,,,243.0,2025-10-24,24,4,1,4系,20251027,163.7669172932331,7系,1,0
20251027,,,163.7669172932331,2025-10-27,27,7,1,7系,20251104,491.78195488721803,4系,0,1
20251104,,,491.78195488721803,2025-11-04,4,4,1,4系,20251107,224.42857142857142,7系,1,1
20251107,,,224.42857142857142,2025-11-07,7,7,1,7系,20251114,69.25187969924812,4系,1,0
20251114,,,69.25187969924812,2025-11-14,14,4,1,4系,20251117,185.20676691729324,7系,0,0
20251117,,,185.20676691729324,2025-11-17,17,7,1,7系,20251124,58.6578947368421,4系,0,0
20251124,,,58.6578947368421,2025-11-24,24,4,1,4系,20251127,224.59774436090225,7系,0,1
20251127,,,224.59774436090225,2025-11-27,27,7,1,7系,20251204,41.778195488721806,4系,1,0
20251204,,,41.778195488721806,2025-12-04,4,4,1,4系,20251207,142.96616541353384,7系,0,0
20251207,,,142.96616541353384,2025-12-07,7,7,1,7系,20251214,337.1278195488722,4系,0,1
20251214,,,337.1278195488722,2025-12-14,14,4,1,4系,20251217,368.26691729323306,7系,1,1
20251217,,,368.26691729323306,2025-12-17,17,7,1,7系,20251224,346.109022556391,4系,1,1
20251224,,,346.109022556391,2025-12-24,24,4,1,4系,20251227,55.40601503759399,7系,1,0
20251227,,,55.40601503759399,2025-12-27,27,7,1,7系,20260104,178.6315789473684,4系,0,0
20260104,,,178.6315789473684,2026-01-04,4,4,1,4系,20260107,79.3609022556391,7系,0,0
20260107,,,79.3609022556391,2026-01-07,7,7,1,7系,20260114,382.39473684210526,4系,0,1
20260114,,,382.39473684210526,2026-01-14,14,4,1,4系,20260117,80.14661654135338,7系,1,0
20260117,,,80.14661654135338,2026-01-17,17,7,1,7系,20260124,21.661654135338345,4系,0,0
20260124,,,21.661654135338345,2026-01-24,24,4,1,4系,20260127,148.98496240601503,7系,0,0
20260127,,,148.98496240601503,2026-01-27,27,7,1,7系,20260204,130.27067669172934,4系,0,0
20260204,,,130.27067669172934,2026-02-04,4,4,1,4系,20260207,236.98496240601503,7系,0,1
20260207,,,236.98496240601503,2026-02-07,7,7,1,7系,20260214,459.4398496240602,4系,1,1
20260214,,,459.4398496240602,2026-02-14,14,4,1,4系,20260217,267.55263157894734,7系,1,1
20260217,,,267.55263157894734,2026-02-17,17,7,1,7系,20260224,180.83834586466165,4系,1,0
20260224,,,180.83834586466165,2026-02-24,24,4,1,4系,20260227,32.44736842105263,7系,0,0
20260227,,,32.44736842105263,2026-02-27,27,7,1,7系,20260304,220.28571428571428,4系,0,1
20260304,,,220.28571428571428,2026-03-04,4,4,1,4系,20260307,78.68796992481202,7系,1,0
20260307,,,78.68796992481202,2026-03-07,7,7,1,7系,20260314,167.68045112781954,4系,0,0
20260314,,,167.68045112781954,2026-03-14,14,4,1,4系,20260317,-87.07894736842105,7系,0,0
20260317,,,-87.07894736842105,2026-03-17,17,7,1,7系,20260324,362.9661654135338,4系,0,1
20260324,,,362.9661654135338,2026-03-24,24,4,1,4系,20260327,174.22556390977442,7系,1,0
20260327,,,174.22556390977442,2026-03-27,27,7,1,7系,20260404,248.69924812030075,4系,0,1
20260404,,,248.69924812030075,2026-04-04,4,4,1,4系,20260407,146.1954887218045,7系,1,0
20260407,,,146.1954887218045,2026-04-07,7,7,1,7系,20260414,417.8609022556391,4系,0,1
20260414,,,417.8609022556391,2026-04-14,14,4,1,4系,20260417,58.609022556390975,7系,1,0
20260417,,,58.609022556390975,2026-04-17,17,7,1,7系,20260424,200.62406015037595,4系,0,1
20260424,,,200.62406015037595,2026-04-24,24,4,1,4系,20260427,414.53007518796994,7系,1,1
20260427,,,414.53007518796994,2026-04-27,27,7,1,7系,20260504,-20.048872180451127,4系,1,0
