index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type
0,2F_L_N,136.0,173.0421686746988,34.0,95.84233358348055,-37.042168674698786,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,7.0,1.2495,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v6a_hit_an,90,non_event
1,2F_R_N,310.0,159.93975903614458,38.0,99.70856971300445,150.06024096385542,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,8.0,1.4280000000000002,7.0,1.723448275862069,3.0,1.1273684210526316,2025-10-06,v6a_hit_an,90,non_event
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v6a_hit_an,90,non_event
3,3F_L_N,602.0,137.95180722891567,46.0,102.60405965633304,464.04819277108436,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,9.0,1.6065,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v6a_hit_an,90,non_event
4,3F_R_A,-84.0,189.60843373493975,40.0,94.62180733105679,-273.60843373493975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6a_hit_an,90,non_event
5,3F_R_N,-234.0,200.90361445783134,36.0,92.89089015795176,-434.90361445783134,0.0,0.0,0.0,0.0,4.0,1.1424,6.0,1.0710000000000002,4.0,0.9848275862068966,3.0,1.1273684210526316,2025-10-06,v6a_hit_an,90,non_event
0,2F_L_N,216.0,167.01807228915663,38.0,97.11720074716546,48.981927710843365,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,7.0,1.2495,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9b_blend_05,90,non_event
1,2F_R_N,496.0,145.93373493975903,42.0,102.44195073907353,350.066265060241,3.0,4.284000000000001,3.0,2.1420000000000003,6.0,1.7136,8.0,1.4280000000000002,7.0,1.723448275862069,4.0,1.5031578947368422,2025-10-06,v9b_blend_05,90,non_event
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v9b_blend_05,90,non_event
3,3F_L_N,602.0,137.95180722891567,46.0,102.60405965633306,464.04819277108436,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,9.0,1.6065,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9b_blend_05,90,non_event
4,3F_R_A,84.0,176.9578313253012,46.0,95.73491112138457,-92.95783132530121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v9b_blend_05,90,non_event
5,3F_R_N,-234.0,200.90361445783134,36.0,92.89089015795176,-434.90361445783134,0.0,0.0,0.0,0.0,4.0,1.1424,6.0,1.0710000000000002,4.0,0.9848275862068966,3.0,1.1273684210526316,2025-10-06,v9b_blend_05,90,non_event
0,2F_L_N,216.0,167.01807228915663,38.0,97.11720074716546,48.981927710843365,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,7.0,1.2495,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9c_percentile,90,non_event
1,2F_R_N,302.0,160.5421686746988,44.0,101.47570539924197,141.4578313253012,2.0,2.8560000000000003,2.0,1.4280000000000002,4.0,1.1424,6.0,1.0710000000000002,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9c_percentile,90,non_event
