hall,n_source_rows,n_days,mean_budget_index,median_budget_index,under_budget_days,balanced_days,over_budget_days,top_axis,top_axis_level,top_axis_budget_abs_share,n_offset_pairs,best_offset_days,best_offset_same_regime_rate,model_status,model_metric,note
蒲田7,253313,360,4.059799138655259,3.824087427671143,32,43,285,is_x_day,0,0.6608167916277642,1049,14,0.6880466472303207,trained,0.46315789473684216,
蒲田1,183997,535,1.038455176520519,1.0575933192231644,167,98,270,is_x_day,0,0.7277604255408424,1558,14,0.39723320158102765,trained,0.5369327073552426,
みとや,138418,547,-0.3791644440586566,-0.6042577614209894,261,77,209,is_x_day,0,0.777001340911402,1611,7,0.4208566108007449,trained,0.6857142857142857,
