window,event_type,avg_lift,avg_hit@3,avg_hit@5,avg_hit@10,avg_win_rate,n_test_days
pre,all,283.6401666666667,0.03763440860215054,0.08064516129032258,0.22580645161290322,0.5064516129032258,186
pre,xdds,366.2930540540541,0.13513513513513514,0.21621621621621623,0.43243243243243246,0.5756756756756756,37
pre,non_xdds,263.11562416107387,0.013422818791946308,0.04697986577181208,0.174496644295302,0.48926174496644287,149
post,all,212.15715428571428,0.04857142857142857,0.10285714285714286,0.31142857142857144,0.4828571428571429,350
post,xdds,391.67720289855066,0.2318840579710145,0.36231884057971014,0.7246376811594203,0.4927536231884059,69
post,non_xdds,168.07571886120994,0.0035587188612099642,0.03914590747330961,0.2099644128113879,0.4804270462633452,281
